/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,2.589058170912616e-05,0,2.589058169745179e-05,0,2.589058169734745e-05,0,3.253766845901801e-05,0,0
1.5e-11,2.589058164728893e-05,1.5e-11,2.589058169755943e-05,1.5e-11,2.58905816974715e-05,1.5e-11,3.253766845924541e-05,1.5e-11,0
4.5e-11,2.589058167821375e-05,4.5e-11,2.589058169748674e-05,4.5e-11,2.589058169739142e-05,4.5e-11,3.253766845925154e-05,4.5e-11,0
1.05e-10,2.589058170093733e-05,1.05e-10,2.589058169618061e-05,1.05e-10,2.589058169633813e-05,1.05e-10,3.253766845929258e-05,1.05e-10,0
2.25e-10,2.589058169730525e-05,2.25e-10,2.589058169825597e-05,2.25e-10,2.589058169846212e-05,2.25e-10,3.253766845897612e-05,2.25e-10,0
4.65e-10,2.589058169726381e-05,4.65e-10,2.58905816963311e-05,4.65e-10,2.58905816962609e-05,4.65e-10,3.253766845958423e-05,4.65e-10,0
7.649999999999999e-10,2.589058169786239e-05,7.649999999999999e-10,2.58905816985772e-05,7.649999999999999e-10,2.589058169873531e-05,7.649999999999999e-10,3.253766845847288e-05,7.649999999999999e-10,0
1.065e-09,2.589058169934584e-05,1.065e-09,2.589058169867812e-05,1.065e-09,2.58905816963282e-05,1.065e-09,3.25376684601361e-05,1.065e-09,0
1.365e-09,2.589058169531857e-05,1.365e-09,2.589058169610062e-05,1.365e-09,2.589058169842722e-05,1.365e-09,3.253766845852854e-05,1.365e-09,0
1.665e-09,2.589058169960068e-05,1.665e-09,2.589058170143895e-05,1.665e-09,2.589058169643273e-05,1.665e-09,3.253766846018549e-05,1.665e-09,0
1.8325e-09,2.589058169787374e-05,1.8325e-09,2.589058169341707e-05,1.8325e-09,2.589058169812589e-05,1.8325e-09,3.253766845826575e-05,1.8325e-09,0
2e-09,2.589058169996376e-05,2e-09,2.589058170396197e-05,2e-09,2.589058169644319e-05,2e-09,3.253766846010934e-05,2e-09,0
2.120144127384571e-09,2.589058169747946e-05,2.120144127384571e-09,2.589058169741113e-05,2.120144127384571e-09,2.589058169745613e-05,2.120144127384571e-09,3.253766846139153e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,2.589058169882025e-05,2.261585129605973e-09,2.589058169591189e-05,2.261585129605973e-09,2.589058169600474e-05,2.261585129605973e-09,3.253766843147622e-05,2.261585129605973e-09,0.1453250720033182
2.400273552359008e-09,2.589058169585865e-05,2.400273552359008e-09,2.589058169901925e-05,2.400273552359008e-09,2.589058170180122e-05,2.400273552359008e-09,3.253766855601009e-05,2.400273552359008e-09,0.2223741957550043
2.464571113163125e-09,2.589058169870161e-05,2.464571113163125e-09,2.589058169613302e-05,2.464571113163125e-09,2.589058169291941e-05,2.464571113163125e-09,3.253766804403746e-05,2.464571113163125e-09,0.2580950628684028
2.496719893565184e-09,2.589058169594822e-05,2.496719893565184e-09,2.589058169838388e-05,2.496719893565184e-09,2.589058170485727e-05,2.496719893565184e-09,3.253766992959086e-05,2.496719893565184e-09,0.275955496425102
2.561017454369301e-09,2.58905817011775e-05,2.561017454369301e-09,2.589058169610005e-05,2.561017454369301e-09,2.589058168708432e-05,2.561017454369301e-09,3.253766640718341e-05,2.561017454369301e-09,0.3116763635385005
2.582949606878574e-09,2.589058169181045e-05,2.582949606878574e-09,2.589058170096372e-05,2.582949606878574e-09,2.589058172249392e-05,2.582949606878574e-09,3.253767134938159e-05,2.582949606878574e-09,0.3238608927103187
2.626813911897119e-09,2.589058170321014e-05,2.626813911897119e-09,2.589058169136525e-05,2.626813911897119e-09,2.589058166548472e-05,2.626813911897119e-09,3.253766572826756e-05,2.626813911897119e-09,0.348229951053955
