/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,2.850067837768487e-05,0,2.850067837774618e-05,0,2.85006783777195e-05,0,3.508079473528229e-05,0,0
1.5e-11,2.850067837762537e-05,1.5e-11,2.850067837769389e-05,1.5e-11,2.850067837765737e-05,1.5e-11,3.508079473525578e-05,1.5e-11,0
4.5e-11,2.850067837743812e-05,4.5e-11,2.850067837751957e-05,4.5e-11,2.850067837744526e-05,4.5e-11,3.508079473516445e-05,4.5e-11,0
1.05e-10,2.850067837652828e-05,1.05e-10,2.850067837894391e-05,1.05e-10,2.85006783762472e-05,1.05e-10,3.508079473564271e-05,1.05e-10,0
2.25e-10,2.850067837898562e-05,2.25e-10,2.850067837644954e-05,2.25e-10,2.850067837937524e-05,2.25e-10,3.508079473487181e-05,2.25e-10,0
4.65e-10,2.850067837697137e-05,4.65e-10,2.850067837930357e-05,4.65e-10,2.850067837316379e-05,4.65e-10,3.508079473547768e-05,4.65e-10,0
7.649999999999999e-10,2.850067837879234e-05,7.649999999999999e-10,2.850067837609793e-05,7.649999999999999e-10,2.850067838275183e-05,7.649999999999999e-10,3.508079473546095e-05,7.649999999999999e-10,0
1.065e-09,2.850067837963766e-05,1.065e-09,2.850067837995539e-05,1.065e-09,2.85006783704239e-05,1.065e-09,3.508079473518732e-05,1.065e-09,0
1.365e-09,2.850067837594504e-05,1.365e-09,2.850067837285447e-05,1.365e-09,2.850067838237547e-05,1.365e-09,3.508079473549106e-05,1.365e-09,0
1.665e-09,2.850067837989782e-05,1.665e-09,2.850067838281282e-05,1.665e-09,2.850067837343619e-05,1.665e-09,3.508079473540067e-05,1.665e-09,0
1.8325e-09,2.8500678375964e-05,1.8325e-09,2.85006783700184e-05,1.8325e-09,2.850067838477066e-05,1.8325e-09,3.508079473550722e-05,1.8325e-09,0
2e-09,2.850067837967556e-05,2e-09,2.850067838563667e-05,2e-09,2.850067836822799e-05,2e-09,3.508079473527256e-05,2e-09,0
2.120144127384571e-09,2.850067837755077e-05,2.120144127384571e-09,2.850067837771378e-05,2.120144127384571e-09,2.850067837736263e-05,2.120144127384571e-09,3.508079473792695e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,2.850067837621999e-05,2.261585129605973e-09,2.850067837644085e-05,2.261585129605973e-09,2.850067837922124e-05,2.261585129605973e-09,3.50807947025798e-05,2.261585129605973e-09,0.1453250720033182
2.400273545183219e-09,2.850067837936338e-05,2.400273545183219e-09,2.85006783791171e-05,2.400273545183219e-09,2.85006783764277e-05,2.400273545183219e-09,3.508079485011582e-05,2.400273545183219e-09,0.2223741917684551
2.462812186716147e-09,2.850067837635359e-05,2.462812186716147e-09,2.850067837381638e-05,2.462812186716147e-09,2.850067837842953e-05,2.462812186716147e-09,3.508079423493756e-05,2.462812186716147e-09,0.2571178815089704
2.494081507482611e-09,2.850067837941856e-05,2.494081507482611e-09,2.850067837879534e-05,2.494081507482611e-09,2.850067838196469e-05,2.494081507482611e-09,3.508079645748219e-05,2.494081507482611e-09,0.2744897263792281
2.556620149015538e-09,2.850067837623391e-05,2.556620149015538e-09,2.850067837693863e-05,2.556620149015538e-09,2.850067836689119e-05,2.556620149015538e-09,3.508079238006552e-05,2.556620149015538e-09,0.3092334161197434
