/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,7.369521627095398e-05,0,7.369521627108145e-05,0,7.369521627113638e-05,0,6.437806357481421e-05,0,0
1.5e-11,7.369521627092237e-05,1.5e-11,7.369521627107506e-05,1.5e-11,7.369521627114039e-05,1.5e-11,6.437806357493296e-05,1.5e-11,0
4.5e-11,7.369521627107203e-05,4.5e-11,7.369521627102002e-05,4.5e-11,7.36952162709724e-05,4.5e-11,6.437806357505616e-05,4.5e-11,0
1.05e-10,7.369521627231483e-05,1.05e-10,7.369521626939693e-05,1.05e-10,7.369521627242418e-05,1.05e-10,6.437806357449533e-05,1.05e-10,0
2.25e-10,7.369521626937236e-05,2.25e-10,7.369521627250516e-05,2.25e-10,7.369521626979708e-05,2.25e-10,6.437806357559642e-05,2.25e-10,0
4.65e-10,7.369521626939385e-05,4.65e-10,7.369521626935108e-05,4.65e-10,7.369521627253211e-05,4.65e-10,6.437806357400832e-05,4.65e-10,0
7.649999999999999e-10,7.369521627218528e-05,7.649999999999999e-10,7.369521626965022e-05,7.649999999999999e-10,7.369521626971293e-05,7.649999999999999e-10,6.437806357575458e-05,7.649999999999999e-10,0
1.065e-09,7.369521626978088e-05,1.065e-09,7.36952162722899e-05,1.065e-09,7.369521627226199e-05,1.065e-09,6.437806357413473e-05,1.065e-09,0
1.365e-09,7.369521627208355e-05,1.365e-09,7.369521627241287e-05,1.365e-09,7.36952162696689e-05,1.365e-09,6.437806357558341e-05,1.365e-09,0
1.665e-09,7.369521627001012e-05,1.665e-09,7.369521627268084e-05,1.665e-09,7.369521626971071e-05,1.665e-09,6.437806357405158e-05,1.665e-09,0
1.8325e-09,7.369521627488738e-05,1.8325e-09,7.369521626946812e-05,1.8325e-09,7.369521627560281e-05,1.8325e-09,6.43780635755662e-05,1.8325e-09,0
2e-09,7.369521626702618e-05,2e-09,7.36952162754884e-05,2e-09,7.369521626365423e-05,2e-09,6.437806357426671e-05,2e-09,0
2.120144127384571e-09,7.369521627078778e-05,2.120144127384571e-09,7.369521627088135e-05,2.120144127384571e-09,7.369521627100835e-05,2.120144127384571e-09,6.437806357519704e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,7.369521627285232e-05,2.261585129605973e-09,7.369521627240064e-05,2.261585129605973e-09,7.369521626953245e-05,2.261585129605973e-09,6.437806354940891e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,7.369521626896547e-05,2.400273538304042e-09,7.369521627265986e-05,2.400273538304042e-09,7.369521627239488e-05,2.400273538304042e-09,6.43780636913528e-05,2.400273538304042e-09,0.2223741879466899
