/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,7.369521627089002e-05,0,7.369521627101064e-05,0,7.369521096569082e-05,0,6.438095764418665e-05,0,0
1.5e-11,7.369521627085534e-05,1.5e-11,7.369521627099632e-05,1.5e-11,7.36952109654014e-05,1.5e-11,6.438095762651711e-05,1.5e-11,0
4.5e-11,7.369521627098607e-05,4.5e-11,7.369521627091657e-05,4.5e-11,7.369521096566046e-05,4.5e-11,6.438095763520256e-05,4.5e-11,0
1.05e-10,7.369521626917361e-05,1.05e-10,7.369521626961085e-05,1.05e-10,7.369521096423865e-05,1.05e-10,6.438095764385838e-05,1.05e-10,0
2.25e-10,7.369521627259511e-05,2.25e-10,7.369521627230914e-05,2.25e-10,7.369521096491613e-05,2.25e-10,6.438095763978342e-05,2.25e-10,0
4.65e-10,7.369521626921417e-05,4.65e-10,7.36952162698714e-05,4.65e-10,7.369521096688486e-05,4.65e-10,6.43809576441269e-05,4.65e-10,0
7.649999999999999e-10,7.369521626950947e-05,7.649999999999999e-10,7.369521627220581e-05,7.649999999999999e-10,7.369521096217812e-05,7.649999999999999e-10,6.438095764076583e-05,7.649999999999999e-10,0
1.065e-09,7.369521627238995e-05,1.065e-09,7.369521626986247e-05,1.065e-09,7.369521096996557e-05,1.065e-09,6.438095764485785e-05,1.065e-09,0
1.365e-09,7.369521626959179e-05,1.365e-09,7.36952162723204e-05,1.365e-09,7.36952109621909e-05,1.365e-09,6.438095764120683e-05,1.365e-09,0
1.665e-09,7.36952162723047e-05,1.665e-09,7.369521626983373e-05,1.665e-09,7.369521097011778e-05,1.665e-09,6.438095764497745e-05,1.665e-09,0
1.8325e-09,7.369521627287055e-05,1.8325e-09,7.36952162722092e-05,1.8325e-09,7.369521096152377e-05,1.8325e-09,6.438095764207815e-05,1.8325e-09,0
2e-09,7.369521626891523e-05,2e-09,7.369521627270338e-05,2e-09,7.369521096745598e-05,2e-09,6.43809576449066e-05,2e-09,0
2.120144127384571e-09,7.369521627076154e-05,2.120144127384571e-09,7.369521627100868e-05,2.120144127384571e-09,7.369521096564349e-05,2.120144127384571e-09,6.438096398469731e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,7.369521626946091e-05,2.261585129605973e-09,7.369521626919295e-05,2.261585129605973e-09,7.369521096398146e-05,2.261585129605973e-09,6.438088764028879e-05,2.261585129605973e-09,0.1453250720033182
