/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,7.369521627081779e-05,0,7.369521627104856e-05,0,7.369521627116262e-05,0,6.437806325992146e-05,0,0
1.5e-11,7.36952162707862e-05,1.5e-11,7.369521627104178e-05,1.5e-11,7.369521627096581e-05,1.5e-11,6.43780632599433e-05,1.5e-11,0
4.5e-11,7.369521627093137e-05,4.5e-11,7.369521627098612e-05,4.5e-11,7.369521627105084e-05,4.5e-11,6.437806326022402e-05,4.5e-11,0
1.05e-10,7.369521626917944e-05,1.05e-10,7.369521626938983e-05,1.05e-10,7.369521626976957e-05,1.05e-10,6.437806326015983e-05,1.05e-10,0
2.25e-10,7.369521627287017e-05,2.25e-10,7.369521626935275e-05,2.25e-10,7.369521627242224e-05,2.25e-10,6.4378063260201e-05,2.25e-10,0
4.65e-10,7.369521626569386e-05,4.65e-10,7.369521627260919e-05,4.65e-10,7.369521626979299e-05,4.65e-10,6.437806326029281e-05,4.65e-10,0
7.649999999999999e-10,7.369521627609086e-05,7.649999999999999e-10,7.369521626957269e-05,7.649999999999999e-10,7.369521627563614e-05,7.649999999999999e-10,6.437806325986012e-05,7.649999999999999e-10,0
1.065e-09,7.369521626889703e-05,1.065e-09,7.369521627255103e-05,1.065e-09,7.369521626653481e-05,1.065e-09,6.437806326005572e-05,1.065e-09,0
1.365e-09,7.369521627276992e-05,1.365e-09,7.369521626928792e-05,1.365e-09,7.369521627867793e-05,1.365e-09,6.437806326015575e-05,1.365e-09,0
1.665e-09,7.369521626913485e-05,1.665e-09,7.369521627267579e-05,1.665e-09,7.36952162634792e-05,1.665e-09,6.437806326016402e-05,1.665e-09,0
1.8325e-09,7.369521627270015e-05,1.8325e-09,7.369521626930156e-05,1.8325e-09,7.369521627546397e-05,1.8325e-09,6.437806325992596e-05,1.8325e-09,0
2e-09,7.369521626924458e-05,2e-09,7.36952162725641e-05,2e-09,7.369521626689334e-05,2e-09,6.437806326014255e-05,2e-09,0
2.120144127384571e-09,7.369521627106973e-05,2.120144127384571e-09,7.369521627105284e-05,2.120144127384571e-09,7.369521627113431e-05,2.120144127384571e-09,6.437806326057294e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,7.36952162693691e-05,2.261585129605973e-09,7.369521626943239e-05,2.261585129605973e-09,7.369521626956876e-05,2.261585129605973e-09,6.437806323478834e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,7.369521626923117e-05,2.400273538304042e-09,7.36952162721191e-05,2.400273538304042e-09,7.369521627278543e-05,2.400273538304042e-09,6.437806337699752e-05,2.400273538304042e-09,0.2223741879466899
2.455450261564965e-09,7.369521627533785e-05,2.455450261564965e-09,7.369521627007005e-05,2.455450261564965e-09,7.369521626600005e-05,2.455450261564965e-09,6.437806260009561e-05,2.455450261564965e-09,0.253027923091647
2.483038623195426e-09,7.369521626996917e-05,2.483038623195426e-09,7.369521627171309e-05,2.483038623195426e-09,7.369521628139411e-05,2.483038623195426e-09,6.437806541914588e-05,2.483038623195426e-09,0.2683547906641256
2.538215346456349e-09,7.369521627225848e-05,2.538215346456349e-09,7.369521627014112e-05,2.538215346456349e-09,7.369521625631157e-05,2.538215346456349e-09,6.437806055626814e-05,2.538215346456349e-09,0.2990085258090829
2.560737121398761e-09,7.369521627000308e-05,2.560737121398761e-09,7.369521627199646e-05,2.560737121398761e-09,7.36952162964749e-05,2.560737121398761e-09,6.437806572044299e-05,2.560737121398761e-09,0.3115206229993115
2.571998008869966e-09,7.369521627144429e-05,2.571998008869966e-09,7.369521627044752e-05,2.571998008869966e-09,7.369521625052774e-05,2.571998008869966e-09,6.437806394417135e-05,2.571998008869966e-09,0.3177766715944257
2.594519783812378e-09,7.369521627063337e-05,2.594519783812378e-09,7.369521627446587e-05,2.594519783812378e-09,7.369521627507176e-05,2.594519783812378e-09,6.437806130772149e-05,2.594519783812378e-09,0.3302887687846544
2.619292015544413e-09,7.369521626825879e-05,2.619292015544413e-09,7.36952162707376e-05,2.619292015544413e-09,7.369521628099835e-05,2.619292015544413e-09,6.437806555660959e-05,2.619292015544413e-09,0.3440511197468958
2.640503769765509e-09,7.369521627309992e-05,2.640503769765509e-09,7.369521627137936e-05,2.640503769765509e-09,7.369521625054912e-05,2.640503769765509e-09,6.437806114271818e-05,2.640503769765509e-09,0.3558354276475049
2.660686031888229e-09,7.369521626902955e-05,2.660686031888229e-09,7.369521627045415e-05,2.660686031888229e-09,7.369521629737425e-05,2.660686031888229e-09,6.437806492195772e-05,2.660686031888229e-09,0.3670477954934607
2.682055619276811e-09,7.369521627255788e-05,2.682055619276811e-09,7.369521627420759e-05,2.682055619276811e-09,7.369521624604213e-05,2.682055619276811e-09,6.437806205335377e-05,2.682055619276811e-09,0.3789197884871172
2.701703988604448e-09,7.369521626968289e-05,2.701703988604448e-09,7.369521626824378e-05,2.701703988604448e-09,7.369521629033474e-05,2.701703988604448e-09,6.437806404620584e-05,2.701703988604448e-09,0.3898355492246933
2.725079201383633e-09,7.369521627242799e-05,2.725079201383633e-09,7.369521627066616e-05,2.725079201383633e-09,7.369521625430021e-05,2.725079201383633e-09,6.437806275277449e-05,2.725079201383633e-09,0.4028217785464629
