/net039 X,/net039 Y,/net010 X,/net010 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net02 X,/net02 Y
0,7.36952162707842e-05,0,7.369521627096115e-05,0,7.369521287077772e-05,0,6.290417321860288e-05,0,0
1.5e-11,7.369521627075318e-05,1.5e-11,7.369521627093105e-05,1.5e-11,7.369521287057141e-05,1.5e-11,6.290417321860388e-05,1.5e-11,0
4.5e-11,7.369521627090429e-05,4.5e-11,7.369521627108445e-05,4.5e-11,7.369521287056923e-05,4.5e-11,6.290417321849781e-05,4.5e-11,0
1.05e-10,7.369521627217681e-05,1.05e-10,7.36952162695067e-05,1.05e-10,7.369521287311573e-05,1.05e-10,6.290417321878212e-05,1.05e-10,0
2.25e-10,7.369521627251253e-05,2.25e-10,7.36952162721696e-05,2.25e-10,7.369521286986551e-05,2.25e-10,6.290417321847031e-05,2.25e-10,0
4.65e-10,7.369521626640426e-05,4.65e-10,7.369521626959502e-05,4.65e-10,7.369521286984894e-05,4.65e-10,6.290417321875123e-05,4.65e-10,0
7.649999999999999e-10,7.369521627536115e-05,7.649999999999999e-10,7.36952162722527e-05,7.649999999999999e-10,7.369521287342962e-05,7.649999999999999e-10,6.290417321836776e-05,7.649999999999999e-10,0
1.065e-09,7.369521626661496e-05,1.065e-09,7.36952162727568e-05,1.065e-09,7.369521286642276e-05,1.065e-09,6.290417321886345e-05,1.065e-09,0
1.365e-09,7.36952162751957e-05,1.365e-09,7.369521626932219e-05,1.365e-09,7.36952128765479e-05,1.365e-09,6.290417321850128e-05,1.365e-09,0
1.665e-09,7.369521626663908e-05,1.665e-09,7.36952162725992e-05,1.665e-09,7.369521286348312e-05,1.665e-09,6.290417321883562e-05,1.665e-09,0
1.8325e-09,7.369521627522996e-05,1.8325e-09,7.369521626951651e-05,1.8325e-09,7.36952128795284e-05,1.8325e-09,6.290417321840429e-05,1.8325e-09,0
2e-09,7.369521626370453e-05,2e-09,7.369521627521545e-05,2e-09,7.36952128637061e-05,2e-09,6.290417321862406e-05,2e-09,0
2.120144127384571e-09,7.369521627089496e-05,2.120144127384571e-09,7.36952162709771e-05,2.120144127384571e-09,7.369521287060873e-05,2.120144127384571e-09,6.29041732191048e-05,2.120144127384571e-09,0.06674673743587282
2.261585129605973e-09,7.369521626972114e-05,2.261585129605973e-09,7.369521626922945e-05,2.261585129605973e-09,7.369521286979223e-05,2.261585129605973e-09,6.290417319480962e-05,2.261585129605973e-09,0.1453250720033182
2.400273538304042e-09,7.3695216269141e-05,2.400273538304042e-09,7.369521626934793e-05,2.400273538304042e-09,7.369521286994889e-05,2.400273538304042e-09,6.290417332542421e-05,2.400273538304042e-09,0.2223741879466899
2.455450261564964e-09,7.369521627277201e-05,2.455450261564964e-09,7.369521626954985e-05,2.455450261564964e-09,7.369521286937529e-05,2.455450261564964e-09,6.29041726318315e-05,2.455450261564964e-09,0.2530279230916465
2.483038623195425e-09,7.369521626945089e-05,2.483038623195425e-09,7.369521627504386e-05,2.483038623195425e-09,7.369521287728918e-05,2.483038623195425e-09,6.290417512903477e-05,2.483038623195425e-09,0.2683547906641247
2.538215346456346e-09,7.369521627256334e-05,2.538215346456346e-09,7.369521626698395e-05,2.538215346456346e-09,7.369521285930076e-05,2.538215346456346e-09,6.290417081539097e-05,2.538215346456346e-09,0.299008525809081
2.560737121398754e-09,7.369521626962641e-05,2.560737121398754e-09,7.369521627414667e-05,2.560737121398754e-09,7.36952128896683e-05,2.560737121398754e-09,6.290417548992867e-05,2.560737121398754e-09,0.3115206229993078
2.571998008869958e-09,7.369521627223601e-05,2.571998008869958e-09,7.36952162689636e-05,2.571998008869958e-09,7.369521285261034e-05,2.571998008869958e-09,6.290417361061663e-05,2.571998008869958e-09,0.3177766715944212
2.594519783812366e-09,7.369521627013336e-05,2.594519783812366e-09,7.369521627340769e-05,2.594519783812366e-09,7.369521288037551e-05,2.594519783812366e-09,6.29041716515784e-05,2.594519783812366e-09,0.3302887687846479
2.619292015544401e-09,7.369521627173643e-05,2.619292015544401e-09,7.369521626905608e-05,2.619292015544401e-09,7.369521287543556e-05,2.619292015544401e-09,6.290417519367602e-05,2.619292015544401e-09,0.3440511197468894
