signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765995823e-05,9.647575862823928e-30,-1.274603105377135e-07,6.795643765922822e-05,3.061518103821206e-30,-3.2183633851713805e-07,6.795643766028486e-05,2.6702948659383547e-29,2.939285272488338e-07,6.094256728532126e-05,9.124656058534204e-32,9.614433103745245e-08
2,6.795643766001912e-05,,,6.795643766000611e-05,,,6.795643765658201e-05,,,6.094256725714106e-05,,
3,6.795643765934862e-05,,,6.795643765968834e-05,,,6.795643766321621e-05,,,6.094256740797252e-05,,
4,6.795643765943338e-05,3.558221137702805e-30,-2.738129511806094e-06,6.795643765985406e-05,1.1414592389171477e-32,1.7440986186068633e-06,6.795643765931668e-05,3.2759242443697122e-28,-3.5179505424086653e-05,6.094256766920422e-05,5.159647574749922e-24,0.003952496344200852
5,6.795643765984844e-05,1.9646798686613422e-30,-1.034363939464663e-05,6.795643765896403e-05,5.721817959575248e-30,-3.3183496452696697e-07,6.79564376623463e-05,4.670556151472246e-28,4.294070120049794e-05,6.0942567220930375e-05,4.152311450964546e-24,0.01001795532116551
6,6.795643765981605e-05,3.2345431190627284e-30,-1.863444149278505e-05,6.795643765983594e-05,3.1460533543418423e-31,-3.1017209694474693e-06,6.795643765812548e-05,2.5898421811341078e-28,8.013517096513038e-05,6.094256721516346e-05,1.4490479578728566e-25,0.002071804998082141
7,6.795643765932202e-05,2.487557095881404e-30,-1.0636078750391795e-06,6.79564376590242e-05,6.661849540793855e-30,-6.1987195327624565e-06,6.795643765826808e-05,2.326367585214682e-29,-8.283916390577493e-06,6.094256731363111e-05,1.5705811814834233e-26,0.001326617984965849
8,6.795643765996984e-05,4.579235105665123e-30,4.87853343158276e-06,6.79564376599054e-05,2.1313047456264318e-30,-3.5821346628738747e-06,6.795643767100084e-05,1.5159076850693524e-27,0.00031821957634542355,6.094256751699659e-05,5.631853576191302e-25,0.007514505578688907
9,6.77573978367257e-05,2.3394376225716593e-12,-6863.319428449203,6.795603108504938e-05,1.400378018021357e-17,-12.191363525830928,6.795647183604715e-05,1.4555119114000535e-16,-14.54677725693288,8.787993071761597e-06,4.537432936347919e-08,-1577572.8856727344
10,2.1161312437324944,4.67460392903685,58206762290.769745,6.795699821697589e-05,6.969568876237631e-16,-13.037003322323717,6.795695902935795e-05,7.242900147970547e-17,1.2435153132210301,0.00021011286350965274,3.0774285944650653e-06,20481418.484758314
11,4.997483875523768,2.932211049142946e-11,103172.73650626765,6.795646795251918e-05,1.1114617517694632e-21,-0.5348641201245039,6.795644040564993e-05,8.935224273639538e-24,-0.05844703587894069,6.0874518605734515e-05,1.1522231073902748e-13,-472.33266475865065
12,4.997489362027349,5.8007529809815534e-12,12089.623065836002,6.801449215888221e-05,3.5061666935466163e-13,1084.959310432588,6.795726903678857e-05,3.561409922047385e-16,2.1422123893133036,4.2485045176888486e-05,9.521859354600047e-09,-649822.589291102
13,4.9975136195634935,2.2390910226814114e-07,1585136.0593424675,2.577993303479083,5.177010259283779,53447551272.51724,6.795665951860222e-05,6.773014324092656e-16,0.8077474666192035,0.0005248938515494342,5.1815301675770625e-06,22892182.832149204
14,2.9540912197834697,4.200025025501837,-49795419624.422775,4.997478791586419,7.554238141686774e-11,195490.6995737851,6.795598257687748e-05,1.6400784840087116e-16,14.789136894211833,0.00019213365462963054,8.557897014776871e-07,-10095329.183343526
15,0.0006416367686511335,9.123676575629697e-07,-17939423.910664,4.997489216823954,7.440170332793712e-13,10595.91643589689,6.79564363813392e-05,2.7235839899632856e-22,0.06899615445320306,6.064892910759657e-05,1.3110569634429232e-13,5970.638751477349
16,0.00036229268226248805,4.3167919244797166e-05,10796774.05162933,4.997489776219059,3.1175372299640653e-13,2079.2616618552815,6.795788079040993e-05,3.7753182972203205e-16,45.89431462318312,-0.0005948519885819059,1.0076458597258322e-06,-15449208.647639811
17,3.015425021449007,3.9579922413990363,54888657265.156334,4.99748996662825,1.0462561133355511e-13,-771.5446310739368,6.795531858091813e-05,1.3217740130343666e-16,71.01460322794517,0.0008299375410130563,2.8498000034149457e-06,-24213750.301385727
18,4.997486212405588,2.781890237662712e-09,-490739.8491874101,4.997490062595173,4.3867389337501375e-14,-1748.485026875444,6.79564388612086e-05,6.891926758559861e-23,0.07659584806221198,6.246588482363875e-05,2.117997118489528e-12,-28941.878312872097
19,4.997492146331021,1.117745429225163e-09,-76804.76495048753,4.997490142340491,3.414126474167935e-14,133.87208252484362,6.650888073300817e-05,7.531755329109154e-12,-60055.623920106016,-6.227620135681387e-05,4.782940337013575e-08,-4919649.075364011
20,4.997484223891122,4.984705631481374e-07,1014219.6961939002,4.997499683768329,5.623941866795709e-07,1487483.7427824917,1.4627992302177975,3.004888349879951,32999654204.037285,0.00044624589841127285,1.5855296418941586e-06,7405480.547130215
21,3.10793523362108,4.168252100195116,-49291769489.90245,3.093557091729857,4.184816361014538,-49371279837.36077,4.994253230193513,3.7567099277500976e-05,88215684.15917094,0.0005066221699758291,5.790009978396346e-06,-26047224.22381844
22,0.0009337914655527697,1.0051441232700574e-06,-17036854.78169095,0.0009191398834627892,9.74741693483177e-07,-16791701.652408253,4.997486728120873,4.447245507489263e-12,27685.66788115463,6.018780131729162e-05,2.685826736691818e-13,9582.273194765263
23,7.089569620108776e-05,6.631928068632872e-11,-29492.333985272577,7.098786124481726e-05,6.392531961935778e-11,-21836.865789051964,4.997489377245543,1.3403172346253332e-12,-67.11490176798765,6.083013369336241e-05,4.383540014438143e-15,709.8840334524967
24,6.817710760436512e-05,2.204082604646771e-12,1182.413006556879,6.775324396118543e-05,2.803275724210606e-12,-2607.8892189134103,4.99748997715981,7.89593471013439e-13,2621.838039992005,6.092809891398097e-05,5.34521683982569e-15,279.38956719699735
25,6.795506902582157e-05,2.426567534616535e-12,20123.09593762837,6.795806127593447e-05,3.191786895783355e-12,-23089.46600791325,4.997489993985104,9.076373945329963e-13,12873.948371469494,6.093406957215963e-05,5.658272953144474e-15,1021.1648667086946
26,6.795110250230265e-05,1.872179744934045e-12,9182.629821105209,6.796152437342646e-05,2.501678583656497e-12,-10576.10863307714,4.99749009608076,6.849409772763388e-13,5822.613368290888,6.0922375508821246e-05,2.1319140657712358e-14,-207.553967649038
27,6.793993012821238e-05,6.676537986611625e-13,483.81818117813873,1.0447937076955327,2.950395034611216,31880191239.0822,4.997490125198992,2.4709522875881397e-13,539.9715343158506,0.0001513354868070638,2.083694819776038e-06,13438276.026506022
28,6.799273785138405e-05,1.7098079599762173e-13,245.8549208081045,4.995986025535365,1.1265484867505981e-05,36650936.123931974,4.997490175473374,4.8327085198799886e-14,287.2866213461451,0.00011910559983766534,9.730392394490543e-09,-1366423.5004224617
29,6.795620375787349e-05,2.9957472963245953e-13,15326.076800215058,4.9974885307428,3.961358961617232e-09,-1762383.8668256886,4.997490175445253,8.635096631777909e-14,8228.335865083724,6.0941847505641524e-05,2.0045648841212506e-13,12536.851122417625
30,6.795263296171939e-05,1.4487919609442082e-13,1268.5403318176693,4.99749083979501,1.10726414575324e-09,-117898.48589653368,4.997490190768533,4.136592269310047e-14,820.1299926767357,6.089644306560549e-05,1.0854616719788261e-13,252.01682746666611
31,1.638605800995838,4.2980577212168685,49059282424.80952,4.997490097381848,1.9099288962848967e-11,-7529.439249721259,4.997490198537716,2.4429063583971376e-14,56.34936400170664,8.446304027310865e-05,2.8821146749090374e-06,8665527.794151701
32,4.997483172458731,3.660853895358775e-09,459001.16664824967,4.9974899843455844,7.966006250663418e-14,295.00438219628205,4.997490218299484,4.0887876681040726e-15,117.70738558635342,6.922384017517146e-05,8.037080270064886e-11,-191088.41829514861
33,4.997483073491814,2.744963192191895e-09,320096.2755144241,4.997490149723461,6.998417395975704e-14,-1020.1639508545578,4.997490205347922,3.8272455746253905e-15,315.994213325504,6.1025388755114654e-05,7.559604775311256e-14,-4406.339966536082
34,4.997448214616112,1.8634566183812656e-08,-1324488.160855586,4.997447942293106,1.7840120367764757e-08,-1286785.3408225693,4.997447977226664,1.782298840691953e-08,-1288345.4644614446,0.2930793636102402,0.15964558843372376,7339267255.546769
35,3.2755758136818574,3.712733927404541,-51519297098.33857,3.2756080254555022,3.712703936961756,-51518917459.83284,3.2757460596793604,3.7124785548060215,-51516982197.43084,3.674431555271439,1.1109312050319258,30361781743.270714
36,0.029569764761587777,0.0020305314024224182,-716480841.0626892,0.029571749668160483,0.0020307984679768225,-716536916.3840688,0.029582513896261868,0.0020322225656627113,-716797899.9467769,4.993448868131021,2.442958339065184e-05,88080102.56479652
37,6.669814677261601e-05,3.543872447480803e-10,58682.226556757305,6.673128438536233e-05,3.3174668569066235e-10,53600.09634097497,6.67299134010206e-05,3.3277804196159344e-10,53901.90954183617,4.99730740192182,2.7050439726354287e-13,-1254.740150812966
38,0.016158096488541794,0.003597312829713393,542593767.0621004,6.811813625210251e-05,3.827602541698817e-11,-4023.0829797824067,6.811713431240348e-05,3.7491715020115836e-11,-3972.463703996481,4.997694985018154,4.056489283666888e-05,-7237385.564409343
39,3.410294148320731,3.3723828452227615,40983359520.13388,6.792747976676611e-05,9.810624491606994e-12,7628.07702770859,6.792748712079185e-05,9.607806393631782e-12,7554.456783815704,4.983752032132693,0.00011622395076828148,282584748.37364936
40,4.997471811336155,1.1225253318684686e-08,982816.8789843129,6.79531365951104e-05,7.7786885792217e-12,19772.00895379743,6.7953171069606e-05,7.617643644829362e-12,19566.25765982446,4.997307138726267,2.2337943406793455e-13,5142.427582059488
41,4.997486343129663,1.2666854293099087e-09,93513.56274849531,7.084058807175868e-05,4.601144753564945e-09,64583.210260820706,6.794189222774467e-05,3.71551045998604e-12,2661.5327307404164,4.998385521716332,4.670638890626744e-06,31707818.829362758
42,4.992950394616885,0.0010352654326703892,-178872472.6252749,3.598153659125555,4.015841222152766,37829386681.14581,6.794131723091572e-05,4.983298020459958e-13,355.31220862997645,4.994524113167083,0.00020874276876083086,231784643.00194645
43,1.3802682212952118,2.0019792079155323,-29178818033.247253,4.9974546941706475,4.228349905006004e-10,497024.9853605574,6.796718564591931e-05,5.390571123386161e-14,5.256598882257575,5.00038413224771,9.418703245684264e-06,-66127495.62272795
44,0.00015503298125148836,3.507100636731282e-08,-3319917.703287493,4.997487191353582,1.7627425011934856e-12,28286.78386195077,6.795536060450043e-05,3.570896980734439e-14,566.6792748099705,4.997307419325081,6.981832519574058e-13,-11511.817274194973
45,0.24417593493015077,0.2398341727528902,7615017892.890863,4.997488916779206,1.9187632024352055e-13,6782.893376755429,6.795503704832103e-05,1.8540667301186607e-14,153.70666517106739,4.991718654246992,0.00017139841498047212,-186224920.8826653
46,4.6476252256356005,0.3565490133861948,8200146800.858343,4.997489353855873,3.528423895772753e-14,3205.2773367440236,6.795441440328903e-05,4.515129355434224e-15,231.32326152411363,4.990738210073524,3.598372401600243e-05,125992060.15755665
47,4.997479487046162,2.156374878823586e-09,-210440.94878997136,4.997489726179267,2.8460559081491774e-14,2376.7209021446984,6.795636739407328e-05,4.532409785976642e-15,501.1284863678415,4.9973074203834065,9.005268519845023e-15,1756.4746447234943
48,4.997488927411475,5.501496951105397e-10,-62816.975022273145,4.997489873824732,1.207998956312624e-14,1203.9871673016346,6.79559404445759e-05,2.7568383280981084e-15,216.93896673809195,4.997307417534986,8.503198112531547e-14,70.21684477391902
49,4.997489588205051,7.590430317783197e-12,1567.7180340175744,4.997489950369435,8.574701948458653e-15,562.6826766706063,6.794800684717376e-05,2.1407646879052683e-15,37.02166174864541,4.997307345412068,6.084784060040032e-14,-310.1090669776804
50,4.997489491477144,7.29370617679263e-12,21834.00813042538,4.997490018508725,7.834501046338769e-15,-335.16675215666373,6.795649145271186e-05,2.333062426904269e-15,-353.86224399844673,4.997307409173065,3.295997828066208e-14,-1364.116940348229
51,4.997489509648854,4.818707527501507e-12,8963.75000766861,4.997490078678427,7.049505036582549e-15,-8.918942214036749,6.79622926341457e-05,1.9286974599268296e-15,-130.40665337333303,4.997307412031451,2.0186841946556694e-14,-382.4363072184886
52,4.997489951897576,7.872529637045239e-13,-1112.6967845094534,4.997490098174596,4.724112405267481e-15,275.27080189829087,6.795058378355599e-05,2.077074474073447e-15,-89.32215325654366,4.997308089909945,4.315337007875602e-11,3749.732498007372
53,4.9974899890186695,2.880381148278349e-14,659.4632483532821,4.997490111282765,2.481852526604172e-15,76.0343107925238,6.796020176113378e-05,8.694695667536576e-16,-207.46396054805894,4.99730538270663,2.0590336559630566e-11,59371.965187379414
54,4.997490004785839,2.842200830588827e-14,130.6152705423118,4.9974901455273955,2.550788619770256e-15,163.8812281023603,6.796155511067853e-05,7.799880856444007e-16,29.188248005571772,4.997307415210228,1.2213801612165386e-14,105.52456041053924
55,4.997490087125764,2.234043640456281e-14,153.47956822287975,4.997490151933469,1.692201498285155e-15,114.37254879819369,6.795089315649227e-05,1.289320726488261e-15,-83.1431415731096,4.997307372320534,4.461424113049447e-11,-21556.036597303973
56,4.997490098170513,1.8276636309306957e-14,163.52585728442327,4.997490163720935,5.976196721878929e-16,64.17320711569347,6.795729483354685e-05,3.7863339293189635e-16,-60.51304436696594,4.997307739211754,7.887850379379022e-12,24488.981901346495
57,4.997490123664943,1.560108240795801e-14,-465.0483914061424,4.997490172435631,3.4893114139490056e-16,145.2701852123084,6.795642388869298e-05,1.2318582330469527e-16,52.21870044461211,4.997307388373719,1.6158772831831824e-15,87.5452926170123
58,4.99749014341073,1.4720226060676937e-14,-286.1327152153593,4.997490181935995,2.97664009077073e-16,105.27414164167165,6.79562746871541e-05,1.0805495083837469e-16,28.351471646548433,4.997307403424646,1.5363968003140574e-14,56.311061832245535
59,4.997490161463932,1.215535697582721e-14,75.81059237415016,4.997490187744756,2.0623685702032938e-16,47.36997801302984,6.795575475283641e-05,1.13677838523845e-16,0.1353936392856188,4.997307197501778,1.8126439449357548e-12,-1488.473234654014
60,4.997490166488544,1.383746025182267e-14,1073.0498571699284,4.997490194241961,1.8127404640085177e-16,-84.79591781943971,6.795645804890998e-05,8.165088379050366e-17,-78.27766310099169,4.997307388357074,2.2662830950863807e-16,31.78424696574032
61,4.997490141911809,1.3366866662063423e-14,-11.274168832191062,4.997490203179981,2.0157429702553513e-16,41.72737765000771,6.795904513525018e-05,8.097916951345112e-17,5.505502752060946,4.997307400315043,3.7939338409204183e-16,17.18806119147339
62,4.997490216150293,1.3337974801949255e-14,203.51303947713743,4.997490199422629,1.970946595164722e-16,10.708628855593076,6.795385337688933e-05,8.071433028839298e-17,-12.011709744273332,4.997307388770884,4.050032132140961e-16,-28.93470605125772
63,4.997490215639803,1.288935147254424e-15,17.99672372967806,4.997490229221214,1.4216834637752255e-16,8.073241027126867,6.795687900297048e-05,3.357384083277315e-18,-0.4193650549349514,4.997307395492302,1.7067845875087044e-17,-0.9392109845624165
