signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765978229e-05,6.922745369966985e-30,3.294120827084459e-07,6.795643765952728e-05,2.0810337788251348e-30,-2.603853779291917e-07,6.795643765953703e-05,3.607926914567145e-30,-5.30497116441743e-08,6.094256728562635e-05,1.014162577242046e-31,1.5449038333809488e-07
2,6.795643765675109e-05,,,6.795643765984523e-05,,,6.795643765975347e-05,,,6.09425672556305e-05,,
3,6.795643765960678e-05,,,6.79564376629403e-05,,,6.795643766000734e-05,,,6.094256741413072e-05,,
4,6.795643765939829e-05,3.259116262411037e-30,-3.5734814690643133e-06,6.795643765921926e-05,1.8816536211253092e-30,2.2331905815396882e-05,6.79564376593949e-05,4.160758448871944e-28,-6.066472657836426e-05,6.094256766810011e-05,5.176159620009627e-24,0.003999719258303464
5,6.795643765986535e-05,7.674479020556349e-31,-7.1827139562626015e-06,6.795643765930138e-05,1.4093835186115537e-30,1.3867952550379275e-05,6.795643766236861e-05,4.055339620187023e-28,2.880232579754896e-05,6.0942567220739345e-05,4.154430505559836e-24,0.010034861159498367
6,6.795643765910123e-05,5.696942469290244e-30,1.2379889434954068e-05,6.795643765941496e-05,3.7495117945942295e-30,3.691915673843421e-06,6.795643765854775e-05,1.3116858741649957e-28,6.839264010152448e-05,6.0942567215344464e-05,1.4532214116044177e-25,0.0020753568628723595
7,6.795643765940339e-05,1.2316642943803411e-30,-5.280797053350894e-06,6.795643765930738e-05,2.9312700658553392e-30,-3.5912121710387304e-05,6.795643765948232e-05,1.5669587077410513e-30,1.3886572188069885e-05,6.0942567313851875e-05,1.5667345569350548e-26,0.0013234817374063864
8,6.795643766010793e-05,1.6900477126984996e-30,1.5047310244382544e-05,6.79564376598997e-05,4.661241553311698e-30,-1.6966871057705857e-05,6.795643767077949e-05,1.4969082319155628e-27,0.0003339266045034552,6.09425675170965e-05,5.635818114050417e-25,0.0075145449599353376
9,6.775739783702229e-05,2.339437619069556e-12,-6863.31941677103,6.795603108540778e-05,1.400378014490535e-17,-12.191364007120495,6.795647183632552e-05,1.455511892225233e-16,-14.54676935828695,8.787993064590923e-06,4.537432938707528e-08,-1577572.8858778889
10,2.1161312437321054,4.674603929035022,58206762290.76606,6.795699821758124e-05,6.969568904886553e-16,-13.036986096550633,6.795695902966163e-05,7.24289814173325e-17,1.2435252899210556,0.0002101128635454131,3.0774285968741265e-06,20481418.48375819
11,4.997483875523771,2.932211052147048e-11,103172.73650098646,6.795646795139866e-05,1.1112520943301665e-21,-0.5348566888831892,6.795644040617756e-05,8.940300922567236e-24,-0.05845266028756134,6.087451860582163e-05,1.1522231039621963e-13,-472.33266019979317
12,4.997489362027349,5.8007529787190884e-12,12089.623106195913,6.801449215871098e-05,3.506166694982164e-13,1084.9593059238543,6.795726903656317e-05,3.5614099218613776e-16,2.142213605578671,4.248504516270935e-05,9.521859367948357e-09,-649822.5898006244
13,4.997513619563488,2.2390910225109892e-07,1585136.0590926227,2.577993303479236,5.177010259282713,53447551272.78033,6.795665951859783e-05,6.773013967132502e-16,0.8077517484865537,0.0005248938516540582,5.181530171244282e-06,22892182.83047373
