signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.79564376593327e-05,1.7893584234640034e-29,-1.909015963938826e-08,6.795643765932722e-05,2.9898967563468965e-30,-5.625457985504286e-07,6.795643765637906e-05,7.711020842986466e-30,6.578246806368436e-07,6.086599126720399e-05,6.322326361612192e-32,1.5266792252620591e-07
2,6.795643765681643e-05,,,6.795643765993917e-05,,,6.795643765258928e-05,,,6.086599124012076e-05,,
3,6.79564376626356e-05,,,6.795643765658038e-05,,,6.795643765816969e-05,,,6.086599138561413e-05,,
4,6.79564376592158e-05,3.587596286439053e-30,2.8350834042573546e-06,6.795643765960242e-05,3.41253377674959e-30,-2.53178837843226e-06,6.795643765505897e-05,2.8417112643049877e-28,-5.418080420603538e-05,6.086599163146756e-05,4.769220555802974e-24,0.003689683769569934
5,6.795643766020445e-05,2.8071182079409218e-30,8.120644136481469e-06,6.795643765898631e-05,5.2367842214743034e-30,6.064924783124636e-06,6.795643765845582e-05,4.421849883645229e-28,2.793987578040423e-05,6.0865991210140606e-05,3.929309486088198e-24,0.009603552268168928
6,6.795643765971112e-05,2.463804516778832e-30,8.091005073547167e-06,6.795643766034297e-05,1.2786309357196006e-30,1.3673024115936705e-05,6.795643765468562e-05,1.2113864541217149e-28,6.699099882995758e-05,6.086599119706294e-05,1.4445780884943457e-25,0.0020612008512862464
7,6.7956437659555e-05,6.809430382123985e-31,1.5333163980796672e-06,6.795643766072301e-05,1.668934730197388e-29,8.292182096402537e-05,6.795643765487886e-05,2.3395787577386303e-30,5.657250503757151e-06,6.086599129655282e-05,1.6563466396113275e-26,0.0013491409881851379
8,6.795643765981919e-05,1.6921263449693725e-30,1.1523749545593615e-05,6.795643765994275e-05,1.5026591340242409e-30,1.0255014229779103e-05,6.795643766734242e-05,1.4848194955715065e-27,0.0003126656017011479,6.0865991474330676e-05,4.811349410272436e-25,0.006835443906684458
9,6.775739035614286e-05,2.339424590103777e-12,-6863.522900871409,6.795601999623248e-05,1.4153654489242723e-17,-12.504492534928431,6.795647062222668e-05,1.4518348019387718e-16,-14.559832391685447,6.861592987071434e-06,4.834756892929862e-08,-1633048.861692662
10,2.1161311545522095,4.674603995465606,58206760761.242615,6.795699340390354e-05,6.926093644956979e-16,-13.097715243781174,6.79569287265791e-05,7.031042273736746e-17,1.0538855882742026,0.00021168440423078306,3.1361371400583334e-06,20401052.650740206
11,4.997483875504608,2.9321596264587043e-11,103172.54693635515,6.795646757412159e-05,1.0459511013515636e-21,-0.5382317478270906,6.795644052843091e-05,1.1422057353112178e-23,-0.06556356648062024,6.079751791918082e-05,1.2074888061895785e-13,-534.5920382418532
