signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.002241365202584746,8.027938830287283e-31,5.737331540554586e-07,0.0022413652023905227,2.9902302722111923e-30,3.423109173811404e-10,0.002241361976034723,1.7480605495833337e-29,-1.8502542440310619e-06,0.0009635434385519847,1.7790515741334938e-26,7.25586161573238e-05
2,0.0022413652025814,,,0.0022413652023934,,,0.0022413619760121,,,0.0009635434381349,,
3,0.0022413652025862,,,0.0022413652023875,,,0.002241361976027,,,0.0009635434385222,,
4,0.002241365202584075,3.222062804059649e-30,2.2534559347157557e-06,0.002241365202390275,1.3915723180665225e-29,-2.290374711497579e-05,0.002241361976044175,7.643046658573813e-29,2.4133095884701516e-05,0.0009635434379777501,1.3738189743091902e-23,-0.021457983364858216
5,0.002241365202585575,2.3429592288725262e-30,-1.3967519197233453e-05,0.002241365202390925,7.068634535581221e-30,-2.460910034955943e-05,0.00224136197605095,1.140987168034897e-27,-0.00031506124356381685,0.000963543437851475,9.288102719504102e-23,-0.08495452966108087
6,0.0022413652025832,1.416944021998136e-29,-5.704932688058847e-05,0.0022413652023896996,2.440558079793051e-30,4.695618411827551e-06,0.0022413619760980673,1.0443217898016023e-26,0.0003054280916250479,0.0009635434413209333,1.0327812986739474e-22,-0.03857870255914084
7,0.002241365202584875,2.1835938611515095e-29,-3.39988120767295e-05,0.002241365202390625,2.316312057146542e-30,-1.4949627963700012e-06,0.0022413619760763503,1.7300387220318302e-26,0.0014127465842655154,0.0009635434379056,2.5514706108716603e-23,0.051318978791115126
8,0.002241365202585157,5.6362492480025486e-30,-1.883059295672548e-05,0.002241365202390214,4.8648870964995534e-30,-1.1314685532626078e-06,0.0022413619760926,7.108366619229882e-27,0.0009832414105064198,0.0009635434396797286,3.132377745314263e-23,0.05132170350187335
9,0.002241375541173583,8.026098316136679e-16,315.614695966227,0.00224136523482923,6.778279971993371e-21,0.9732339475719229,0.002241362095711406,2.9422646988528227e-18,2.3571634533549792,0.0009643826636862529,6.826518657907238e-12,26120.193683761467
10,1.6788627846150175,4.2853848851977805,50555655027.23199,0.002241361184994274,4.2835155093914173e-16,-66.34046882014874,0.0022413608032019238,8.324519326806934e-17,-28.712502015484873,0.0010252620481688453,1.8139274892474228e-06,15816250.546713734
11,4.99392314387588,2.6435208698608808e-08,2271879.4078274975,0.0022413738389602147,3.275769015210525e-17,-101.84771067329488,0.002241362400097343,9.285330939496333e-20,-5.228968685235494,0.0009640512036645284,1.824109571464185e-12,-13801.035806946154
12,4.9940526568217996,6.460915923214884e-10,18070.359575893086,0.0022412054531139505,9.1945392260144e-14,-4219.690561453837,0.002241358997309789,4.710387329478911e-17,-74.77953966658478,0.0008872851322912611,2.9428507088363407e-08,-2071085.5954717332
13,4.994057389001742,8.987838715292355e-12,26100.682874766702,2.5774984944641686,5.157875620696189,50617506210.195984,0.00224136445353563,1.5403114989373828e-15,127.20312203101659,0.004386987105626118,3.886996392261136e-05,17828213.4078022
14,3.6475567043884465,3.3047200665391054,-44668740667.826454,4.993988463956347,2.731847004045537e-09,1281195.2524053354,0.0022413694498922593,9.498740972369427e-17,-30.237893250463515,0.0017599131760707674,1.994350615873445e-06,-16099790.610502059
15,0.07306029465065257,0.011961921145602844,-2078355693.1123335,4.994049381780219,2.0204113930076463e-11,101822.90317069572,0.0022413629952500284,3.824599512428062e-19,-14.336490374231225,0.0009609869882821001,8.594897869921404e-12,57354.825632118765
16,0.002284898083663291,6.773979939972578e-09,-1799071.2818135286,4.994057905620978,2.4570742484431118e-12,24727.950290963305,0.0022413654109579542,1.7606996018151162e-16,95.15904529021743,0.0007251857184813591,1.1839497297938505e-07,-5292098.740596378
17,2.5327532851093384,4.573116992656262,54930385835.00441,4.994059167742209,5.017202280755064e-13,7205.567473456002,0.002241358880823406,1.407397670280597e-16,70.71201060190499,0.0008364617665554843,2.3635215243807664e-06,6107339.901159076
18,4.994018294715627,1.5498383731203812e-09,29434.440631076308,4.994059869382721,1.758546304442815e-13,-3320.0056266620763,0.0022413620532035,1.7041057866131213e-20,1.8377960118033245,0.0009842912164589501,2.2766545911041445e-11,-118222.31931417696
19,4.994056651433691,1.1553925124070731e-09,7812.581293953012,4.994060106798776,1.59832555402715e-13,233.5444778145207,0.002241458781908066,7.369324354205528e-14,2854.417866253755,0.0009440107941154778,2.8930870995692084e-09,-761053.9313562288
20,4.99405840182942,2.6869847979083013e-10,67447.29449018101,4.99406087993179,7.86562671979954e-12,21872.477659110802,0.40109118717036585,0.1084408813891915,7256813798.036333,0.001234012889467315,8.110791510477808e-07,9916355.684635462
