signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,0.0002123006138324,2.6671688728255116e-29,-2.0798667103788013e-07,0.0002123006138327692,2.4025649513328552e-29,3.0425716324167325e-07,0.00021230061378326156,8.294212694766481e-30,-4.7668434449158726e-07,0.0001420278460698077,5.31742916018597e-30,-8.958181943632614e-07
2,0.0002123006138341,,,0.0002123006138307,,,0.0002123006137844,,,0.0001420278461002,,
3,0.0002123006138341,,,0.0002123006138369,,,0.000212300613778,,,0.0001420278460511,,
4,0.00021230061383215,1.1016610048504189e-29,1.2230919764163913e-05,0.00021230061383189998,1.4793327841373524e-29,2.5754108958867032e-05,0.000212300613786825,2.986914698559202e-29,3.1112206946389654e-05,0.000142027846193375,2.8568110360097038e-24,-0.002673678073480116
5,0.00021230061383202857,4.9257111520350026e-30,-2.6868361967822657e-06,0.00021230061383244284,2.395212403182509e-31,4.2677381117178634e-07,0.0002123006137849143,5.949980496436502e-28,0.00012046565948113663,0.00014202784610745716,3.97507353799163e-24,0.00441769149661234
6,0.0002123006138337,2.3685001801379184e-29,-4.0584055865026816e-06,0.00021230061383281998,1.5020144095690141e-30,1.8974794959344173e-05,0.00021230061378088003,3.1370706715311423e-28,0.0001179085093926653,0.00014202784603483998,1.4728834822736118e-25,0.004665245882026262
7,0.00021230061383225001,2.589671917542361e-29,3.831682776819584e-05,0.00021230061383204998,2.4309972162046577e-29,3.563535267293542e-05,0.00021230061378432503,1.6569176387786945e-29,-2.2347049825875984e-05,0.00014202784608980003,1.9073421529941214e-25,0.002927099222732829
8,0.00021230061383231818,4.935624346324763e-30,4.902437600561383e-06,0.00021230061383255457,1.3467319874569778e-30,-5.853493679914302e-06,0.00021230061377419093,2.714620657965204e-27,-0.0004477517788439588,0.00014202784583492725,1.4886201947028008e-24,-0.009613736520694671
9,0.00021238544432298693,1.088732106027447e-13,2075.1751072996144,0.0002123002256320783,5.8312385178942264e-18,-11.99202020115632,0.00021230249671246523,2.5473877659894342e-17,47.61952403791239,0.00014156632094942994,4.452457221832846e-10,-23189.389224831244
10,1.9478495936292533,4.631651373599976,55059694911.04319,0.0002123005596762875,4.866420339907993e-16,-22.914317279880624,0.00021229973919248,8.28245764935263e-17,57.296000246709994,0.00019969921949617754,2.653461106939426e-06,20080739.179579217
11,4.9969581587242295,3.407421994036069e-09,572710.7178435536,0.00021230069597145,6.179759408012942e-21,-1.354504608222123,0.00021230062217435003,1.2075765534285173e-22,-0.20214012105990328,0.00014202903015106668,8.464859279474298e-14,1368.830974228859
12,4.996974324034664,6.913809599020442e-10,73374.01977702955,0.00021237300718545906,1.2018249123314554e-13,1776.8314530218024,0.00021230360751918638,1.213900914357163e-16,82.57853535490105,0.0001397291422080593,7.591293192232083e-10,-84468.7024356956
13,4.996943964416429,2.570312949446108e-08,-1480285.1395002843,2.4032701016778244,5.184075450063057,52741145991.622635,0.00021230053026909609,6.059444147599084e-16,38.2282337675984,0.001144918560356456,8.457199768425986e-06,29301012.409990523
14,3.4303792049934168,3.565416716297106,-51273917602.47712,4.996952363552553,3.570453838139543e-10,485184.10015826457,0.00021230045461217425,1.1745752139512981e-16,9.413238430174419,0.0003201536332437311,9.725738968435059e-07,-10507020.97038712
