signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765956019e-05,2.4273922251378307e-29,5.517688075118626e-07,6.795643765941196e-05,4.976423650041625e-30,-7.368656212796428e-07,6.795643765948775e-05,2.14106404241336e-30,-2.5698816029805186e-07,6.09425672166347e-05,6.640383558165824e-26,-0.00011645859383166552
2,6.795643765970875e-05,,,6.795643765936407e-05,,,6.795643766394335e-05,,,6.094256933345598e-05,,
3,6.795643765980806e-05,1.027277278317563e-32,4.498852380572526e-07,6.795643765991265e-05,3.258024362514454e-31,-1.1791896275044827e-06,6.795643765199984e-05,6.308939819978556e-28,-0.00014949599742284793,6.094256601424751e-05,2.0520307405624115e-23,-0.005699673797399238
4,6.795643766091316e-05,1.3145475213707252e-29,-2.0263222892995683e-06,6.795643765971005e-05,8.876950744610555e-32,1.2861839489703605e-07,6.79564376595292e-05,2.624886888935004e-27,-0.00019284400272593613,6.094256824024686e-05,1.3111855654176972e-23,-0.012757106999538184
5,6.795643766017138e-05,6.3988288313758e-30,-2.478700113461517e-06,6.795643765981201e-05,6.000551339101308e-32,-8.446613905195523e-07,6.795643766438772e-05,5.637262651510505e-28,-7.231307587016846e-05,6.0942567239640045e-05,4.7485939811474955e-24,0.009368227752815223
6,6.795643765969348e-05,7.195500336508437e-30,1.3551445530264355e-05,6.795643765928322e-05,1.2512715532845328e-30,1.3644475539314429e-05,6.795643765896153e-05,3.095137369013912e-28,8.853945166923931e-05,6.0942567214593376e-05,3.0843586529033e-25,0.0030847196048562993
7,6.795643765926179e-05,2.4944424519202738e-30,-1.4910226072057313e-06,6.79564376598522e-05,1.3945864593103002e-32,-2.917743256927083e-06,6.795643765562327e-05,6.701348071684152e-29,-2.361268525379924e-05,6.094256725677406e-05,6.857499886382044e-27,0.0004266550436250319
8,6.795643766009324e-05,2.337939246819219e-30,6.74709433905613e-07,6.79564376598955e-05,3.1387115710615292e-30,1.877749312833029e-06,6.795643767100705e-05,1.4995370517100783e-27,0.0003193403027599857,6.094256752819081e-05,5.474795349949565e-25,0.007051301631404329
9,6.774528966307582e-05,2.4810001664924427e-12,-7238.578357126835,6.795604388747793e-05,1.4211205113062604e-17,-11.779457740690082,6.795642727174352e-05,1.4842663623985218e-16,-15.810641484379154,7.636111343266468e-06,4.6785300589283225e-08,-1613270.5406280486
10,2.1161265083361513,4.674635246148129,58208540905.45168,6.795699478323503e-05,6.972573301449788e-16,-12.882004883673979,6.795697337162333e-05,7.173979080108222e-17,0.5545704455895671,0.00021014557963485513,3.077362518943832e-06,20477928.264442466
11,4.997483877054583,2.9367162178301845e-11,103192.00200434487,6.795646808925673e-05,1.1362400844216423e-21,-0.5324796839784443,6.79564404563271e-05,8.843648857434562e-24,-0.057750800305246014,6.0872595789432285e-05,1.224605973578172e-13,-493.7742710844335
12,4.997489361856924,5.7998836874539774e-12,12102.080419374292,6.801449367224237e-05,3.506255859639738e-13,1084.9431294024037,6.795725476572146e-05,3.609312093758754e-16,1.4776429159874862,4.2485311951468255e-05,9.522291645251166e-09,-649809.1639659714
13,4.997513620376588,2.239114882457654e-07,1585174.5914911907,2.5779926869592127,5.177012378754325,53447548405.009,6.795666379576968e-05,6.867575392501584e-16,0.2427318217867232,0.0005248915914012489,5.181527830711876e-06,22892179.30283051
14,2.9540898737154695,4.200027260035062,-49795371945.284836,4.99747879158238,7.554225869573649e-11,195490.47963805927,6.795598306823047e-05,1.6400469639196215e-16,14.77717908531914,0.00019213358615750026,8.557892215591546e-07,-10095310.421329988
15,0.0006416428186635642,9.123949747075077e-07,-17939656.913871862,4.997489216822498,7.439277572951265e-13,10595.742220789758,6.795643637145306e-05,2.4225736251490633e-22,0.06570841321202454,6.064892721018021e-05,1.3117277702538093e-13,5971.106647108842
16,0.0003621882619988597,4.316077102289923e-05,10793516.94612265,4.9974897762198225,3.1170553995064115e-13,2079.2323733153535,6.795788120132763e-05,3.809950961596535e-16,45.871776305883515,-0.0005948479670777766,1.0076416202450592e-06,-15449123.818751367
17,3.015422657198507,3.9580029376821364,54888562907.07031,4.9974899666282075,1.0461357680703008e-13,-771.4900870609893,6.795532255627845e-05,1.3203582277158041e-16,70.84149995762712,0.000829934911199043,2.849809143642282e-06,-24213491.669967137
18,4.9974862124298145,2.782162434682631e-09,-490765.5737960664,4.997490062595208,4.3860219717632136e-14,-1748.3080210269711,6.795643886261496e-05,6.471314700107792e-23,0.07385129613622834,6.246588146890426e-05,2.1181066451137345e-12,-28942.31248925306
19,4.997492142477144,1.1167423378529928e-09,-77326.52900029492,4.99749014237419,3.4150841353625794e-14,133.8797296198164,6.649565639282122e-05,7.601257787854165e-12,-60744.25078313331,-6.323469842299119e-05,4.825771666044618e-08,-4970918.795766273
20,4.99748964615791,3.632514078576416e-11,11853.7362352795,4.997511892740991,5.863790352233321e-07,1808718.5400784884,1.4183716115314027,2.948722754742406,32384766307.789234,0.0002700801095574393,8.748645903797185e-07,5111618.270636014
