signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,6.795643765931104e-05,1.1700796322417158e-30,3.3328882332445884e-07,6.795643766043113e-05,1.2381787026127221e-30,4.322664524551798e-07,6.795643446367537e-05,3.481221700362723e-30,3.407946899846666e-07,6.094545996450585e-05,2.2431483798703132e-26,-0.0001284073141542501
2,6.795643765964859e-05,,,6.795643765741172e-05,,,6.795643446531855e-05,,,6.094546045780229e-05,,
3,6.795643766060158e-05,1.9886602555017978e-29,4.439460807726121e-05,6.795643766071907e-05,1.7252157094916358e-29,-7.433395606103249e-05,6.79564344582848e-05,2.8354302689111965e-28,-0.00017774817824326016,6.094545903148794e-05,6.724086243273107e-24,-0.014052620907144235
4,6.795643765962684e-05,5.695860382549071e-30,1.1885351100558516e-05,6.795643766009066e-05,1.3979914375728653e-29,-2.101585236337688e-05,6.795643446351536e-05,1.826120470116565e-27,-0.00014909979966728994,6.0945460329247045e-05,1.1087778676580871e-23,-0.010730628574191487
5,6.795643765977951e-05,9.945400019247247e-30,3.821257399045449e-05,6.795643765956209e-05,1.6122768275926242e-29,-4.9307264608632e-05,6.795643446742453e-05,2.9796167294713896e-28,-6.972527993892122e-05,6.0945459906492765e-05,2.3181431659180704e-24,0.003161214830281916
6,6.795643765922434e-05,5.8090529922955795e-30,5.887231288051845e-06,6.795643765981651e-05,2.7895789155247306e-30,-1.692386696952999e-07,6.795643446308397e-05,1.0383144556112594e-28,6.0349902372505346e-05,6.09454597474457e-05,4.1216258050718192e-25,0.0034240779509901224
7,6.79564376586857e-05,1.280735339263133e-29,-1.312572560312029e-05,6.79564376606172e-05,5.2368108710332625e-30,9.647530212438871e-06,6.79564344624517e-05,2.58511326485919e-29,2.2715029927100032e-05,6.094545975485427e-05,2.78711382085301e-26,0.00013814530035512686
8,6.795643766025813e-05,7.246632952199806e-30,-1.4102329614058818e-06,6.79564376603717e-05,1.9680126858770674e-30,8.650138046263833e-06,6.795643447506024e-05,1.4902908071812719e-27,0.00032268364994926876,6.0945460047857475e-05,5.404572862199356e-25,0.00676692953715099
9,6.774528731041291e-05,2.481011883348843e-12,-7238.645546197869,6.795604202425651e-05,1.4237279464668557e-17,-11.832013730843284,6.795638810355171e-05,1.4959402402458672e-16,-16.80625354471697,7.324659237639263e-06,4.729399988998599e-08,-1622706.8482870206
10,2.1161264838231935,4.674635256712614,58208539695.14715,6.795699382789505e-05,6.964687724340564e-16,-12.893944827030069,6.795708612509241e-05,8.173851032881193e-17,0.5558462600692159,0.00021038344189970533,3.0864211619885732e-06,20463001.346276436
