signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
1,7.369521627127687e-05,3.0252953438620444e-29,7.32327737959865e-07,7.36952162710815e-05,6.272601281492878e-30,4.7395958843949006e-07,7.369521627141062e-05,3.160576645658726e-29,5.723790565528381e-07,6.437806326639497e-05,4.895315927469234e-32,6.270061572295512e-08
2,7.36952162693387e-05,,,7.369521626952401e-05,,,7.369521626968668e-05,,,6.437806324084294e-05,,
3,7.369521627230481e-05,,,7.369521627238291e-05,,,7.369521627263923e-05,,,6.437806338356971e-05,,
4,7.36952162707331e-05,2.342851028612377e-30,-7.678770321909352e-06,7.369521627076211e-05,2.5594000987949373e-30,1.1832987710999855e-06,7.369521627065368e-05,3.3166996935308387e-28,-3.477749281230173e-05,6.437806365390962e-05,4.551315623225172e-24,0.004462859512377388
5,7.369521627109346e-05,4.644841156850858e-30,7.87701935221763e-07,7.369521627112502e-05,7.86581958035129e-30,-1.683702067378879e-05,7.369521627387892e-05,4.38975688179704e-28,3.939167628285037e-05,6.437806317808468e-05,3.682785582916549e-24,0.009788052735136478
6,7.369521627086492e-05,4.504463220815758e-30,7.922328667603627e-06,7.369521627106766e-05,3.1845752170631204e-30,-1.0313592664361295e-05,7.369521626958321e-05,1.6358149849929046e-28,7.503935710948427e-05,6.437806320606412e-05,8.047802831819362e-26,0.001501812943308495
7,7.369521627045053e-05,3.261890972194102e-30,-3.47215859396689e-06,7.369521627126325e-05,1.4221028307699783e-29,-3.080796191321533e-05,7.369521626818722e-05,4.4894849532655055e-29,2.0465988777924777e-05,6.437806330596132e-05,2.479177825326059e-26,0.0013170590905798422
8,7.369521627095432e-05,1.6151533906046005e-30,-8.198091134442447e-06,7.369521627111106e-05,3.239272824605328e-30,6.743017220027953e-07,7.369521627139107e-05,1.0894618759235019e-29,-3.7758134441114636e-06,6.437806327836046e-05,3.97343699511231e-26,0.0014788858411740745
9,7.359084889967175e-05,1.2527210291795111e-12,-3659.4854866625474,7.369475302432806e-05,1.1849460158121278e-17,-13.483633573492208,7.369545733265655e-05,1.2123454736867408e-16,-4.849261333036664,2.4388620086352834e-05,3.121849809537108e-08,-1155539.3948079154
10,2.1161992711892097,4.673397427961758,57531437506.35329,7.369580948498152e-05,6.780452026292709e-16,-15.923476373152493,7.369553670323922e-05,7.384383613161718e-17,10.16552103782294,0.0002151201407772535,3.031086302747883e-06,20098954.416175574
11,4.997454631765352,3.062601582516864e-11,105598.18716094526,7.369524456138334e-05,8.781902242019224e-22,-0.5747984115112419,7.369521685191428e-05,1.6087152678899617e-22,-0.08232580670593803,6.433657175387415e-05,3.84615413805244e-14,-184.330923100543
12,4.997460347496761,6.030572273491946e-12,11800.100515746526,7.380455145451714e-05,1.9697877914311053e-13,3210.344916596323,7.369720670220625e-05,2.1668989624469708e-16,70.28838298398054,6.279278038790003e-05,9.839940424760455e-10,-71517.73859079425
13,4.997523049850447,3.297896291375174e-07,3243717.0090767695,2.576569316354804,5.209371670747084,51617938230.485855,7.369494133031833e-05,7.048660458118639e-16,45.90073102614578,0.0005326387178690135,5.188056472278198e-06,20685574.198572285
14,3.0873889637899996,4.066601770531364,-52750517334.035065,4.997449045902733,7.368145436375984e-11,210020.01148793826,7.369551199941051e-05,1.9046798140155878e-16,-4.961124591143911,0.00021616119181048544,8.78824728729863e-07,-11775678.451168835
15,0.0019814181921503234,1.6390753088983075e-05,-51089059.09923935,4.997460099359706,6.403915462034583e-13,6999.37151274808,7.369521742949163e-05,3.273167589230233e-22,0.0027032773744543348,6.396029382286096e-05,1.8627607068073158e-13,6387.694027798799
16,0.000627196038696683,6.0444590528437076e-05,20071364.270384617,4.997460851496931,3.0904073575007653e-13,1086.2924158271053,7.369669262834526e-05,3.7819031135997617e-16,49.59870018134515,-0.0006145981491131573,1.026671610550195e-06,-16660286.273942273
17,3.0185114517314084,3.937210021498521,54969774845.54687,4.997461029090469,1.0851164526965328e-13,-650.7429164939246,7.3694128197644e-05,1.2854788623842692e-16,70.52869714790481,0.0008316205035228234,2.8125653411624892e-06,-24464074.152519803
