signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,0.0006430522658139,9.18795637604364e-07,-17993876.495177414,4.997489216471916,7.325325362249032e-13,10575.725370422597,6.795643634829061e-05,2.891135209480084e-22,0.0706843516922777,6.064865337355183e-05,1.3151579447705924e-13,5978.879352126271
58,0.0004113727599338,3.350926188474653e-07,-11485651.658271482,4.997486283465838,4.948404665662464e-12,29834.367033783517,4.997490042072398,1.490612676052391e-14,-189.0147148294309,4.997308454253544,2.498283297519285e-12,-22146.959788421034
18,4.997486216665959,2.837906827529512e-09,-496028.0840354505,4.997490062602676,4.294092566211439e-14,-1725.4071472514995,6.795643886562208e-05,3.423312835680426e-23,0.0503986117919775,6.246532424077123e-05,2.1288193581810386e-12,-28979.54822820483
59,0.0935156569163349,0.0486029285457585,2793582546.9886646,4.997488762826429,1.7457486949855384e-12,7386.797308873573,4.997490103276047,8.634727286356033e-14,747.8212288051049,4.99403822538428,0.0001336910717862,-118550971.66386604
50,1.3096178884474023,1.9967436502045657,-29952818950.42329,1.3103459591591688,1.9983643130975728,-29967774887.12839,4.996061739537471,1.3006010067926377e-06,27727407.688104853,4.99857857058618,3.249706325049483e-05,-84739219.45891763
24,1.343809158399313,3.7286760454595953,41850158450.50747,4.997490204528848,1.7895489470040293e-14,-34.53407914362888,4.997489817515972,6.169425185346337e-12,3111.5200749189357,8.698529421655224e-05,2.714693187202193e-06,8150324.193231413
60,3.959384772378084,2.0813738017062486,24804010750.88413,4.997489253024843,3.870932170709766e-13,4757.005081673665,4.997490066602807,7.525016762014866e-15,1145.085724098236,4.98710584917651,7.355884636426119e-05,196853639.39459923
22,0.0009266048796899,1.212587644971398e-06,-17799548.14259042,4.997490185755495,1.1491449853877266e-15,-127.63073834351486,4.997486784972934,4.202961486354231e-11,71035.33195900523,6.05754826896866e-05,1.8349853956325567e-13,6322.582380333292
21,2.954787722319317,4.263278129194635,-49267670729.78952,4.997490161664427,2.4686333760098318e-14,173.14870673270394,4.995590825106135,9.461383139001064e-06,48570423.060897335,0.0002336157365505,6.890630944333051e-07,-8380896.134840614
29,0.0700714464220366,0.0120818921358593,-2292403551.821758,4.997490226695052,7.836705760414331e-19,16.065409669450396,4.997490164877348,9.772706238468192e-15,0.9578160493494156,5.877898387030383e-05,6.6704470129515336e-12,56373.67179638178
57,2.720433129760388,4.391525699579559,-48745723578.637215,4.997419489129623,3.1882319730928917e-09,1232808.4991283298,4.997489974126106,4.191189280476306e-14,74.84156978540045,5.003547248371308,2.804309622369315e-05,-108927296.66138288
28,3.8666278311427273,2.931005538289564,-35914221725.1528,4.997490220414206,2.33064290302572e-14,11.899236771507482,4.997490155105954,3.8089362667753704e-14,433.1686613213977,0.0001928676292672,8.277293156475382e-07,-6631461.529536895
31,1.6315905141690343,4.288468965885547,48714779329.05049,4.9974902311736695,1.8838090066897776e-14,-54.63908615883412,4.997490201701937,1.5307118172475518e-14,-4.880679605550126,0.0001089595755945,2.857657565049497e-06,8941059.154908406
14,2.9537839100213006,4.200582311857288,-49783754824.41675,4.997478790291056,7.554792565753631e-11,195458.19462809016,6.795598663835519e-05,1.6406656938443564e-16,14.627584159886126,0.000192123482359,8.556749925118325e-07,-10090419.670625877
53,1.9286689502882453,4.513200145646125,56642783024.74861,6.806100200302674e-05,7.938509808628993e-12,-6969.609145423549,4.997488914609251,8.507600680366299e-12,5182.060173609076,4.988809002446206,0.000150998688984,-89166804.37622699
51,0.0001832341020183,1.004250306365116e-07,-3221608.6005821703,0.0001833380284217,1.0040166816469097e-07,-3224816.3918751325,4.997478484605137,1.6910319620077612e-10,189616.3929383233,4.997301881221657,1.5146804171655882e-10,204879.89301243064
44,0.0001579608031205,4.4827394931028984e-08,-3199487.109561863,4.997487047871885,2.007375146106756e-12,27375.210728918075,6.794453989348663e-05,1.7694696913401082e-14,53.959180234278,4.997307499056756,1.0156641595213365e-12,-11037.666292019016
9,6.775737401414276e-05,2.3397122440756133e-12,-6864.031049136956,6.795603110645258e-05,1.400452848535986e-17,-12.190521584738647,6.795641158488534e-05,1.5401139034593575e-16,-16.64357586378357,8.786956603470182e-06,4.537972609910397e-08,-1577614.4626123114
23,7.165326375921995e-05,1.3726971757335243e-10,-105643.81638660724,4.997490197415431,8.440308855865024e-16,1.560010425310303,4.997489454191621,2.200354331031643e-11,14729.97615938905,6.087858276454426e-05,2.4788142265145176e-14,524.2721343673807
52,6.953036102869822e-05,8.175145287244094e-11,-45241.37639282808,6.950873983153303e-05,8.053605309083874e-11,-45949.18294650764,4.997487946519512,3.914495074500357e-11,12899.91929354732,4.997362802296637,2.4366610817659552e-08,1484112.7049029982
19,4.997492168581728,1.1402745035501595e-09,-78508.51877051927,4.997490142201361,3.3418897040781415e-14,132.15481573310117,6.645771216326119e-05,8.107945067173395e-12,-62128.34107616847,-6.540239349839799e-05,4.99698634839171e-08,-5041818.446366576
36,0.0256215019679152,0.0015381268157034,-610246506.3345262,0.0256247976447805,0.0015385081975095,-610342929.0199685,0.025633193414397,0.0015394901274952,-610543994.3362441,4.99381468692951,1.9873511140710213e-05,78373632.18370637
43,1.4067490944564245,2.034603147311614,-29715822544.82094,4.997454462293867,4.260146630297971e-10,501532.1970691418,6.796413699853222e-05,2.612607315674348e-14,4.511137683071873,5.000437011528811,9.68620217349261e-06,-67430002.78267506
3,6.795643766278104e-05,0.0,0.0,6.79564376566223e-05,0.0,0.0,6.795643766303831e-05,0.0,0.0,6.09425674069834e-05,0.0,0.0
55,4.997486048909128,1.2220109029380075e-10,57556.63776658832,6.712553566252778e-05,9.946906221308258e-12,-31334.664665185457,4.997489863000486,1.9667744818010845e-12,857.2656428510281,4.997502726006194,2.4261497415380495e-07,6525362.082721069
2,6.795643765675041e-05,0.0,0.0,6.79564376596245e-05,0.0,0.0,6.795643765668316e-05,0.0,0.0,6.094256725768955e-05,0.0,0.0
34,4.997443013036497,2.0156539798647224e-08,-1422185.471270185,4.997444576427943,1.938399246817844e-08,-1450213.7140310283,4.997444517017872,1.9363702630831164e-08,-1451308.241408866,0.3105737331665834,0.1665367915068682,7985991213.78168
56,4.997468078046677,6.73165207502611e-08,-466954.2972496702,2.8504116794922933,5.097285414174454,50730966924.73016,4.997489878443402,4.826836073702422e-13,906.9292900257584,4.99209880115925,0.0001724876112385,102997097.8373258
5,6.795643766032245e-05,4.3690024417145896e-30,-2.959689723815114e-05,6.79564376598652e-05,4.767859241592598e-31,-5.964429292000727e-06,6.795643766239138e-05,4.6904500334811905e-28,5.607271275442595e-06,6.094256721591872e-05,3.8100135390669744e-24,0.0097744254751553
27,4.9974894960131,1.8279465365886773e-11,11735.425884371938,4.997490220156025,2.2333020763688195e-16,19.3936438809696,4.9974901285875015,3.753754034996159e-13,684.0821239766765,6.086779984416472e-05,7.54268288641524e-12,5960.5300751394825
7,6.795643766049676e-05,7.181552661103019e-30,-5.36871580128466e-06,6.795643766050346e-05,3.841024127206472e-30,9.572209656791849e-06,6.795643765868257e-05,2.1139509571939768e-29,8.073396516071758e-05,6.09425673155716e-05,1.641833301475662e-26,0.0012831833807076
26,4.997491496539955,1.3123976244734522e-09,-71557.73260313572,4.9974902168300215,4.753457528817896e-17,39.17249435659132,4.997490176447875,1.1016834884249105e-12,-902.221760772196,6.106372086734749e-05,3.205219120344771e-13,-3209.2719653453614
