signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
25,4.99749017361789,2.517540298498107e-12,15261.553182317664,6.79564374200228e-05,2.838022496308864e-22,0.1615201371916292,4.997489796594717,1.5669817317743863e-09,378857.09799405833,6.094275120536736e-05,4.8829672055540346e-14,-2113.477941817825
24,4.997490156734842,2.274854717044332e-12,6192.733371942871,6.795643686411217e-05,5.646252281640676e-22,0.0949351503792633,4.99748933375137,1.8399572382618146e-09,171837.9292581043,6.094287555433742e-05,4.357488573584102e-14,-837.8382819936056
23,4.997490128200971,2.411563623914311e-12,9007.280233899566,6.795643621584994e-05,1.6778784667260326e-21,0.2313098928470024,4.997488856451783,2.6280489424038692e-09,295003.6168715377,6.094348675678388e-05,4.667987618710926e-14,-1233.4443693618716
51,6.795089049622683e-05,4.6558224366578066e-11,-28392.79400936191,6.793537491611982e-05,8.382151250370434e-12,-11954.66443424774,4.99748620300971,5.340224307811839e-12,42615.40304007258,4.997307260105963,1.7473950291655928e-13,1014.8987115946434
18,4.9974953065317065,2.295734842386375e-09,-11296.86936593551,6.795643077946989e-05,1.8734140777122536e-21,0.0239213965816532,6.79564264019847e-05,4.292709399119399e-21,0.0441421725363987,6.098398641801535e-05,4.5760105817447696e-14,-372.5902397152978
50,6.799049980494003e-05,4.6957811837078586e-11,-41964.81931051157,6.798234433915127e-05,7.579275254926067e-12,-17407.406251564295,4.99740504064467,1.0281516326035277e-08,1955090.8485505164,4.995948533650637,2.6643397284090853e-06,34512162.74269707
15,0.0012660469987275,4.119994211900061e-06,-29139375.9686918,6.795643567548557e-05,1.4426086042569691e-22,-0.0251046195975911,6.795643743566398e-05,2.711800239401588e-22,-0.0298444745429632,6.057949343836135e-05,2.482460011641324e-13,5891.908281412701
17,3.072963721367104,3.920175047118169,53515077716.65543,6.79570924517517e-05,1.9706863827571162e-17,-30.45996836110741,6.795474943412686e-05,5.827374683790682e-17,100.40680915028712,0.0010199107835282,1.316551044825316e-06,-13850887.124776129
26,4.997490186501094,1.847588236192094e-12,5618.095278440773,6.795644378288208e-05,3.1172078484442788e-21,0.3216446611649619,4.997489555442133,7.858007389133182e-10,118964.5736272374,6.0941381841296495e-05,6.592324931035397e-14,-1073.2747056806484
21,4.997489913782191,2.6343402157059977e-12,-1434.2209646706694,6.795645968707202e-05,1.7743007321308388e-19,-2.019173374193354,4.99573127516991,8.137176165486623e-06,47044963.00973961,0.0001065994904935,2.4108251026444068e-08,1166240.6901023488
20,4.9974899990758725,1.3463321276287868e-11,-6610.079259030721,6.79556828258546e-05,2.040831549133416e-17,-1.586295693221876,1.522091309523239,3.321948325898491,35593049919.92973,0.0002562374741018,6.138212500540789e-07,5323327.738920662
52,6.819877841143126e-05,3.735195372753632e-11,-3099.7462793832774,6.806630181474019e-05,9.584723329242992e-12,-1230.6978151016588,4.997488534428256,1.7711801577485712e-12,8502.991128046371,4.99736567564741,2.6648518654382044e-08,1651899.0531302
58,0.0004105894533986,3.297429313390061e-07,-11454527.647757366,4.997486280499295,3.892658098693858e-12,31530.654031632694,4.9974900603401,9.18213272484394e-16,368.068046910396,4.997308459721451,2.5406621838011188e-12,-22197.19931152739
3,6.795643765853845e-05,1.749008520310808e-29,2.5027908260886327e-05,6.795643765966094e-05,1.3363694226368198e-29,-1.819867255187726e-05,6.795643765055617e-05,7.571372799931672e-28,-0.0001810027872248,6.0942565971649294e-05,2.192133515655644e-23,-0.0061135688315421
6,6.795643766020736e-05,3.9773967814851814e-30,-1.1098938452537276e-05,6.795643765960558e-05,3.868078849772772e-30,7.216765257445399e-06,6.795643765821743e-05,4.385953247854481e-28,0.0001061176284008,6.094256721379584e-05,3.172275263701004e-25,0.0031474628723015
60,3.950879085219344,2.1282891210194403,24159084071.59756,4.9974892485391305,2.581472347712457e-13,4616.514089423963,4.997490075213092,6.2459723207359705e-15,1068.5098693879918,4.987142067384551,7.551785357753092e-05,191102322.40989307
7,6.795643765911254e-05,4.545470366811196e-30,-8.403688057376193e-06,6.795643765922583e-05,2.471809157398024e-30,-8.521183576209459e-06,6.795643765657665e-05,1.050464855059405e-28,-2.65160397823204e-05,6.094256725712995e-05,6.67218237535229e-27,0.0005351997486064
55,4.997486582856659,5.3299473058318345e-12,30279.866072124405,6.706324242827929e-05,9.759996453447131e-12,-30720.092123292965,4.99748991263732,2.546638869189634e-13,3453.886949062356,4.997516257981238,2.539980789380611e-07,6483201.271393949
5,6.795643765918588e-05,1.0823044526226324e-29,-4.679869249847401e-06,6.795643765973187e-05,2.1005152185231213e-30,-9.617410530418524e-06,6.795643766540782e-05,6.509012167250683e-28,-7.71525836665609e-05,6.0942567234914686e-05,5.0813176538838436e-24,0.0097908319908228
53,1.9395571166446368,4.487919978398002,57936888542.955696,6.791140932682822e-05,3.010131275454467e-12,737.3835169189119,4.997489320184503,5.100504897650458e-13,1750.7896626095596,4.988688119699372,0.0001500559493481,-97902557.12645026
59,0.0921671882103181,0.0475467199977086,2750630981.7744813,4.997488759018997,1.1208689382391505e-12,7762.742644127854,4.997490116549813,7.869093392688789e-14,867.9723228908955,4.994074815852251,0.0001329012331073,-117366140.85008906
4,6.795643765975377e-05,1.0587627316493915e-31,-1.2702631406022464e-06,6.795643766007734e-05,1.3999074633161313e-29,-2.0157509887407643e-05,6.795643765976754e-05,3.1808151708083908e-27,-0.0002147103080754,6.0942568279695775e-05,1.401714599859981e-23,-0.0131583255673796
9,6.77453138221947e-05,2.4807147278164996e-12,-7237.855276964035,6.795604386349541e-05,1.4210855118388726e-17,-11.780142490541625,6.79563659136591e-05,1.57728493422349e-16,-17.96948862606995,7.63983823496008e-06,4.6785273102196295e-08,-1613176.5619029975
54,4.997413408109073,5.8932615045682795e-09,1518144.906456642,6.795778489840776e-05,1.0603777615608654e-12,-7289.10028361007,4.997489643257489,1.4822987998551173e-13,4184.495651112042,4.997278557933327,2.3073390958917956e-09,819547.1946996901
29,0.1191481627334794,0.0355128795907749,-3714313990.6823983,4.997488078166575,8.90575346242466e-13,17308.99475645529,4.997490178950784,5.49541572928244e-13,-3692.6250429433017,5.570488640276641e-05,1.0148756909659019e-10,166051.41133865935
8,6.795643765986229e-05,2.9288086541280682e-30,1.277806019292054e-05,6.795643766005833e-05,1.2161642511418572e-30,2.628625421712925e-06,6.795643766967338e-05,9.399918057834468e-28,0.0002588607950499,6.094256753392957e-05,4.552870134428948e-25,0.0072099524732444
30,8.546238989648835e-05,1.1926879638879414e-09,-579447.2989971788,4.9974896627081815,3.107358998644364e-13,1911.5805265217991,4.997490195679438,3.9072850835079403e-13,-1312.6908338290818,6.0835339536624446e-05,4.3904000828841146e-14,596.991637613408
33,4.997488496949481,1.7134343777595712e-09,330468.7928260791,4.99749011441229,2.0329130345176867e-14,-768.0020077059983,4.997490211821521,3.262879354227344e-14,-1358.1831710168549,6.094350389148353e-05,1.5149821803802836e-13,-3847.882298160133
61,4.997478637689107,5.330119750884196e-11,160608.92750779283,4.997489565493269,2.020406746941781e-13,1337.3208468488554,4.997490135340478,8.815724260650129e-17,119.61613124691304,4.9973072770868745,1.6742930169967256e-13,-746.668123323793
14,2.819440338124077,4.215100263501936,-50832923482.988335,6.795576092755722e-05,2.367680474964054e-16,35.41148572468993,6.795592797618997e-05,4.592430120273238e-17,24.468117608823693,-2.345245887676656e-05,1.0877759713185837e-06,-9512919.705057569
28,4.084801175653985,2.510781062404266,-30186601642.650524,4.996860288017745,3.4392170352297536e-06,23362199.92855221,4.997490107393557,2.233270660669434e-12,1526.39748842401,0.0004150358831141,9.178554576687036e-07,-11957844.340015776
37,6.758653154538709e-05,5.462882020224838e-10,57432.435720352914,6.757807089227843e-05,5.465921011946192e-10,60281.63724832178,6.757849721510104e-05,5.463600497497369e-10,60384.306034186106,4.997307385722602,3.686553854870285e-13,2557.519784581482
36,0.0218340246222657,0.0011198781655036,-514811632.8096408,0.0218356913651328,0.0011200446134256,-514847671.6090488,0.0218445528682377,0.0011209403901589,-515058898.42527103,4.994110952890811,1.644693251002967e-05,70972962.48144726
31,1.6323989674176531,4.287404034597113,49074178343.79346,4.99748991894583,1.0541921262975341e-13,1023.1389557236178,4.997490209085563,1.295210193183738e-13,-171.79642934927136,0.0001010102652208,2.868756527409887e-06,8967645.381904757
48,8.125854781463855e-05,3.202136955071229e-09,-181729.818078978,8.075036905061145e-05,3.347466916814773e-09,-175051.07711679905,4.996915117048141,1.3077528072800526e-08,570011.1345326629,4.996564783482696,3.851545987115091e-07,-5315838.804160708
32,4.997480266220448,2.4908595402820622e-09,476706.0963361621,4.997490003603138,2.4460372258070213e-14,446.69704106929896,4.997490172499151,3.5283991326706185e-14,-164.63219041078744,6.746556981976871e-05,4.18744879052691e-11,-141064.27551378068
40,4.997468484247375,2.845580964701684e-09,607756.8264273459,6.79535635263248e-05,1.9777065080007485e-11,34056.57445537545,6.795357086865174e-05,1.967794115895396e-11,33971.11252164577,4.997306589677963,1.9566619431005897e-12,15037.97830147593
12,4.997489249084248,6.574933426998843e-12,8379.408433735725,6.79564444012099e-05,1.333388469666134e-21,0.1867889930851661,6.79565463276543e-05,1.0135546369966348e-16,-0.2775373471016969,6.0949231847233607e-05,8.653725066521379e-14,-438.2084542662285
27,4.997490241877987,8.539818938915558e-13,1890.4567246415509,1.0542367052957038,3.021883473982083,31101117981.01187,4.997490020886358,5.234695500265246e-11,8959.543412775174,0.0004407455784285,4.9850570529798125e-06,25666491.476517625
11,4.997483877071086,2.936751021033682e-11,103192.07010307023,6.79564680885594e-05,1.1361297621863924e-21,-0.53248161955361,6.795644003503961e-05,1.3204776263739117e-23,-0.0615145766205129,6.087259745059695e-05,1.2245423820361528e-13,-493.7553557657711
47,0.095383293469659,0.0200380603421567,-2930952528.153424,0.0965423075251398,0.020394637797372,-2963118713.053695,4.996919804506764,5.097962357725117e-10,505059.50779203535,4.997457823769387,4.851957083015604e-08,-4477067.932437338
39,3.4904561729355965,3.162832644295977,42473234903.09509,6.816037718429451e-05,2.4842563405912672e-11,2361.9569967193625,6.815956528192427e-05,2.472048786085705e-11,2363.190707211288,4.984042778534838,0.0001107253886625,297890112.3512589
62,4.997486902202337,5.066972408082495e-12,19281.66998252696,4.99748997977408,1.9372129155382666e-13,983.5249133555,4.99749014577355,8.41540226637877e-17,92.23346777654628,4.997307514941908,1.8578501482128666e-13,115.58480427010969
44,9.968054834271164e-05,2.693037534555348e-09,-896154.7485401618,4.99748028927705,1.7421462400442107e-10,131574.9985362721,8.644462384489297e-05,1.100699443427302e-09,-700268.4713604809,4.997307170081268,1.3412283739896498e-12,4881.304454904915
