signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,0.000641642718586,9.123945822029932e-07,-17939652.651021928,4.9974892168227285,7.440177543022374e-13,10595.936681644229,6.795643636095639e-05,3.11930609145548e-22,0.073109460139206,6.064892785587529e-05,1.311099012816486e-13,5970.685837705094
24,4.997490151339994,6.9718278865843095e-15,176.60827579448085,6.822311562621382e-05,6.899526932291921e-12,1834.0458298988449,4.997490011274225,1.5634127162750294e-12,1140.6024979063525,6.093993771379683e-05,5.940688028282577e-15,-9.0204024004196
55,4.997488533923472,1.6532719997948243e-09,-52058.0749239261,6.750729902535411e-05,9.064078890945892e-12,-19851.786144007463,4.997489807756246,1.2758096968685576e-12,2352.934391629261,4.997450472807647,1.300241060576165e-07,4675879.849355936
58,0.0005967510805105,7.956634520055575e-07,-14451161.718438627,4.99748575959336,8.842853646989489e-12,38490.9981506581,4.997490060753447,7.99894894692997e-15,257.222271715456,4.997308929088363,6.628841325794202e-12,-37157.95734861332
3,6.795643765906708e-05,0.0,0.0,6.795643765964573e-05,0.0,0.0,6.795643766040432e-05,0.0,0.0,6.094256740809238e-05,0.0,0.0
2,6.79564376569566e-05,0.0,0.0,6.795643765987367e-05,0.0,0.0,6.795643766252507e-05,0.0,0.0,6.094256725735016e-05,0.0,0.0
29,0.1209723633534615,0.0279389587528089,-3629951721.5204334,4.9974879991055134,6.801841552483596e-13,22025.200959952173,4.997490184155944,7.784534029240397e-15,159.47803168056157,5.67160578611279e-05,4.529528772817916e-11,120631.8355610796
60,4.072865557847619,1.8631785243704004,26356646329.221493,4.997489193542824,5.587387676339042e-13,3838.7454273339695,4.997490078881046,6.350151227233239e-15,1181.863259740007,4.987664158855118,6.480791279960954e-05,213074214.63342008
26,4.997490200283156,6.003818688951754e-15,-275.29630428597966,6.75873475297271e-05,1.2046322872146144e-11,13485.962519919269,4.997489976491606,1.413962113105644e-12,5699.72962449015,6.096172991062407e-05,2.7193535837348707e-15,754.6467490631485
50,6.673432300833003e-05,1.2689828733438608e-10,-13246.91244025487,6.696827078807255e-05,8.462859273499372e-11,-10659.837160282994,4.997278484352825,4.2734333580426244e-08,4441333.741591455,4.995003030976367,4.144513534675974e-06,47212400.91224375
18,4.997486212429494,2.7821600856658875e-09,-490765.3588687053,4.997490062595258,4.3867714742305536e-14,-1748.4905760739646,6.79564388607507e-05,6.652201108165374e-23,0.0750805069140369,6.246588130061718e-05,2.1180562683736712e-12,-28942.07754748273
9,6.775739901608223e-05,2.339421832470125e-12,-6863.283702185925,6.795603108305198e-05,1.4003852261642746e-17,-12.19140562847439,6.795645718106263e-05,1.4783461023850372e-16,-15.060334754745698,8.788407367918565e-06,4.5374853759026625e-08,-1577563.7071094762
21,4.997490022834081,1.2943100422763156e-13,-346.62600551218395,2.9242313585564137,4.233686308104637,-49252763043.44788,4.994208735063246,6.173707991792359e-05,101146590.99185608,0.0001260872689229,5.839089622709981e-07,-5520097.532873456
23,4.997490143992655,7.559219581215365e-15,178.06592928150977,7.042485594844411e-05,1.934212147332796e-11,-85434.8755990558,4.997489291992738,1.7736101917146925e-12,5550.78961743969,6.088176354684023e-05,1.3781558791542143e-14,597.3801904130232
48,8.456904963714918e-05,1.7060811031953155e-09,-452729.1957897727,8.468230691088194e-05,1.6669082723194183e-09,-446902.2134939386,4.996279097282516,2.9349355793347682e-08,3052924.4985657376,4.996406125787886,4.6223101362676033e-07,-11029598.059709316
59,0.1147430064720234,0.0619360899312938,3603155995.0569873,4.997488832922791,2.339210068145893e-12,7269.709207409655,4.997490109570803,8.824027556632914e-14,720.6334266193643,4.993332943420851,0.0001499971037288,-149412314.57680255
52,6.758176390199354e-05,9.451865801909849e-11,5745.113866197418,6.763365763205184e-05,6.280280227612608e-11,4461.115856446205,4.9974885348321365,2.3559816204504258e-11,6918.884204930775,4.99736411482946,2.5869818755453337e-08,1478557.8489984
14,2.9540899291788665,4.200027324659842,-49795371340.701584,4.9974787915947845,7.55422794701149e-11,195490.319356406,6.795598316674209e-05,1.6400714108110064e-16,14.780119762651422,0.0001921335836773,8.557892595631558e-07,-10095308.528283356
4,6.795643765970921e-05,2.574769670947467e-30,-6.936145228401585e-06,6.795643765996542e-05,3.0223002204745376e-29,1.5878757453554102e-05,6.795643765958212e-05,2.9092433839888676e-28,-4.258149739844384e-05,6.094256767308812e-05,5.00759768334248e-24,0.0041385645562644
31,1.6230881608090868,4.282621593448846,48490962979.137886,4.9974899118002565,2.2684704427344493e-14,1213.3795265850172,4.997490199285435,1.2691844329975048e-14,54.52133468348572,0.0001082317980097,2.877535783419615e-06,8842442.839691037
54,4.997425461120275,1.3909462580745192e-08,1033999.7859486172,6.760289245743198e-05,7.017050936987064e-12,794.2197517981464,4.997489814165824,1.8804238709857284e-12,1325.408692477396,4.997293020426491,7.361727869580623e-10,393706.6609294356
25,4.997490174871586,7.489469490257824e-15,-1006.0898934201388,6.797139761768825e-05,1.2522395478945168e-11,44687.643749992094,4.997490001417249,1.8168831225911717e-12,17612.443664327857,6.093762733172078e-05,2.8927874737978228e-15,702.5916249697566
30,7.421352834204058e-05,6.938952674240413e-09,-15426.24001228158,4.997489636583667,3.477574729122246e-14,3623.881815220264,4.997490190339776,5.863032015982405e-15,268.3943837284572,6.084655682334139e-05,3.4836242369785593e-14,67.97729175227875
22,4.997490086948152,7.578719034271249e-15,-197.873832415946,0.000960536814976,1.202216764820752e-06,-18328999.644874558,4.997486710749155,7.217109296469293e-12,46455.42515349981,6.056262583576427e-05,1.1040177769579468e-13,5774.044149610558
49,7.025445313167579e-05,2.2444201809013577e-10,-22667.379712747792,7.001200316324373e-05,1.7234925439541818e-10,-23155.44966995313,4.997001029303078,1.5038412179875732e-08,-1694447.4604285953,4.996040224365767,2.221591418192292e-06,-27443695.56917868
61,4.997472605831061,1.1006383334357429e-08,1016241.012261687,4.99748967285667,4.211948994186148e-13,-3892.149588934424,4.997490128537628,1.0417608880370914e-15,354.0263516944394,4.997307198777024,1.8573048939400251e-13,983.8999071797912
7,6.795643766065755e-05,7.561217491043406e-30,4.686225996131599e-06,6.795643765859086e-05,5.772773458131184e-30,-5.026399902083523e-05,6.795643765786302e-05,3.5376697751751075e-29,-7.675164890263234e-06,6.094256731619816e-05,1.6986841117927773e-26,0.001299470944496
44,0.0001157732067305,8.456331267218575e-09,-1958806.430066587,4.997484219489419,1.1109015140553896e-11,78910.68758839768,7.102748876621718e-05,3.4795067040228334e-11,-128217.2586124064,4.997307533982298,2.173383944329782e-12,-3741.481383182949
51,6.944275855517933e-05,1.2472424447233644e-10,-40037.44265913825,6.917578342850127e-05,8.332279850280224e-11,-32422.10250348819,4.997484459355272,4.7829877381720586e-11,81539.97099960939,4.997307366364276,6.027370925369452e-13,1744.468471326197
53,1.9372213942097516,4.593670751740477,56202839768.1414,6.806599776981641e-05,1.828184005077064e-11,-1315.5069368704094,4.997489144845542,5.622461817815204e-12,3523.8256772628483,4.988970139974853,0.0001506223639656,-84712547.23090851
62,4.997460658407495,8.769481792531542e-09,81341.36644411816,4.997490055125449,4.565719014934632e-13,490.4933994341417,4.997490138055732,8.567608423587025e-16,111.63031500153544,4.9973075609515245,2.99660639837244e-13,222.2267108923254
8,6.79564376600875e-05,4.3137845467985876e-30,8.66229742201146e-06,6.795643766039943e-05,4.231275845263302e-30,2.4320625953534905e-06,6.795643767083355e-05,1.5047279587390138e-27,0.0003402313531463,6.094256751862161e-05,5.682209463899571e-25,0.0075561513853718
