signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,7.776270039326707e-05,3.4475185961864945e-08,-853653.7574018462,4.99786104971713,5.399990686717588e-12,14293.0352293635,2.748933162417421e-05,4.464909821267968e-23,0.0403201208147157,3.405821758512568e-05,1.0160054017181569e-13,-387.4177286976519
36,0.0003428018692493,1.9188208047184878e-07,-6865399.632122107,0.0003425934933668,1.913692387271974e-07,-6866147.77986883,0.0003425785804251,1.9127329197536947e-07,-6866867.327205624,4.99764300232417,1.4758780305253965e-08,1819473.0253608571
16,0.057926819809141,0.0290131562645166,1836965504.2041745,4.997861175866399,2.4365475564317763e-12,2919.324256047488,2.7488495705800248e-05,6.641759097599173e-16,-62.59639011662248,-0.0001810678957917,3.060229970427547e-06,1018682.8767365566
25,4.99785472166191,3.0637091749819246e-09,663137.6484791222,2.749264198631697e-05,1.4662456104615532e-11,-39350.049793312624,4.99786117738212,8.872598692142088e-13,-9681.421424557508,3.411881748936085e-05,1.4552385505113776e-13,-3287.4715637451823
18,4.997870088395993,1.0622555588795575e-09,92962.08515961569,4.997861023572843,2.74783989731043e-13,-1479.5555194527408,2.748930489242296e-05,8.208383977250916e-21,-0.2599938973934424,3.4692163080771244e-05,1.285680252146833e-13,-5732.002121112144
2,2.748933092159431e-05,0.0,0.0,2.748933092186292e-05,0.0,0.0,2.748933092177646e-05,0.0,0.0,3.415763838410538e-05,0.0,0.0
3,2.748933091952574e-05,0.0,0.0,2.748933091921368e-05,0.0,0.0,2.748933092181503e-05,0.0,0.0,3.415763852458114e-05,0.0,0.0
24,1.6907653946607093,4.501976544484991,56009328629.91328,2.7559763709037394e-05,4.580511692219322e-11,-8202.540885181412,4.997861197047212,3.1519400733596346e-12,-2253.4630272678046,0.0001319648684256,2.898860565485418e-06,18829489.47058556
58,5.441617917509347e-05,3.4905038310422126e-09,-1177326.1626490909,4.997860763541449,7.336580596139952e-13,7747.704932946397,4.997861216859405,4.272672460101599e-16,-57.9085412385822,4.997707651598554,2.3920967060588296e-13,3421.7090299004053
62,4.99787340251999,1.8516119363871947e-09,15621.460960489912,4.997861193397385,4.3301467830106375e-14,-156.58738432177293,4.997861188515471,2.991225204400459e-17,-42.28626330097278,4.997707303082663,1.4477870200883684e-13,-454.3037754022901
60,4.83269887088107,0.0836854170557653,3835382202.658293,4.997861249057357,4.2689182695108025e-14,-238.5214515645915,4.997861213279783,2.2253411743905723e-16,-212.2678282210635,4.991984748998223,3.0111508106781927e-05,111934274.88660742
