signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,0.7749147670595641,1.9849711528353484,25197717380.3506,0.0008165351042936,1.5910858499690067e-11,-13134.138512890138,4.995779593030995,2.318394118467989e-12,16921.00671615027,0.0004567855066711,1.9017494860226936e-06,12853707.818633826
31,1.4514960513614914,3.920722509917069,42169626393.85888,4.995780368017843,5.430665322724236e-13,10248.97350621388,4.995782428461921,6.580735079980431e-15,99.0466527672832,0.0003608568119244,2.1311837951802463e-06,5597381.800341981
15,0.0534154460705917,0.0107565848672427,-1663139047.333386,4.99577391823806,9.184855083051638e-12,63386.865010770605,0.0008161667234988,1.7447492551910375e-21,-0.7601914434172901,0.0004262152056484,8.383778043976801e-12,47976.14722654969
60,3.463030418885906,3.2507263922421554,36509929128.036064,4.995773005550844,1.818481007439359e-12,34997.1257524371,4.995782166508644,2.2259575265837244e-14,2165.1357885236325,4.98353230375987,0.0001020350044401,237885376.14274368
22,0.0675255054764291,0.014749153802836,-1924929556.6422195,0.0661873866699322,0.014253449681118,-1888252917.785654,4.995743056131173,8.97531755278332e-10,563136.5941873678,0.0004260081695094,3.2638747358224682e-12,35544.22595065286
58,0.0293354805595545,0.0028609371472766,-850339158.6894184,4.995742850659282,1.9247318813098983e-10,295310.4564853097,4.995781457490387,4.2040505824150056e-14,3098.023060464427,4.995528870952294,7.31970954115926e-10,-446918.2377327584
29,0.5921424104988183,0.2008250646645545,-9500287483.24119,4.995762622097691,5.5146604120309836e-11,161643.3426231589,4.995782334266699,3.112311902923389e-15,526.5630619746432,0.0002728366312741,2.5991382612396592e-08,2978678.69997726
25,4.970467601434225,0.0022966222803819,548749523.9988467,0.0008161876693248,4.399699924755926e-12,-7311.361528859664,4.995780772402522,5.372861083586636e-13,9361.097106013069,0.0005764448136019,3.416915377321964e-08,-2938102.530408383
32,4.995602937953974,3.85677855194852e-08,3454675.5713564656,4.995781306919325,1.2083957236624976e-13,2938.0301330435464,4.995782442805267,3.046359491814588e-16,215.5716143062168,0.0004613536622533,8.611962059699748e-10,-665805.7694149015
3,0.000816166706906,0.0,0.0,0.0008161667068971,0.0,0.0,0.0008161666580393,0.0,0.0,0.0004281160803504,0.0,0.0
59,0.0360497037407606,0.0087922075634581,1314173805.1955664,4.995768492198315,7.012134189929477e-12,73047.11912694192,4.995782017893688,6.915412251488727e-14,3367.210594707186,4.995237306761442,5.715295521958836e-05,-47002340.82051133
11,4.99571833276824,4.773348893268691e-09,1310432.36340581,0.0008161678103344,2.937448184361381e-19,-12.648044260990575,0.0008161667412793,7.220459391179017e-21,-1.210726662209801,0.0004283011730515,2.0622701489893595e-13,-6778.136243939543
23,0.0008513603065889,1.936444183417512e-09,-1003558.9333461578,0.0008508126244236,1.884004087366968e-09,-990835.8062163152,4.995775512313201,7.94734839391531e-12,48130.127352301046,0.0004279457187928,7.649814440816201e-15,1667.4593741146768
9,0.000816207238592,1.1825789569927912e-14,1224.9688807577324,0.0008161667402796,2.9179461813464493e-19,0.732543203494281,0.0008161673026136,9.173620951350124e-18,23.850253251083483,0.0004299574502811,2.5792573324597997e-11,56765.14488830638
30,0.0010036528032886,5.9539010633784413e-08,-4659280.164144114,4.995777910313024,2.337916098811777e-12,25055.15951034685,4.995782401702881,2.453729144574119e-15,393.0737010436664,0.0004279642007947,3.709490132249992e-14,2325.661191151594
17,2.5917466943635024,4.567542884409145,53998379754.0715,4.995780699715404,1.2001198506290374e-13,8334.87778515776,0.0008161650514309,7.78005864416405e-17,39.10337218301997,0.0005065695226534,2.99361777957005e-06,3468023.962417796
2,0.0008161667069101,0.0,0.0,0.0008161667068965,0.0,0.0,0.0008161666580402,0.0,0.0,0.000428116080724,0.0,0.0
10,1.7804539882906454,4.448199973597732,52223210059.50713,0.0008161653896234,3.357379860699747e-16,-58.778363234438096,0.0008161660112471,5.961897896091962e-17,17.459225256955413,0.0004831064156314,2.1829537142834296e-06,17677839.404339764
28,4.828141007842785,0.2711224698351376,-6738595009.815348,4.973514750998374,0.0054968804938937,836611665.9598038,4.995782237589101,1.9202524790833095e-14,972.6765283153508,0.0008770841266388,1.1003273273947222e-06,7920495.746404381
18,4.995769326507504,3.320515734785613e-09,167072.17345537682,4.9957816612050205,3.8332207868042345e-14,3645.071284587975,0.0008161666721811,1.6836644614285116e-21,-0.1107403267192717,0.0004337430777674,1.011384830237478e-11,-66059.38375125153
61,4.995661664530687,5.111365096408644e-09,1230772.1175643494,4.995777229143283,7.181415369135765e-13,16753.59449517286,4.995782457286033,6.396312748722897e-15,1377.488653910122,4.995513630318368,3.2931320990446034e-13,5357.044840448786
7,0.0008161667069082,1.6509281700860457e-29,1.14297169979501e-05,0.0008161667068963,1.862487985300899e-30,-2.0772530812934494e-05,0.000816166658038,1.0530568699433168e-27,0.0003519255907996,0.000428116080522,3.5442121223794146e-25,-0.0043401677545474
53,1.5223531387511422,3.990745269093927,45732796444.06384,0.0008163476899932,1.1218411180916497e-12,-2546.9184588241624,4.995768823504594,1.7031774927571615e-11,63333.45770461845,4.98839906045574,0.0001244526914447,-126105933.33338462
6,0.0008161667069075,9.158666085267449e-31,1.380190913253434e-05,0.0008161667068971,2.6566865439236092e-30,-1.8214072493010247e-05,0.000816166658038,3.97102087622999e-27,0.0005806971011706,0.0004281160802803,4.195230227963039e-24,0.0197183946060153
21,3.851165378749023,2.964310269420319,-40771821368.44515,3.839167700310608,2.9957884269385144,-41059348860.145294,4.747473849125666,0.4041957343994314,9214532730.978636,0.0011097723416164,5.669818491939643e-06,-25296021.988862336
26,4.995771513026718,2.357098605204004e-11,72677.64338725369,0.0008161724163677,4.124140352371304e-12,-10330.321984032453,4.995781767815888,3.826472001630676e-13,6077.304464716442,0.0004280611829409,4.678806919380859e-15,-852.0885435084496
55,4.995743963427054,2.968701932972412e-10,341064.9779416433,0.0008162015966447,1.582233603628193e-12,1464.1053227345285,4.995778525877676,3.081716072149956e-12,20493.321712756337,4.995841484733294,2.7946382022574924e-07,7337157.576542704
5,0.0008161667069082,1.9507948681167865e-29,1.5971302666531534e-05,0.0008161667068967,4.99695662277754e-30,-3.31058268212386e-06,0.0008161666580493,2.5504712365970003e-27,0.0002476554436461,0.0004281160811871,2.0948821580237092e-23,-0.0003467591725108
46,3.736648710344613,2.642718752908576,32488175824.159832,4.99577361315429,1.6374908809534285e-12,32928.1857029373,0.0008162304074779,2.5344003213611424e-14,72.1716422983711,4.9850494536786,7.986860802510675e-05,218815248.4432397
8,0.000816166706908,2.4325724823476463e-30,-1.2783373559175632e-05,0.0008161667068966,2.8587691240140532e-30,2.7993237942535845e-06,0.0008161666580343,3.1431448686511043e-28,-0.0001090081397751,0.0004281160803112,2.392925429040785e-24,-0.0133490622765927
4,0.0008161667069078,3.189154965094443e-30,-2.668304840806026e-05,0.0008161667068969,1.225080229023024e-31,1.7025493904300727e-06,0.0008161666580388,4.9716015417074563e-29,-3.5910865884803284e-05,0.0004281160805508,6.089458931390065e-25,-0.0104939144524636
54,4.995181937082947,4.199395744769853e-07,11758022.462069113,0.0008163101190126,2.6800985541095497e-13,-399.16855344318463,4.995775253405031,4.486161700837956e-12,26109.582086306877,4.995407391866585,3.364414808624664e-08,2928594.980319536
33,4.995773062398688,8.589024191614846e-09,-689554.5409086018,4.995781914186489,9.386678979707654e-14,-220.56518795511028,4.9957824548086815,3.5098022285984195e-16,198.40820885102943,0.000430604822883,1.531975983931712e-12,-24666.969576003023
19,4.995771234695817,2.0197913633618067e-09,65452.66890358367,4.995782052910684,1.3620136543790128e-14,1856.507349511722,0.0008160604137867,6.587473903842241e-14,-3848.202307623484,0.00038473102472,1.0847485851790265e-08,-1606065.6101192236
51,0.0023724036399592,5.556828358561855e-06,-43878600.50638904,0.0023742901132996,5.572638877700272e-06,-43925862.656899326,4.995676166162326,4.018003348071277e-09,1348266.957900133,4.995456662383939,7.3427421396034635e-09,1583736.592791078
12,4.995773911473598,8.9931591483866e-10,127013.25174990334,0.0008160520046669,1.6482676890667236e-13,-3068.930843393892,0.0008161654232397,1.0474589113599544e-16,-39.59128155247453,0.0003942149170989,1.1157802165561711e-08,-863911.8006512864
52,0.0008249193025928,1.7999748541698995e-10,-228305.71427094543,0.0008249107719801,1.7537893843033227e-10,-223263.4737015592,4.995755561190928,1.1798045357376219e-10,187946.29012469185,4.995515455987758,2.3768863824535827e-11,79547.20970856353
36,0.1820432230356969,0.0452856221215273,-4364299789.308881,0.1820463727762108,0.0452866585412861,-4364347706.768567,0.1820595779377455,0.0452919421998175,-4364633812.62957,4.963631074498185,0.001705730262888,799784342.2536533
57,3.47895579027932,3.5794132036995268,-50169565555.814285,4.995496152042217,3.846966239193994e-08,5077558.697925052,4.995780719004043,9.820521135209633e-14,5758.275427532773,5.003018965450144,2.637023781151148e-05,-114042933.1738736
40,4.995645913496095,1.137853121512657e-08,1892752.5306114291,0.0008162307842227,1.282243097257804e-11,18961.911795924683,0.0008162307352229,1.2521071480754936e-11,18737.45211244601,4.995511457209822,2.782064263357844e-11,75217.09759241274
27,4.995778491535567,4.879533195965776e-12,28970.068049783884,0.5870611890454625,1.300713499380729,20159492882.976765,4.995782084036885,1.5892807440603925e-13,2101.6976116352384,0.0003273778176387,2.174422312710186e-06,6595207.394306525
14,3.6427057996971897,3.2606450229228137,-47202290678.67365,4.995729793197941,1.3619406102251031e-09,943449.9162873968,0.000816167454451,9.182782231124319e-17,19.208904297470923,0.0008939956502919,1.290769317893954e-06,-13785956.97656125
47,4.995677632836024,6.228324829202721e-09,1240919.9906865214,4.995777733039803,9.764358394359185e-13,16825.227090953995,0.0008162650244792,1.905397604541993e-14,-238.5067906476392,4.995513746721892,1.5795281541270992e-13,5732.02193819516
44,0.003437771968302,2.622340862907044e-05,-96590771.33097206,4.995750997983128,8.396759431953102e-11,222134.12426533372,0.0008162000465859,1.462686052229987e-13,521.3718010659611,4.995515556469217,1.2566565087873016e-11,-66002.63002264482
45,0.0735611325417472,0.0287753411520686,2300436083.3740625,4.995769348895357,8.123488158658979e-12,67119.11975898732,0.0008162513066902,8.696926845384912e-14,-208.47439271585077,4.993157968076073,0.0001158107165588,-104780027.59686664
20,4.995777606404132,8.13744304664255e-10,-100711.35305937068,4.995778665716168,7.004938545828395e-10,-102540.2416932626,0.4062195511064849,0.1713244733020154,7943969039.171867,0.0007531649190927,9.789744259917794e-07,10757996.286069397
62,4.995764335156164,1.3104457565361035e-09,189586.74262417396,4.995779437160222,4.324256473778059e-13,10487.216364897444,4.995782583127294,5.286511393583725e-15,890.2690645609665,4.995514014479249,1.1095553492716473e-13,113.560441022141
37,0.0008765864036678,7.853632231749307e-09,-1770579.9658787886,0.0008764470311314,7.626806266627103e-09,-1756740.794571875,0.0008764527666546,7.62110589452747e-09,-1756461.2246772682,4.995508472480848,5.6511260995543175e-11,103427.9091947581
56,4.9957618596436495,6.203618860442681e-10,-25323.863481787823,2.6954784044955904,5.076633103623914,50318240612.07923,4.995779710441032,7.859453785344694e-13,10336.862148250248,4.988860244965486,0.0001178779442561,28123336.559726343
42,4.99578468353971,4.129699614478495e-08,1042217.914308334,3.169065814863248,4.638437612233738,45240303183.31681,0.0008162272699898,1.7848333709586957e-12,1223.5207586165316,4.990009809621403,0.0001560104409059,142327703.2628342
