signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,0.0019814183223809,1.639075686065606e-05,-51089063.45268986,4.997460099359758,6.404260426761494e-13,6999.279519019289,7.36952174399933e-05,2.904237514148714e-22,0.0076049924738988,6.396029396016517e-05,1.8623417150160378e-13,6388.291798212261
60,3.961426071382971,2.071330263219594,24717394989.315228,4.997460213257932,3.877897436516882e-13,5130.603802600861,4.997461140574552,8.361520020916653e-15,1102.367111346521,4.987118946749891,7.282492746622785e-05,195681374.7695618
58,0.0006883866805136,1.6145693398037837e-06,-20189131.20974037,4.997456741376896,8.547466975306128e-12,44039.522169123855,4.997461115039425,1.8040348251876296e-14,165.7082528320387,4.997278906003534,1.6813870236084736e-11,-58540.62071057651
31,2.417468886768196,4.616688890984954,56775796319.71438,4.997460911732104,1.3689731685361605e-12,1553.0360214111563,4.997461296836742,6.2534519835522536e-15,249.9419388044644,0.000267522208724,3.587547188716457e-06,5590637.560148014
29,2.705429265335616,4.136973414565076,-51722978289.38077,4.997458740411911,1.53253612609593e-11,19504.90589375145,4.9974612669594425,5.222025512390794e-14,441.41348868047714,0.0001240520869509,8.465081176029681e-07,-9536202.411196034
30,0.000384213883588,4.198160768095599e-07,-12441656.201823616,4.997460812256233,4.7724888059041096e-12,1817.6399567756923,4.99746128989658,3.745146773501553e-14,273.7463557193082,-0.0001315503599849,1.186410223552648e-07,-4280366.278830349
51,0.0001803211240803,3.2773561487194745e-08,-3447056.7199401883,0.0001801436595959,3.2614285449629565e-08,-3440822.721331503,4.997450862983531,1.5632700935290835e-10,185260.8663705981,4.997273837239352,5.021903364082215e-11,118300.42781457333
2,7.369521627285232e-05,0.0,0.0,7.369521627240064e-05,0.0,0.0,7.369521626953245e-05,0.0,0.0,6.437806354940891e-05,0.0,0.0
3,7.369521626896547e-05,0.0,0.0,7.369521627265986e-05,0.0,0.0,7.369521627239488e-05,0.0,0.0,6.43780636913528e-05,0.0,0.0
22,4.997461164440012,5.808908618101516e-16,442.3157705699824,0.0026478255765186,1.8773570705651568e-05,-56509868.13174148,4.997455937950412,4.472219058033094e-11,43013.33085400661,6.391826342670896e-05,2.292006222650596e-13,7128.126197818401
54,4.997395107219263,6.342216186153136e-09,1203334.6083428138,7.373182916630958e-05,7.516327691944834e-14,-160.69552342882676,4.9974602873514655,3.344325316008845e-12,3522.2415435687817,4.997258516680446,1.1731303954999755e-09,510803.1589588903
52,7.612480898251325e-05,1.9828519998051735e-10,-53856.28140301643,7.611030521606775e-05,2.0873308645644408e-10,-56162.75976177193,4.997458328606126,4.144091079005586e-11,21537.505668001908,4.997322929321894,1.844291678841125e-08,1362046.4063139188
55,4.997457737065225,2.281621740511315e-10,6721.328607191208,7.290703335773465e-05,7.227146543336899e-12,-24482.45081169609,4.997460877109735,2.308406063877701e-12,468.84186107608696,4.997460316406048,2.0432206682648406e-07,5544065.710869626
61,4.9974462848493175,9.570780903330279e-11,194433.6400250507,4.997460539943055,3.0473252909601977e-13,1425.514434540981,4.997461217993254,1.7175137630900519e-15,179.94507251275664,4.997276935220611,1.383477254573903e-13,-591.4750005274182
23,4.997461220829472,1.656083611661824e-16,290.2973474308229,7.696795705223412e-05,1.238252048432759e-10,-120634.36110572948,4.997460525527146,2.5861786698945858e-11,-14269.909157701364,6.437349311910614e-05,1.6333752254246876e-13,380.1543801307468
37,7.402071791916578e-05,5.936125533351068e-10,155682.92387132047,7.419452145222728e-05,5.870209144844582e-10,151133.49785902517,7.417154017610557e-05,5.872086456068831e-10,151719.06144018093,4.9972769823707575,5.354163345341479e-13,1467.263084718716
44,0.0002387370279707,9.013244809370277e-08,-5358920.386289314,4.997457669711896,3.0614180608059198e-12,33456.82875914976,7.369397578950668e-05,1.4602371964002404e-13,1395.0127939047584,4.997277238606857,6.596562186992332e-13,-13431.083565468927
