signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.446493715713748,3.958169499841307,43707114120.94016,7.369555437775284e-05,4.204847654396503e-17,2.0780180146484315,4.997460890033353,6.159932941452936e-12,4421.205179368859,0.000169207851663,2.251507788256145e-06,15033893.614732038
3,7.369521626953717e-05,0.0,0.0,7.369521626987914e-05,0.0,0.0,7.36952162727552e-05,0.0,0.0,6.437806369078683e-05,0.0,0.0
2,7.369521627232515e-05,0.0,0.0,7.369521627216151e-05,0.0,0.0,7.369521626959623e-05,0.0,0.0,6.437806354963632e-05,0.0,0.0
29,0.0820955182915811,0.0155744303405317,-2631151150.5547123,4.99745883145163,1.0086222913199733e-12,22770.28717236136,4.997461277402839,6.0498564399959065e-15,202.63125082935375,6.179401348327823e-05,1.1775217990984849e-11,69819.68112189975
15,0.0014380360902113,5.732802374029307e-06,-33914587.59269367,7.369521383998049e-05,1.402788018252585e-22,-0.0294093806730368,7.36952175655637e-05,1.2080668618786557e-21,-0.0625477789331573,6.39949164436731e-05,2.4134358799444853e-13,6298.620472399357
31,1.6282312968245594,4.293489042859808,48060364802.11142,4.99746097726536,1.0010055123996393e-13,1202.3745241733784,4.997461298061771,1.1485035526785322e-14,54.81490941240689,0.000107991450319,2.848376971931159e-06,8605463.302682001
50,1.4959594531368,2.4970440055632106,-30210572864.57192,1.4967005410084808,2.498774722348289,-30223695877.51265,4.995745420197161,2.3130862320208416e-06,30857437.235809136,4.999552782536806,4.8321655487888286e-05,-95042699.0646214
55,4.9974577798341775,2.539796768539081e-10,4611.148445362225,7.290992301670585e-05,7.2001426205850616e-12,-24467.402486019248,4.997460876558883,2.2384877335688484e-12,492.5930697584192,4.997459736690453,2.0318184727300007e-07,5556922.356400395
22,0.0009934466039753,1.3527492607582052e-06,-18981363.01063121,7.369521345471134e-05,1.921017940340912e-21,0.303265389453476,4.997457462567181,4.673359927176051e-11,77438.90066152034,6.399584379689206e-05,8.513400379516325e-14,5332.726400082134
4,7.369521627120305e-05,1.6922701299731716e-30,-3.385049648174878e-06,7.369521627112997e-05,8.291974166833852e-31,-3.10312517966472e-06,7.36952162714627e-05,2.2058363058309103e-28,-2.9077371955709823e-05,6.43780639576749e-05,4.628313098178399e-24,0.0042689380718444
36,0.0233995180394892,0.0012735820261659,-553904494.6910425,0.0234008797270045,0.0012737278856112,-553953264.0791572,0.0234228232713805,0.0012760671339842,-554477229.3681804,4.99393821924382,1.7939304625760735e-05,74446336.3679039
21,2.7994620069752627,4.222643040799426,-48832797218.36209,7.36951647837588e-05,2.2259201276987283e-16,8.771097387400793,4.994682464009119,3.365344596947947e-05,83181602.74959369,1.255567182747495e-05,9.056969477335042e-07,-6930925.714498191
5,7.36952162713377e-05,3.2238224219163864e-30,-5.960929105650729e-06,7.369521627074092e-05,1.195868377135296e-29,-4.1230725945304317e-07,7.369521627318238e-05,5.0894841569703855e-28,5.838048263518463e-05,6.437806349599997e-05,3.7811251489826655e-24,0.0097924330368214
