signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
50,4.997461319902746,1.7528060526817078e-14,514.513026875201,4.997461335042498,2.274968990595539e-15,584.1792921352882,4.997461351635028,8.76554304320863e-16,-281.24422937165946,0.3405700131498295,4.2932886048686635e-08,3981316.022942372
55,4.997461345333497,9.347084236941302e-16,-21.327421180166496,4.997461300966539,2.560505425806864e-13,-1876.521166360896,4.9974613726181,3.078597260715932e-15,627.6701570688851,0.3416392466106563,3.2797534811332134e-08,2816828.69525432
3,7.369521627214575e-05,0.0,0.0,7.369521627197859e-05,0.0,0.0,7.369521627270593e-05,0.0,0.0,6.437806309035426e-05,0.0,0.0
2,7.369521626945697e-05,0.0,0.0,7.36952162694856e-05,0.0,0.0,7.369521626969808e-05,0.0,0.0,6.437806294827702e-05,0.0,0.0
60,4.997461204824527,2.093953614565802e-12,6725.462845450611,4.99746132979857,2.6491321700172127e-15,548.1541100760458,4.997461329519213,3.021119387148561e-15,589.2532115955714,0.3426051573637914,1.6339635992664682e-06,-20600685.84298419
32,4.99745618106336,3.873939596404733e-09,397332.7052146916,4.997461073543652,4.05417533635336e-14,464.0654171936387,4.997461302824808,4.734793043201256e-16,32.41756299949213,7.01513485026477e-05,3.234716750901241e-11,-116245.08125947714
31,1.627884777086903,4.292527982897792,48067363300.69828,4.997460978733433,1.3115256526497594e-13,1178.0161021204765,4.99746129988967,1.2126656491241282e-14,17.990802725165604,0.0001091217080078,2.847609105950533e-06,8630386.52370677
15,0.0019814213799795,1.6390846097068927e-05,-51089169.50537428,4.997460099359415,6.402014984404554e-13,6999.878533578911,7.369521742181763e-05,3.2767691965816683e-22,0.0026733343933477,6.396029003760448e-05,1.864663907002604e-13,6385.648943213506
58,4.997461345927306,1.955004835162706e-16,8.128693401438767,4.997461348501026,4.703279389447671e-18,3.5066484178176163,4.997461350428912,2.2592265125811313e-19,-2.2360280097621628,0.3412266755156485,4.3799573177458934e-09,1462426.1978968815
18,4.997456865503839,2.125426756509578e-09,-422879.7373545484,4.997461139476954,4.642006191257235e-14,-1774.125828921638,7.369521754751337e-05,5.3223609286941285e-22,0.2292321507765474,6.596074947629865e-05,1.951991394716935e-12,-28811.961035380984
25,4.997417507193932,2.667560504619053e-09,1036933.0511182458,7.406036973942849e-05,3.9788271264115396e-12,4436.144069438841,4.997461284319298,1.3723310581945264e-12,3428.823331406667,6.671471219835994e-05,2.413737329988932e-11,-89766.29648700665
29,0.0826887839261654,0.0157644947607047,-2644578438.142767,4.997458821914571,1.12795337418763e-12,22674.115713594776,4.997461261041135,5.848211472797623e-15,53.75820633278094,6.17728207089159e-05,1.2106632073320963e-11,70465.96250862174
30,9.02893458398444e-05,8.966849103693463e-10,-564283.767917583,4.997460684305161,3.094171047024553e-13,2104.667367218279,4.99746128855954,4.502839245263666e-15,-75.2270707339999,6.426950633379975e-05,3.8652105797891486e-14,810.2327132984941
4,7.369521627167143e-05,8.46711563245848e-30,2.6780810823621194e-08,7.369521627046213e-05,7.330032050452672e-30,4.681183340199015e-07,7.369521627145282e-05,2.154029218984225e-28,-2.72384052766592e-05,6.437806336132525e-05,4.436842952393185e-24,0.0045555408827259
12,4.997460347496758,6.030572287665031e-12,11800.100288307049,7.38045514530909e-05,1.9697878839953258e-13,3210.3448913741154,7.369720669871272e-05,2.1667890416026607e-16,70.28803115281204,6.279286965338471e-05,9.839776839609516e-10,-71514.87103467177
33,4.997450130967156,3.4444229840720067e-09,388047.3338608719,4.997461233407802,3.7262509366975594e-14,-794.0206261946047,4.997461318460745,4.167345052600708e-16,-104.00618680201278,6.434576617514696e-05,3.0707815492784937e-13,-1185.3736513738806
57,4.997460770690719,1.0581478988716036e-11,14111.73774138211,4.997461346457237,2.367521277701223e-15,133.99525428764534,4.997461350807654,2.2927335062574863e-15,64.80294603359859,0.3406195978710388,1.349466115140039e-07,6894584.274857939
54,4.997461339163796,1.2799861988538465e-15,82.12410002247037,4.997461346531117,2.634976212487327e-19,3.7443196020665375,4.997461349492873,8.258783014619147e-19,2.394868033993802,0.3415109777461184,2.1431522705252817e-10,270602.1627194337
44,4.9974612798992,2.009928298140432e-13,1176.0316546471229,4.997461334385963,3.3959778770452717e-16,-30.25307470174536,4.997461343930682,1.3831034607025273e-18,0.9044226594114766,0.3412710671171803,2.686568766017305e-09,1218852.708660796
43,4.997461388604195,2.1186324778239166e-13,-806.28276531385,4.99746132566119,5.096893062432057e-16,79.84486036723166,4.9974613397791865,2.66063537363793e-16,151.54941059340973,0.3408258289761831,3.947018795195665e-08,5199535.306029671
8,7.369521627071308e-05,4.1196467678178454e-30,1.8238018707918797e-05,7.369521627118907e-05,2.280652228040843e-30,1.352347677191866e-05,7.36952162709525e-05,3.4256452072921744e-29,3.979703649061135e-05,6.437806298640958e-05,3.669617008620944e-26,0.0014834761190436
40,4.997461283880867,8.22849756727593e-12,-19536.62746149246,4.997461315551373,4.1431895364570335e-15,477.20219810529255,4.997461338230092,4.6840514837438336e-17,57.87579366176465,0.341664987656137,1.4301605441563966e-11,77015.1780294817
39,4.997457905245455,6.278061232925992e-11,89745.74255550095,4.997461268604882,1.4049821853440822e-14,1458.3665916080236,4.997461296604491,9.587697017004272e-15,1224.208273749906,0.3438669362623727,7.957211103124084e-06,-54473656.28821937
26,4.997460544548485,5.558401131346293e-11,-38180.346195871,7.35673144477212e-05,3.1773537364264457e-12,6361.283152136994,4.997461106976335,1.0838586212872713e-12,4066.330694624213,6.436256966514785e-05,7.277645094240335e-14,-1889.8410263578464
7,7.369521627123954e-05,1.4987669483759786e-30,8.169922976000926e-06,7.369521627184033e-05,2.8837265270800583e-30,4.277476326842392e-05,7.369521627384675e-05,4.513642157810092e-29,6.943397080246734e-05,6.437806301492002e-05,2.5759252460787412e-26,0.0012595485978431
51,4.997461339893606,1.0264264980144476e-14,-492.6915143862744,4.997461344372363,3.144700128176555e-17,25.497255377608383,4.997461348243872,1.3051460655791442e-17,19.80220407097693,0.3408610538103416,1.0470954526595386e-08,2347869.852936713
24,1.4416605258822863,3.960998572447562,43511385398.12893,7.374934331695467e-05,1.1726180301089292e-11,-4098.507212434227,4.997460945784593,5.480706576219429e-12,-802.8357593364874,0.0001682137120341,2.286759945380133e-06,14771155.327870691
34,4.997461613377438,1.3570924469988095e-09,-81853.66912208535,4.997461229200248,3.131927131209284e-14,621.6780074361704,4.997461318398997,4.720372126904029e-15,22.66000218759161,6.445297155300894e-05,3.85191996760661e-11,3126.0673136616497
37,4.997461828470853,7.239661335367006e-11,-12716.507379713046,4.997461286435629,1.5947946345907683e-14,-22.493090860995817,4.997461334878782,7.66441909359113e-16,-214.9132238154799,0.3411242061018084,1.7277058147884318e-08,3448087.29381556
