signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,0.0019814312583851,1.6391125473517528e-05,-51089505.13462597,4.9974600993597695,6.404219509237222e-13,6999.29041475794,7.369521380231223e-05,1.118535888148847e-22,0.0322633019419696,6.248610926679079e-05,1.8663504370958802e-13,6391.592239130644
24,1.3587415018383266,3.8153858912570935,42879939008.17164,7.36617933118197e-05,8.513918271487081e-12,771.2093671744707,0.6499578176702269,1.7280459631448213e-08,873131.9729909428,0.0001584114874588,2.331751221931196e-06,15433696.128840009
2,7.369521626972114e-05,0.0,0.0,7.369521626922945e-05,0.0,0.0,7.369521286979223e-05,0.0,0.0,6.290417319480962e-05,0.0,0.0
3,7.3695216269141e-05,0.0,0.0,7.369521626934793e-05,0.0,0.0,7.369521286994889e-05,0.0,0.0,6.290417332542421e-05,0.0,0.0
58,0.0006884181555542,1.6170343598501072e-06,-20195177.855307464,4.997456744019214,8.461004684094902e-12,44019.94828409551,4.9974611150118005,1.7882767926003776e-14,166.13548918370643,4.996989958345315,2.312032859343817e-11,-70001.14922935434
53,1.8928687855530264,4.555588411447263,55778351291.86224,7.360287699110723e-05,2.0216221177491978e-13,3334.0758792882416,4.997459990485954,9.446307966780338e-12,3259.327854775999,4.988913953240774,0.0001431300251232,-93122584.61721736
31,1.6561677871728668,4.289872557291118,48921050878.478485,4.997460970401462,5.388421174666376e-14,1512.2311973859955,0.6499652413518582,1.543638600462469e-08,-181014.02607860137,8.303696854089593e-05,2.8567413391079114e-06,8914802.455254681
18,4.997456865518466,2.125494425314272e-09,-422887.0940461996,4.997461139476547,4.6443013874392375e-14,-1774.6700201052734,7.369521432552523e-05,4.1572874423124937e-22,0.1967024360462705,6.448854135812641e-05,1.9321188437256527e-12,-28713.784133886784
50,1.4955776356960668,2.495634897781313,-30202872863.23768,1.4963193590166202,2.497366540169803,-30216008018.720684,4.9957458846462135,2.3099869769538143e-06,30844340.509939607,4.999373130721942,4.816782434550767e-05,-96601238.49453747
30,2.743645820891358,0.7513164936399919,-4401295275.758183,1.568622999460527,0.09729554952062519,1090215026.2283401,2.617825904509605,0.13292088236155372,1428613032.3983252,0.9303980206995502,0.014104379513380996,5093782964.649441
22,0.0011099769716539,1.1273967771262709e-06,-27301788.67565675,0.0010948154557329,1.0935315862073774e-06,-26821521.42239348,0.6489429936220292,7.160975378883711e-07,22176813.91157706,6.207937000711139e-05,3.9075017572710804e-13,15070.07123377744
29,0.0711398612603091,0.0122913306515951,-2303298126.094141,4.997458977597846,7.310355017913838e-13,22811.882958895083,0.6498303952745079,1.2681243186545858e-13,-8925.119400373153,6.070044624784477e-05,6.898149441371961e-12,56889.5123425744
51,0.0001802539108874,3.2692852731266333e-08,-3442669.134111748,0.0001801054819895,3.2609221966354034e-08,-3439952.1819839976,4.997450865858356,1.5561485254262356e-10,185063.1401173314,4.99698426347129,6.018965578679735e-11,129811.78454528714
5,7.369521627094112e-05,3.821711926567886e-30,-3.8804879400378186e-06,7.369521627103606e-05,3.5858791938843115e-30,-1.2648388843090562e-05,7.369521287409779e-05,4.590308000828741e-28,1.8039612405937096e-05,6.290417317114182e-05,3.004824303068744e-24,0.0084667019866738
