signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
21,2.9545725289108664,4.263745726157351,-49255430387.23184,4.997490161666886,2.4682038985290377e-14,173.15881814454568,4.995591015095619,9.458353844511436e-06,48546212.392471,0.0002336531388717,6.891680034395839e-07,-8377345.366111104
18,4.997486217099768,2.842823036740819e-09,-496487.87724238005,4.997490062603708,4.2905218030996516e-14,-1724.4865217192985,6.795643886469452e-05,3.4580521730848214e-23,0.0507355610401199,6.246526372386748e-05,2.1299213492340447e-12,-28983.306800499144
15,0.0006431779233339,9.193689620689248e-07,-17998710.246857595,4.997489216440025,7.320599261160241e-13,10575.13768796843,6.795643634433283e-05,2.9814643249191353e-22,0.0715985418772437,6.064862876800689e-05,1.3154387703993592e-13,5979.555591064124
58,0.0004144237682266,3.428332425095473e-07,-11573683.799140748,4.997486272254327,3.4601007579815746e-12,32313.322174082416,4.997490041939448,1.4649099597687922e-14,-184.4584905597869,4.9973084520429305,2.4866941539160368e-12,-21701.57274685841
50,1.291627359981795,1.864028541549444,-28176420041.06816,1.2924251380174,1.8656351222607643,-28192190994.40232,4.996071134344404,1.1964196605043514e-06,26297202.91038218,4.998536745258786,2.924090847162888e-05,-76539725.0495948
24,1.343821074664326,3.728709177376309,41850444392.23348,4.997490204528698,1.7895192541869546e-14,-34.524125798326985,4.997489817532697,6.161950547946186e-12,3110.6529749897,8.697696538603517e-05,2.714692677040556e-06,8150237.909991613
22,0.0009269819290925,1.2157638545411827e-06,-17814041.27695405,4.997490185755826,1.1483179736023766e-15,-127.5259161190284,4.997486784492188,4.1992131133047366e-11,71017.75823822965,6.057546129203688e-05,1.840510569235652e-13,6327.028269069145
31,1.6231373708091297,4.282894747395879,48489789737.524025,4.997490230918976,1.895620742743028e-14,-59.77031301235061,4.997490201572403,1.507456669962378e-14,6.851569765422244,0.000113792649165,2.871743470975066e-06,8957589.69128512
59,0.0918324020122137,0.0472872502557478,2740427372.9683766,4.997488757408959,8.591598090627366e-13,7943.399894636554,4.997490103795091,8.623066833742004e-14,775.3661082147136,4.994083885198686,0.0001326921326433,-117083228.68840566
29,0.0734310232438084,0.0144212812818017,-1842674466.924516,4.997490226738036,7.496097181658778e-19,12.95822335571672,4.9974901758036605,9.877019059379796e-15,542.9070558864299,5.8607717222692746e-05,1.0721031175922159e-11,48974.85945985273
28,3.8726879852656713,2.907092502433104,-35864717362.97627,4.997490220409295,2.3355248310293232e-14,8.044558467294532,4.997490155132892,3.839741107234628e-14,429.8049533344441,0.0001914854727917,8.300625126142268e-07,-6726902.228488373
57,2.645133146452911,4.351943638121834,-48722727408.63821,4.99742266090679,2.925946362489408e-09,1188871.033999983,4.9974899653485245,3.4350144816981354e-14,417.1704140119756,5.003456410782459,2.8034880994350835e-05,-112002194.72460634
51,0.0001750387067221,5.226519463085086e-08,-3440409.3360685147,0.0001748512185867,5.2720839425842384e-08,-3436854.784684497,4.997478821320524,1.2197725181355948e-10,165458.8891391656,4.997303011536279,9.779903259083851e-11,168476.7004964095
60,3.9481659660159822,2.136054870465391,24345137029.8764,4.997489244968459,1.9964621645085866e-13,4585.100930645752,4.99749006579995,7.677239981988427e-15,1130.1790971063624,4.987121263632496,7.57023856292298e-05,192299796.73440528
53,1.956259771848027,4.570740315673234,58105838257.27846,6.794021632517791e-05,4.410480176786614e-12,2953.8074452227265,4.99748901534909,7.373342945775902e-12,344.7590991171068,4.98881589442897,0.0001501502659171,-92926326.09735373
44,0.0001801953497468,4.504794935561524e-08,-4140296.878549506,4.997487096268499,1.5504197131009657e-12,27260.611114420328,6.798295055560401e-05,9.569400846886487e-14,-182.023915743824,4.997307488489215,6.945902139460971e-13,-11355.408128867368
14,2.953756541137761,4.200632196852361,-49782704219.4832,4.997478790169091,7.555009487345996e-11,195456.13828418095,6.795598658398941e-05,1.640713763338086e-16,14.629369835886962,0.0001921223421801,8.556650789957447e-07,-10089967.651556144
36,0.0252551027116641,0.0014872478333309,-611471960.1774958,0.0252587603371253,0.0014876652638232,-611544569.0685328,0.0252671217169423,0.0014886226983025,-611748340.1327173,4.993793326861755,1.9834247959222e-05,79926221.3050409
55,4.99748589508112,3.6480927370050906e-10,76454.04894285115,6.705042771139738e-05,9.629052733405108e-12,-27252.022654346107,4.99748986178323,1.845323482581376e-12,843.1636061258648,4.997515951551902,2.533429169390875e-07,6452124.585554923
3,6.79564376627731e-05,0.0,0.0,6.795643766251853e-05,0.0,0.0,6.795643766317133e-05,0.0,0.0,6.094256740710866e-05,0.0,0.0
19,4.997492170796189,1.1422315125826523e-09,-78579.67878865486,4.99749014219593,3.339181309913866e-14,132.17397740369086,6.645771179019382e-05,8.10815905817191e-12,-62127.95431234661,-6.539875548239083e-05,4.996467812871547e-08,-5041639.40863969
52,6.871332416710247e-05,3.406591057224768e-11,-24332.9552124628,6.883096082075192e-05,2.6639314446327397e-11,-21995.704577135948,4.997487914679086,3.0145051937034256e-11,6476.780123115223,4.997381198862498,4.441261157551949e-08,2137065.033547188
23,7.167187229659883e-05,1.3906910105932613e-10,-106388.19351068276,4.997490197415367,8.434436471197866e-16,1.5800412457669248,4.9974894541645805,2.197712545726188e-11,14724.392923263084,6.0878545306792304e-05,2.485919650989169e-14,524.3096620511866
43,1.385441276261556,2.0736809131240386,-29620132213.01825,4.997454774594173,4.377792824237664e-10,501138.9223876827,6.794057871543159e-05,1.3910873021736802e-13,-84.61561890181535,5.000399795086481,9.86846213379076e-06,-67211969.46306369
27,4.997489494534755,1.8315283494083932e-11,11825.691737920444,4.997490220295837,1.9452574344412434e-16,19.89214683687745,4.997490131125383,3.743759893535145e-13,786.9339242140165,6.083944801481722e-05,7.704429992443976e-12,5271.7387065744815
30,7.980133348471478e-05,2.8545642956688227e-10,-331779.69036879914,4.9974902293880445,6.217441917966108e-19,14.109737063075425,4.997490187346313,6.996985772078718e-15,206.1774887468274,6.08548942095658e-05,3.650201897539993e-14,30.619828158824824
9,6.77574078523376e-05,2.33932317092855e-12,-6863.02033643412,6.79560310708746e-05,1.40039386648246e-17,-12.191739723593772,6.795641168838108e-05,1.540465161562488e-16,-16.641918787682908,8.790218850233936e-06,4.5375763565729126e-08,-1577521.4660382527
8,6.795643765984196e-05,1.8595387195324592e-30,-1.0839750978063602e-05,6.795643766018855e-05,2.342968099446771e-30,-6.458573139735385e-06,6.795643767107551e-05,1.5312486189246624e-27,0.0003294643144617,6.0942567529386815e-05,5.957737074056751e-25,0.0078606369269623
26,4.997491498119237,1.3140645351645988e-09,-71603.17889288638,4.997490216831235,4.749664552980783e-17,39.19021666485609,4.997490176395479,1.1003083682675617e-12,-901.4662467720248,6.106378291497864e-05,3.206158830140087e-13,-3208.216382936336
2,6.79564376567305e-05,0.0,0.0,6.795643765981511e-05,0.0,0.0,6.795643765668311e-05,0.0,0.0,6.09425672576549e-05,0.0,0.0
56,4.997470516583561,8.036793813845392e-08,-288308.7258617361,2.8838576560182587,5.092171546316644,49857855127.36857,4.9974898841443,4.678782240481307e-13,1132.778811270014,4.992424673668436,0.0001739135297335,107040244.26732822
62,4.997487435689362,1.0504762616217265e-12,19648.145792557178,4.997489961735167,1.4450092202300534e-13,992.303268639104,4.997490151824947,1.402306744914618e-15,118.54429309019037,4.997307517832912,1.9459046465733058e-13,149.95338636749207
7,6.795643765915605e-05,4.718516958514789e-30,-6.23297649829798e-06,6.795643765899349e-05,5.3682760918285384e-30,-9.681846873020608e-06,6.795643765876429e-05,9.501686875263413e-30,3.3775949890877158e-06,6.0942567315362304e-05,1.6349241971575654e-26,0.0012832788934562
12,4.997489361690622,5.806668545035329e-12,12093.733714398066,6.801418221683804e-05,3.50559455407308e-13,1077.2904362554848,6.795655296457005e-05,3.214889518944341e-16,-19.520316073699757,4.242480444141676e-05,9.548842696271767e-09,-652501.2912938265
32,4.997484275629615,3.684572627688095e-09,425212.4822514416,4.997490232375352,1.9860904717425415e-18,27.640972949745453,4.997490202126524,6.754932514335573e-16,19.415772757047417,6.488479149667698e-05,1.2074698202750044e-11,-74330.77617789643
61,4.997477918139142,5.874542723971267e-11,163148.22205223012,4.997489581920749,1.5176642073495465e-13,1360.038613625305,4.997490113776689,1.4249601402386237e-15,118.77741154996032,4.997307273959699,1.756198198221239e-13,-746.6186569871041
25,4.997412310176261,1.0898308407633535e-08,1613133.1413993896,4.997490209317349,6.616554314724048e-17,121.00578500816574,4.997490002100843,1.3580774067984354e-12,-8015.386680556369,6.883613140398486e-05,3.5873804166084684e-11,-123835.87166940428
17,3.0149602990564106,3.960072754493307,54871553540.14883,4.997489966639599,1.0300232555916833e-13,-764.505077030616,6.795530568680406e-05,1.3241630943565274e-16,71.76847305394409,0.0008294238983559,2.851521592717705e-06,-24164110.304145955
6,6.795643765971473e-05,2.7871898785688755e-30,4.761765272418131e-07,6.795643766034698e-05,1.268850144680924e-30,1.0634852046975454e-05,6.795643765864786e-05,9.859903179848103e-29,6.173089057273079e-05,6.094256722001461e-05,1.198674577956917e-25,0.001876732239965
54,4.9974155198127646,9.157035253690853e-09,1775370.1062861474,6.795478465067788e-05,1.679831648811892e-12,9188.996409246956,4.997489508227609,2.609404933829851e-12,-9336.8305996278,4.99728065669963,1.993436616509298e-09,774791.7930934818
5,6.795643765932814e-05,1.2781216362617176e-30,-3.5429062014063174e-06,6.795643765983494e-05,1.0976692517299415e-30,-9.222855892424877e-06,6.795643766151215e-05,4.368799952539574e-28,3.716284323496678e-05,6.094256721589988e-05,3.811267421177473e-24,0.0097749251267518
34,4.997436039457303,2.264139968191997e-08,-1521113.678995486,4.997437290262821,2.2235967221543616e-08,-1582869.7551384189,4.997437235170636,2.2207166010998003e-08,-1583649.7433545105,0.3369631274199699,0.1782940221845973,8125356982.179469
48,4.997486465455043,7.568423967413951e-10,64418.97345142339,4.997489881015578,5.3949866263307984e-15,822.8147129426003,7.041714107018152e-05,1.5667654396920654e-10,54058.796244074,4.997508387624105,1.0962477890169777e-07,2190236.214022678
