signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
24,1.12609291211133,3.219736055952495,35876393104.50442,6.809207605789877e-05,3.563610496622988e-11,-3889.315932464639,4.997489875312128,2.2545532765350887e-14,1596.6107795621765,0.0001527731902462,2.3623516508089217e-06,14739364.525657669
58,0.0004105892945827,3.297426713999123e-07,-11454525.689087177,4.997486280501356,3.8937565808916216e-12,31528.69525167853,4.997490060340001,9.19993985168695e-16,368.1947968318577,4.997308460025745,2.5406642927697535e-12,-22197.18222142663
50,6.799061093069407e-05,4.7490151753798266e-11,-42195.98470930152,6.798241919495508e-05,7.752203019897503e-12,-17593.949382552964,4.997405040437396,1.0281649319292806e-08,1955090.5262893063,4.995948528636747,2.664369162477974e-06,34511933.15176716
25,4.996712573569351,2.2125607037980453e-06,16943309.056267854,6.794857513852092e-05,1.0729763170959511e-11,15687.311500251337,4.997489998056082,1.668187876508206e-15,566.5526255059473,0.0001069164816351,5.213854803242776e-09,-984297.8575380406
15,0.0006416412145061,9.123877099075572e-07,-17939595.293536138,4.997489216822811,7.43931036463131e-13,10595.744593821955,6.795643638228207e-05,2.7253026844409284e-22,0.0690209704160707,6.064892732751309e-05,1.3118465640802334e-13,5971.183153247877
52,6.81998844649536e-05,3.770660001396679e-11,-3118.896605987012,6.806720460597612e-05,9.731427186464971e-12,-1245.9921720024984,4.997488534374843,1.7753049902198734e-12,8504.187107317648,4.997365678713469,2.665000978113516e-08,1651959.9684477977
22,0.0009167573256321,9.119315110377036e-07,-16113669.284746608,0.0009058557957249,8.971238884974251e-07,-16117900.660026858,4.997486660115688,3.735667872978733e-12,37712.99456627342,6.0600905084414346e-05,2.832431162821277e-13,9960.428209302903
59,0.0921671996827026,0.0475467289462123,2750631366.135147,4.997488759022393,1.1215450948121746e-12,7762.326971663059,4.997490116549757,7.869186595233082e-14,868.0047731080665,4.994074815769527,0.0001329012440815,-117366154.13255732
60,3.9508792345274055,2.128288857371773,24159070766.833927,4.997489248546579,2.5830051285643297e-13,4616.625430880236,4.997490075212351,6.2463642229054836e-15,1068.5112752354798,4.987142069209782,7.551784633072886e-05,191102228.76357675
51,6.795101218649458e-05,4.7066006592914365e-11,-28547.67875678,6.793546822862581e-05,8.556707543012539e-12,-12079.873902954309,4.997486203046682,5.347778668552259e-12,42624.134373711,4.997307260399289,1.74741805736265e-13,1016.5074041570904
26,4.99749057161996,1.8859072697814264e-09,-268114.2990964972,6.79417546725314e-05,9.11904139810118e-12,17963.675362545233,4.997490100547904,8.92127676586333e-16,68.98148808068571,6.134376982661107e-05,1.3815701485551503e-14,-1213.888349244908
54,4.997413408468698,5.8918581129661034e-09,1517942.024185979,6.795779426304447e-05,1.075758651540269e-12,-7341.77585910891,4.997489643257003,1.485575280916086e-13,4187.556291548802,4.997278558326955,2.307325223186995e-09,819544.9277801582
18,4.997486212426164,2.782120792120106e-09,-490761.6373317054,4.997490062595198,4.3860421788768396e-14,-1748.3132650887346,6.795643886058505e-05,6.903735418688638e-23,0.0766503697900463,6.246588387562088e-05,2.118046368267847e-12,-28942.057270625508
39,3.490845194558821,3.160781459117272,42467651228.99886,6.810456136194988e-05,1.3295949185076329e-11,1791.4799209318207,6.810238984395633e-05,1.2968846268408482e-11,1777.138781005202,4.98403777788826,0.0001108899554837,298166156.1655719
49,6.659404852485812e-05,1.1600346328798283e-10,35245.70624023473,6.710159601428681e-05,5.060908718712846e-11,33477.57431751639,4.997348266641436,9.982964673097331e-09,-1985384.5919623345,4.99636087782496,1.998695377510472e-06,-29297028.80201433
55,4.997486583255919,5.380353681819296e-12,30247.984000812197,6.706328718001049e-05,9.771696276859043e-12,-30730.768079817804,4.9974899126345145,2.548725059661149e-13,3454.4994128818976,4.997516258107676,2.5399773350226386e-07,6483200.021092247
53,1.9395468177731023,4.487914958942945,57936774134.10253,6.791110366187128e-05,3.0519600497181688e-12,742.1716461906744,4.997489320203548,5.109828244424852e-13,1750.439270996425,4.988688129733206,0.0001500564832554,-97902544.61606486
3,6.795643765977777e-05,8.541489289706725e-30,-4.068666312713742e-05,6.795643766058575e-05,3.452800022072871e-29,-1.1652666800987955e-06,6.795643765376303e-05,1.3545543747309586e-28,-0.000121360001198,6.09425660104869e-05,2.0026700945757444e-23,-0.007347853422326
40,4.997468471363993,2.8031197997674304e-09,604832.9926614638,6.795433485415315e-05,1.0621387916230912e-11,24964.3562711993,6.795436137039854e-05,1.0360097319970516e-11,24655.37219553102,4.997306588340313,2.1312452741689306e-12,16279.546823645724
45,0.2515202373744625,0.2514184070745499,7666347837.840491,4.997487568223593,1.2673600945301476e-11,25912.30423654498,0.0172537573437062,0.0033553586969935,593447629.9211504,4.99221663679656,0.0001823188298616,-181619045.7849772
30,7.153444496857819e-05,4.326753977034791e-11,-120997.5479737112,4.997486919044235,5.928134489425129e-10,103915.61807875214,4.997486869154701,6.39031337895421e-10,105331.17058540307,0.0001159519015864,6.362495744481115e-11,-204079.46186624645
5,6.795643765944095e-05,1.3762208162406962e-29,-3.8019764404617433e-06,6.795643765985805e-05,2.3212538811069865e-30,-1.6684706412736638e-06,6.795643766388812e-05,4.028618460584261e-28,-5.643826769598276e-05,6.094256725844686e-05,4.9272514755311016e-24,0.0089352321751895
23,6.638347960426718e-05,7.984199448502484e-10,95003.40439194838,6.696600794267592e-05,5.816306683142246e-10,62242.69756504874,4.997489491359063,5.618302272070416e-14,4779.707714779839,6.12669440900046e-05,8.663963802770841e-15,1057.70965657089
9,6.774528817709564e-05,2.481019451943321e-12,-7238.623157468224,6.795604389059703e-05,1.4211120423059095e-17,-11.779398524383968,6.795644491521762e-05,1.4576980357381128e-16,-15.19455464768578,7.6355618862473e-06,4.67846575021894e-08,-1613282.7686639614
12,4.997489361857144,5.799884556946297e-12,12102.06961660562,6.801449366240882e-05,3.506256057025556e-13,1084.9427524715186,6.795727415115446e-05,3.543290780657985e-16,2.3851426169630305,4.248467006128529e-05,9.521832123591069e-09,-649826.0735359291
37,6.805895108025428e-05,1.3214299305595943e-10,-49939.9318856305,6.805679823662598e-05,9.971046498728711e-11,-43646.624428302246,6.805655204714587e-05,9.722796260827907e-11,-43121.99054628891,4.997307343494032,1.3877991705672642e-11,-15064.942043751777
61,4.997478637704411,5.33010100508102e-11,160608.66820896315,4.997489565450445,2.0217283136879054e-13,1337.2726788004811,4.9974901353432415,8.830511479060607e-17,119.61937923807348,4.997307277391599,1.6742624817162038e-13,-746.6693954627744
4,6.795643765976643e-05,8.094913907846802e-32,-1.003337997513243e-06,6.795643765870296e-05,1.6471978110015124e-29,1.0083592793935236e-05,6.795643765680753e-05,1.6073791451868664e-27,-0.0001304005768336,6.0942568225867184e-05,1.4521270910921211e-23,-0.0131476393812055
47,0.0953752577072045,0.0200354449289834,-2930767842.12643,0.0965342129818286,0.0203919901471654,-2962933197.7367773,4.996919805388476,5.097598972742058e-10,505030.0736568738,4.99745781019071,4.850996647111387e-08,-4476701.475937383
19,4.9974909522824005,1.1996855511228576e-09,-157338.81325325093,4.997490128855021,3.4676708316489414e-14,-576.0393648191614,6.683471637419872e-05,6.622958719564072e-12,-54515.14382810991,-4.518845948266242e-05,4.73555264144425e-08,-4986704.075380454
34,7.128721746841139e-05,6.78821057594795e-10,-200535.5888181794,7.139685641386646e-05,6.48278804913488e-10,-196605.872360189,7.139515984024802e-05,6.411500093529211e-10,-195707.29455186916,4.543225796110132,0.0055606946676692,1577048230.1746006
48,8.126355994990435e-05,3.2025494437775286e-09,-181754.074082094,8.075520013037907e-05,3.347164251148474e-09,-175106.2318802358,4.996915115867632,1.307696974577234e-08,569949.128945339,4.99656478401229,3.851540171019194e-07,-5316023.706455903
17,3.015423015331666,3.958001316546861,54888577340.33878,4.997489966628172,1.0461395345685272e-13,-771.4916033406757,6.795531922028514e-05,1.3216074704637027e-16,70.95772850268263,0.000829935416075,2.849802252240304e-06,-24213530.08251076
6,6.795643765937028e-05,2.975486873149517e-30,5.912048645827902e-06,6.795643765993042e-05,1.4951535134002671e-30,-5.377757293228001e-06,6.795643765890118e-05,3.8481722912929908e-28,8.600001401614338e-05,6.094256721177847e-05,3.5288016241775503e-25,0.0032980177423678
7,6.79564376607721e-05,2.18177897704216e-30,3.517667473425755e-05,6.795643766000971e-05,1.0132202771437075e-29,-3.167469693845746e-05,6.795643765743003e-05,1.0916649019966592e-28,1.028078334496288e-05,6.0942567255454686e-05,8.397958023877718e-27,0.0005148457560922
44,9.973324746628854e-05,2.694836716430519e-09,-897546.2324613794,4.997480279467502,1.7299674331086772e-10,131915.960722803,8.647457203264347e-05,1.104071323765242e-09,-701063.0923456895,4.99730717034162,1.333577660696887e-12,4870.291924538476
11,4.997483877052701,2.936711868392881e-11,103191.99069334872,6.7956468088068e-05,1.1360117029500858e-21,-0.5324744288675726,6.795644053784198e-05,9.082172038293862e-24,-0.0569994166941663,6.087259593525001e-05,1.2246005822196437e-13,-493.77260665761713
56,4.9974706576525465,8.040194250848107e-08,-285252.7880410879,2.8847407837338026,5.091590024392461,49855260831.85517,4.997489912535823,1.3261722815209792e-13,1364.7759443612208,4.99242222317801,0.0001739911977776,107283508.12349027
43,0.5374697547368905,0.1507319331942344,-9605223524.057188,4.482398834990942,0.4162500110516576,12223608590.47458,0.3328816166259989,0.0863206901938936,-6750972501.816924,4.985865765329674,7.956277676703129e-05,210389120.46482548
33,0.0002814840417941,8.20702579716811e-08,-5290261.741634467,0.0002816254586296,8.212402023306317e-08,-5289231.420589556,0.0002816669478136,8.212656662395167e-08,-5289720.913610721,4.399018125852517,1.680933822343482e-05,74158463.42554186
27,4.997417705196439,4.341498116234932e-08,-2441286.9392869654,1.0470636953728143,3.0478883845008187,31309671381.44326,4.997418054094247,4.34042135903769e-08,-2431461.5846379925,0.3300000346003039,0.2928088659239189,9885940180.444042
35,6.937891066069166e-05,1.7681465825906195e-10,-20173.506528812868,6.925384199416917e-05,1.381264956781519e-10,-19920.31836261865,6.924217720067475e-05,1.3503959760617416e-10,-19844.73492836276,4.839560591755856,0.0290865187244951,3838369041.28659
8,6.7956437659826e-05,3.8241035314212064e-30,2.6536116897364972e-05,6.795643765961262e-05,4.6412974674464e-30,1.682287533984603e-05,6.79564376706781e-05,1.4666355344387579e-27,0.0003111915349921,6.09425675276541e-05,5.385945510432999e-25,0.0069958468077899
38,0.023882935381143,0.0066033908135774,791817367.4780387,6.798464873271257e-05,5.1726749958034565e-11,-8490.98698518912,6.798426820420005e-05,5.0391273537694816e-11,-8359.517975475206,4.997250051286844,5.740103174970969e-05,-24567616.694799665
62,4.997486902202248,5.066990992651133e-12,19281.69694336928,4.997489979816866,1.9385095549800066e-13,983.5674269630134,4.997490145770818,8.430170830736551e-17,92.23067232173273,4.997307515244486,1.857819317691602e-13,115.5729924294238
32,1.8038566874733952,3.21166717010942,-37117754271.82064,1.8077376068665008,3.217326767251309,-37173622014.87558,1.8077600444702715,3.217353091285561,-37173927513.86878,4.185453995312943,0.05558521234039,4660321419.73064
42,4.683842294055747,0.6308643538773948,-11425073163.40598,3.7075522494430775,3.3481266728831813,32082615920.62165,1.483477171328769,2.395742141511759,21942119732.85071,5.002180003981829,0.0005589428810385,421797904.09099936
29,0.006198484722443,4.3382508112015095e-05,-119599851.09809291,4.4566358021983365,0.7759434275030844,12327795070.387403,4.456435458589009,0.7763968673449343,12332199393.269966,0.0037742267192386,1.7458434887734617e-05,-74705090.37158243
20,4.997414733153707,2.418994896300403e-07,-1321108.8696164016,4.997425725247397,2.805131458442262e-07,-963192.612334723,1.3151389029189111,2.5753978746163924,27978448962.162163,0.0403798582261807,0.0023376680124423,881290276.6889714
