signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,5.061215976436e-05,2.9411946189715063e-08,-615387.7407091779,4.998103065169392,4.885852765781479e-12,-1450.7923746904291,2.2063132519133205e-05,1.935478763544695e-21,0.0518979062073841,2.766977497254237e-05,4.945588696454022e-14,662.5920555133388
55,4.998102225989976,2.1215781161976032e-10,59884.02572449375,2.1024057214085565e-05,2.916809687272763e-11,-41791.8567755635,4.998102893803093,6.728496127436273e-13,3405.9257660495614,4.998179771547803,3.646852140776663e-07,6816187.343423631
50,0.0592691939475696,0.012375085454753,-1837217622.2060328,0.0593264345440512,0.0123921077922248,-1838877781.7354205,4.998072031307626,9.574840774951491e-10,660699.3422063115,4.997790250072558,4.937609745330333e-08,4820995.6936101625
58,1.736136086056401e-05,5.90373842807488e-09,149283.55967997698,4.998102637216876,2.1012796203905367e-12,-1723.6208587351675,4.998102716786919,3.5642504253942496e-16,-115.71415201989466,4.997974494978482,9.827245079735965e-13,-3235.46052877842
21,0.3974533874784399,0.1806726411149418,-8462466617.261866,0.3911247639256591,0.1755912037021288,-8337526650.0152,4.998091923799994,1.5904592357025331e-10,225834.72013005,-0.0001757055258093,1.0205513682738256e-07,4960176.978893555
44,1.5746667802423726e-05,7.253860551238921e-09,425280.1782114416,4.998102619442675,1.824793856468653e-12,2782.9501240670124,2.205196588491561e-05,2.2677295729325092e-14,174.53820136570266,4.997974497120031,1.7413210665441523e-14,-3.19759580499197
25,4.998081853179282,4.9953367632829035e-09,-85326.84200140492,2.1330860316232483e-05,6.431947769615408e-12,-3599.6091614062443,4.998102493335559,4.566989181814225e-13,-994.7633492293402,2.782038771104252e-05,8.417076128654287e-14,571.8170364328753
3,2.206314050357615e-05,1.1567883042169327e-27,0.0006523446038372,2.2063140508354943e-05,2.2401504549756316e-30,-3.086060284118185e-05,2.2063140509801977e-05,6.241651601404752e-30,1.924686508842634e-05,2.773839597110777e-05,4.143636362446672e-24,0.0426813550255813
54,4.998099737329457,1.626171833498978e-09,290138.9023320065,2.20653512229033e-05,5.885277018800824e-12,-14759.795272384898,4.998102766005131,5.736038646021421e-13,-4688.990297047566,4.9979744162056265,1.4930494175632484e-13,3818.496958438869
46,4.997966050844839,5.3052731975818446e-08,3239492.4775659926,4.9981027710969546,5.4014119974683344e-14,990.3771460003172,2.2063237804744923e-05,8.751997555718791e-16,129.38199723377457,4.997761989548027,1.3316908309420542e-07,5004613.687010972
39,4.9978203366896885,1.669750606364955e-07,6408553.966478707,2.2052300615038537e-05,3.0360696569920495e-11,29160.5736248023,2.2052294701594584e-05,3.0415613719610334e-11,29186.8844121309,4.997516857844853,4.90433144064376e-07,11218289.224963758
14,0.4004619487877972,0.1926579192552723,-8982856705.381073,4.998101401351408,6.067013910185057e-12,16152.699188187436,2.206318487826944e-05,2.469173974473453e-19,-0.2718337720656781,-8.545843982931669e-05,3.0231172996587576e-08,2855811.7938951617
18,4.998102381247923,8.105137761960316e-09,1966856.6639623784,4.99810268684161,2.533295772056518e-13,10996.018460206658,2.206313988803377e-05,1.3116892988548593e-23,-0.0791239571065322,2.7977966815295916e-05,1.8050688476016978e-13,-9281.95367674434
17,4.984198486060122,0.000779666409375,281383713.21231455,4.998102741719064,1.523092961676962e-13,89.25090878093644,2.2061533917548554e-05,7.757274154943558e-18,32.466319897203,-6.149538470456716e-05,2.2105400344460867e-08,1834766.0136247964
16,0.6633346880048464,1.8990982361730733,19760760062.64387,4.998102666097054,1.651517984707432e-12,787.948596365563,2.206351425824682e-05,8.354670191932036e-16,12.243532031136937,9.03333932809914e-05,3.44004694721239e-06,7255851.194636635
43,0.026170362407164,0.0022887119944376,-596052276.948161,4.998100114012465,5.936220691643116e-12,40651.33550609728,2.2077754533430252e-05,2.693683464967376e-14,223.81302222707592,4.998035951469438,7.263597827098454e-09,-1305452.9165823744
37,2.5364308112230645e-05,2.0340137868297246e-09,-213494.28977694357,2.5402600451989584e-05,2.19203879832359e-09,-219097.8724494263,2.54052572591104e-05,2.189495704196795e-09,-219006.88114948428,4.997974682501171,5.334863118929367e-12,4700.083033132529
62,4.998102662775628,2.6700022765853557e-09,769440.8706201729,4.998102750013841,9.819609431726289e-14,-4666.234308277123,4.998102693496779,3.3000439554149487e-17,-85.54197982951659,4.997974490253304,1.909873567768531e-13,6507.6133948960905
12,4.998101999542306,4.2611021015425584e-10,79538.83075645153,2.0091122834448096e-05,4.644148787873228e-11,-94443.77753860176,2.2064097320021454e-05,3.231143331652972e-15,72.09428527893209,-0.0001172046081817,1.7780468674348348e-07,-6679208.164296538
26,4.998104209557278,1.5091251457178335e-09,-247508.6929773653,2.2077439888932743e-05,4.271969508767294e-12,-10528.454404257258,4.998102686584336,3.002533749732191e-13,-2819.862126293396,2.776696270116826e-05,5.85362946333619e-14,2090.8732586903293
29,0.0001065317910415,4.8150705873835175e-08,-2077788.6592067613,4.998102910636779,3.0129198829944243e-12,-479.801261285337,4.9981026682268,1.6377233056104643e-16,-7.587481148849382,2.7671004619027057e-05,5.703906465337498e-15,994.6142615612696
51,2.7864835637402258e-05,3.263914156798809e-09,-336346.7970827427,2.7991112558987552e-05,3.3986082249632405e-09,-339518.94065800525,4.998102977446904,3.081295222738079e-11,-8036.564249586715,4.997974535527794,3.3689184878854325e-13,-1558.4911936730912
11,4.998120023501999,3.73293038213186e-09,90101.3459992938,2.206313127583956e-05,1.1190640732724865e-21,-0.02437880675726,2.206311457988694e-05,8.092164687986366e-21,-0.1398427529532241,2.7763057285230865e-05,7.817744456415417e-15,234.6938346034353
47,4.998087611926392,2.755202438687494e-09,407106.02990600246,4.998102684726386,6.09630253068531e-14,1726.5096020754029,2.205402890435617e-05,1.000668097087419e-15,232.23950552502183,4.997974351277371,1.8720472384835461e-13,3178.5298338393704
32,4.998101417204662,5.169895726388525e-09,600198.2662175213,4.99810268903814,8.242803382573204e-14,-2380.4890112386934,4.998102663137322,2.8656972053395187e-18,2.0286007450978047,2.8485259056283003e-05,2.873795948812155e-13,-7434.735115120146
22,6.730775951192064e-05,2.0421246465897473e-08,10726.219291650716,6.790941256564405e-05,2.1048261880540272e-08,19784.57435960768,4.9981010938068495,2.7182580991482476e-11,-9799.8581391846,2.776668925927349e-05,1.2357636834278042e-13,1624.376273302183
4,2.2063140507368624e-05,1.9365397831978199e-28,0.0001375555323108,2.2063140508452928e-05,3.2979933623576846e-30,-2.361056867568122e-06,2.206314050294865e-05,1.5487670348199504e-27,-7.076429534868342e-05,2.773839581184314e-05,1.2842577343443057e-23,0.0257739558050008
48,4.998103959097726,6.127538593538025e-10,-45976.6485590412,4.998102751144279,3.7205658430152055e-14,-183.04588690904103,3.560962456005031e-05,8.670186365303252e-10,520512.81781866687,4.998180728615723,9.059589703378553e-08,4130671.205065856
6,2.2063140508863725e-05,1.923662456072273e-29,-2.140511159531044e-05,2.206314050874488e-05,8.586954166097438e-32,1.209778760209014e-06,2.2063140508275925e-05,1.185738865732943e-27,-0.0001626600973206,2.773839600595744e-05,3.7203421242367386e-24,-0.0105643536350267
40,4.998103058862118,2.95632307106128e-09,-571787.0088893955,2.205478568698253e-05,3.430177125830413e-11,61448.87927212674,2.205477836054594e-05,3.4363864598644167e-11,61504.47050532155,4.997974494222715,6.625632075055519e-13,-8770.426738953704
8,2.206314050846696e-05,6.921448572810781e-31,3.628665963612983e-06,2.2063140508645997e-05,1.1345265533252597e-30,2.2138525390633597e-06,2.206314050765701e-05,8.25028506764231e-29,-0.0001232807362252,2.7738395815591977e-05,6.243508499392763e-26,-0.0033592251767006
30,2.0667591576008947e-05,6.458654352443577e-10,95288.83728774652,4.998102680192086,1.7922641399994062e-12,2740.0040103530746,4.998102702228219,3.330219320581613e-14,1295.891403181522,1.2426342775357209e-05,1.4702519747764904e-08,-553600.7194392558
7,2.206314050881181e-05,2.477044298386333e-31,-5.365194922432046e-06,2.20631405087272e-05,5.699253473716849e-32,-4.52123165420503e-06,2.206314050947308e-05,7.128263396239932e-28,-0.0003007680230824,2.7738395923702776e-05,5.670794739351485e-25,-0.0084626601662581
5,2.2063140507264696e-05,3.8869102658426017e-29,-3.246615175269164e-05,2.206314050839588e-05,1.4830704138157316e-30,-7.027085728713564e-06,2.2063140509516645e-05,5.122042597403418e-28,-0.0003357887670139,2.773839561101685e-05,5.90315881504932e-24,-0.0122110158558033
60,4.9940834572651385,5.66380363374864e-05,87884201.18100527,4.998102779892565,5.4903815945571045e-14,629.4916598002267,4.998102710903213,1.4063083795473051e-16,-173.2728105592587,4.995898026340776,6.940633072518678e-06,41856989.790069565
19,4.998101029150633,1.5756695255513563e-09,136087.3301643457,4.99810266408283,1.09105914333089e-13,507.2801103522445,2.077130845846345e-05,1.4377623953743746e-11,-44345.57941273044,-6.772657155301207e-05,4.9134558222925944e-08,-3300085.0352694616
33,4.998091499628105,3.9922892045363534e-09,60573.96086885852,4.998102730323204,7.208214695476384e-14,-103.72256542017055,4.998102660583759,3.4067715904295514e-18,-4.7208714305946335,2.776895875565485e-05,9.601099445941778e-14,899.4924748501043
53,3.074845523306099,4.288370940962744,45743907230.63172,2.195493217022475e-05,1.1908733339478518e-11,-974.0885620188786,4.998102776367518,1.3544795344415702e-12,-1551.8289110940038,4.984133579778779,0.0001284443473778,242710907.86802548
23,2.0790271040847168e-05,4.981245200328805e-10,92332.82336886846,2.047674359099205e-05,4.0811737972825183e-10,86445.07254949852,4.998102742334104,1.1864645915057846e-11,-2982.332342017465,3.3245409863280554e-05,5.854171900271172e-10,178435.37123118207
52,-0.0004841539836813,6.079190928428136e-06,-15534292.371801836,2.196167341432792e-05,9.158490871395689e-11,8905.503460788144,4.998102697681945,1.2815731784931776e-11,3314.9272896631715,4.999423716795989,8.241266168262069e-06,38871691.65690545
45,1.2745501674557789,3.7519566570798895,39953339375.9441,4.998102781953941,5.321606953417069e-13,-376.33985651106974,2.2064173184376054e-05,8.425723029051012e-15,-82.52951745531252,4.99092229405139,0.0001558562068308,-162995771.27577913
10,3.355654747874383,3.8938485306029222,34273005005.133068,2.206989403846136e-05,3.4942970174254714e-16,-176.92814955068974,2.206235358646534e-05,9.549002763441111e-17,30.74827018931188,0.0010885899770931,1.6703651830156637e-06,-17080343.838568922
42,4.16217055603206,2.5588511862486696,-32672480488.652798,4.631696733460629,1.0211083987560494,13950039265.326284,2.205123963344994e-05,3.687809020913796e-13,419.70534823510206,4.998905892189694,0.0001442407991123,202243856.87661773
13,4.8181421054104,0.4025373480538817,-7462620464.86001,3.535099691631044,4.497342137782456,41806236308.047134,2.2062648371734716e-05,1.869050250623875e-15,12.96417310684005,0.0002156785353679,2.703245628266773e-06,5836619.186088412
57,0.5788573622558659,0.3406134756637339,-13168025515.183878,4.998093741239544,4.1881592872592657e-11,152624.80130128528,4.998102725655296,4.990958423991266e-16,5.641965639720006,4.999761404081815,3.870131766529891e-06,-42749992.35380136
38,1.0576574474061613,3.2733616018169243,34654896350.62421,2.24896477623191e-05,3.1652868982951e-10,-18913.53187505656,2.2490506674120116e-05,3.1689237424106873e-10,-18933.70559368096,4.991700615038548,0.0001440461469552,-164587686.04326978
