signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
17,4.99786913132207,6.272051348198996e-07,9036280.536739051,4.998224111686438,3.559174087201421e-14,115.94784095298364,2.0094337590280916e-05,8.761718977516043e-20,-1.8353406571510984,2.657472477735215e-05,4.526818250972655e-10,45365.53435814549
18,4.998223864708006,1.1542760224603661e-10,232339.2234322352,4.998224084149411,5.950152667342211e-14,5275.112799833398,2.0094235558308327e-05,1.3119906220695691e-20,2.477040239241644,2.524710903782618e-05,2.134891717814465e-14,3159.771099339044
15,1.6466731302888432e-05,5.834725824041391e-09,650505.3337142646,4.9982240806800045,2.9253146437791717e-12,-11596.589510373176,2.0094236640589825e-05,3.478504891340933e-21,-0.4147951426130378,2.50563610831436e-05,1.515461869883342e-13,-2453.9617357422926
14,0.0922692716465236,0.0317530599965503,-2648873700.3689,4.998223393772422,3.3241575550872856e-12,6316.534364299651,2.0094247286556237e-05,8.366276142228394e-21,-0.7019534139129862,2.0635477318782066e-05,1.1182496425162063e-10,128142.33104428668
16,0.9180682137025248,2.8805355015775853,27894216257.07606,4.998224100727384,7.30228377062287e-13,-746.9646209567761,2.009497156692509e-05,9.56109062175252e-16,-6.649371693228816,6.12502597831472e-05,3.0952690107952397e-06,5566369.796479508
25,4.998214823944961,9.706101386720463e-10,-19701.092154077214,2.1219908089388083e-05,1.5201810197192376e-11,3199.5821636829555,4.998223914452777,3.4885785126440066e-13,-514.9791124265944,2.518557109439505e-05,1.6696782467578312e-13,385.1708437365255
3,2.009423641507243e-05,0.0,0.0,2.009423641773135e-05,0.0,0.0,2.009423641744339e-05,0.0,0.0,2.506802708106326e-05,0.0,0.0
29,5.6781206881624005e-05,1.002489258045474e-08,-187075.25102457777,4.99822380005938,6.255102570667876e-13,-1018.8233331395415,4.998224067956717,8.375355011673089e-17,-40.51237466692284,2.4952995863111357e-05,5.79277823629591e-14,42.10113579996491
58,2.4548241241746187e-05,1.6029565045579024e-09,-369343.34045820846,4.998224033702071,1.3320483984191762e-13,2541.5989993365843,4.998224107163735,1.5689360521532216e-16,-76.66612239532144,4.998107663552521,7.358150341039384e-14,-1200.3899294258897
21,0.0992493934317925,0.0336845819856346,-2895004028.8771305,0.096510884806589,0.0325160774245815,-2824259165.6465964,4.998221241174749,3.14544101844065e-11,41297.16624753307,1.6185845636602258e-05,4.34116976210942e-10,266842.3979523196
