signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
15,5.128848632201508e-05,2.815208132105501e-09,-1056531.4488248976,4.997912553866498,6.734329983280398e-13,-3188.848178410596,2.5890580858130652e-05,4.507702646280709e-23,0.0287289680370668,3.2468946170914595e-05,4.694495200550892e-15,728.4342583415014
60,4.880056313753332,0.0462793128075085,2944062915.566779,4.997912726048888,5.3081098756041e-14,606.659938953322,4.9979126598159525,1.904883206552412e-16,-258.50027443430514,4.992498220693253,2.6621723775594235e-05,110240198.84165771
58,4.657441386122068e-05,2.208687678830996e-09,-1012198.0442886322,4.997912476746233,9.229077233426466e-13,4651.136716217529,4.997912665906384,2.1969106760469482e-16,-92.5356783973814,4.997764466275306,2.7188106927771585e-13,-1020.225495229392
3,2.589058169585865e-05,0.0,0.0,2.589058169901925e-05,0.0,0.0,2.589058170180122e-05,0.0,0.0,3.253766855601009e-05,0.0,0.0
2,2.589058169882025e-05,0.0,0.0,2.589058169591189e-05,0.0,0.0,2.589058169600474e-05,0.0,0.0,3.253766843147622e-05,0.0,0.0
25,4.997937466635075,8.630295244031719e-09,238803.86698504025,2.690334366891051e-05,1.2298770810618506e-11,7980.453398857367,4.997912574101391,3.025056782242031e-14,-420.5146199038881,3.2531602676009275e-05,2.171806577756556e-15,-731.5849608714
4,2.589058169860911e-05,6.842759098847988e-30,3.36223447732042e-05,2.5890581696872312e-05,1.7138914466950796e-30,-5.367257282954808e-06,2.5890581694953667e-05,8.207309342837871e-29,-9.134606045552054e-05,3.253766812693724e-05,3.10699284115521e-24,-0.0223732629637768
36,0.0003574524194304,2.74739560148462e-07,-7007179.4190725,0.0003579980660378,2.7681160788894415e-07,-7005719.457814887,0.0003579951613501,2.767005620249034e-07,-7006687.176639449,4.997706096931152,1.2083534692717553e-08,1677520.9584062789
18,4.997937923252185,7.886115854032418e-09,245666.01451311717,4.9979126783245285,3.8288216057215854e-14,517.5173759633286,2.5890593708194357e-05,1.6676865466175025e-21,0.0955854209743007,3.2894896645821306e-05,2.3589069405647174e-13,-6646.9555085943775
54,4.997911765598744,1.4057105231567335e-09,186627.47724801843,2.554632327639585e-05,3.550533269827656e-12,-2755.7571688670105,4.997912804611664,2.179434837776219e-13,627.5083896153141,4.997763701368461,1.890948418491846e-12,14939.568489899588
46,4.996567210842446,5.222507722308314e-06,31478455.644542832,4.997912723142234,1.8000730293533146e-14,-569.4882108523515,2.5891345506494064e-05,6.296365236432734e-16,-110.1529832607015,4.996556568573605,2.7938877404374934e-06,27074399.437222525
44,2.997444126405496e-05,1.1423545120856175e-10,-210747.1579314627,4.997912560533228,2.624179179738132e-13,2215.333922181123,2.5899264005091355e-05,1.0159611405086132e-14,-295.7677171929384,4.997764358255894,1.1657534284846869e-13,1341.1133525479604
9,3.126736086544103e-05,1.477961788861347e-09,193043.15316427653,2.589574264803162e-05,2.614289899264709e-16,164.04763504450202,2.588942806587648e-05,2.195555525207767e-16,-42.52562005147919,-0.0002324602423238,3.086003151919989e-07,-7767499.284616194
5,2.5890581696941027e-05,1.8098145058008002e-29,1.876084851658348e-05,2.5890581696991524e-05,9.128050395069753e-30,-1.819595437918506e-05,2.589058169737596e-05,6.7502631649130945e-28,-0.0001867999112057,3.253766844194972e-05,4.646126486643758e-24,-0.0166505766613441
26,4.997910805932328,3.979533624763849e-09,249751.580777839,2.587652052805573e-05,9.087752416301264e-12,11165.08859215765,4.9979126178454125,2.3010715437576384e-14,-609.0267098387346,3.256186427588177e-05,1.83809381441374e-14,351.35353591346154
24,1.7455497637294464,4.640980540225954,55647990603.82472,2.597209448068906e-05,4.7097324742113026e-11,-8598.583519022837,4.997912627389028,1.6085141734078446e-13,209.0302603853524,2.155080243290092e-05,3.268026163691567e-06,18027334.6915606
55,4.997911985868488,3.7963581135645967e-10,50868.95086303087,2.4979526228323763e-05,2.0132680197805964e-11,-32844.64658557252,4.997912787933868,3.9849634581182273e-13,3647.759299605085,4.997959882170181,3.278356584480204e-07,6030250.409435172
30,2.6494223016732256e-05,5.414742249307074e-11,689.9412074320588,4.997912527952807,4.45540585742324e-12,2954.79088751796,4.997912578012812,3.022008372629304e-15,-774.842909587841,3.557773106593681e-05,1.48011282051274e-10,121290.09708004692
22,6.83265085143333e-05,2.2911087620906273e-08,-573113.6192483442,6.929193225090268e-05,1.9986619192860578e-08,-622311.4810015624,4.997912326689694,9.854406505418664e-13,-530.2983027017397,3.236332236024959e-05,9.738910442063242e-14,3585.3669720497182
51,3.757610903206878e-05,2.0754823177725668e-09,-522901.7898583257,3.759667338405448e-05,2.088245797935518e-09,-524053.1280476108,4.997911632424198,7.239945631702965e-12,21798.090760622006,4.997764272235112,1.0266953571676892e-12,1950.526245456564
52,2.5794904783319654e-05,1.0261643373176919e-10,9917.811827336302,2.5704591178954284e-05,4.197797386731055e-11,1545.9899123601017,4.997912675943787,3.452692504802853e-12,448.2908108073001,4.998202081880122,7.04212424344822e-07,10761665.739295732
8,2.5890581697242798e-05,1.5210863125350998e-30,-9.118654760088695e-06,2.589058169755161e-05,1.6754011463051527e-30,7.541709105036791e-06,2.589058170214489e-05,1.5802842438298462e-28,9.024908077388158e-05,3.2537668578402016e-05,1.8787501402961888e-25,0.0039341654948444
16,0.0965973560786514,0.0579339448542458,2869920469.7453446,4.997912638707597,3.246607509237527e-13,99.96275294807002,2.5889177502815197e-05,6.617385156542702e-16,-44.41324560801019,4.411307042986752e-05,3.658476913050088e-06,7512214.251397493
7,2.589058169791693e-05,3.068891884688769e-30,-3.336023430626717e-05,2.5890581698095116e-05,4.4843589091135195e-30,-3.702363701424455e-06,2.589058169807654e-05,1.6328919909990054e-28,-0.0001498132656259,3.253766849253443e-05,2.1501982611732686e-26,-0.0014296496055907
6,2.589058169736301e-05,1.6365694502137062e-30,-4.51072970232503e-07,2.589058169698619e-05,2.5470590730061965e-30,-2.2402960355957684e-05,2.5890581698481854e-05,5.131495312869415e-28,-0.0001389041332965,3.25376685741002e-05,1.0646010796886068e-24,-0.0064007088123151
