signal,mean_bit0,variance_bit0,slope_bit0,mean_bit1,variance_bit1,slope_bit1,mean_bit2,variance_bit2,slope_bit2,mean_bit3,variance_bit3,slope_bit3
58,0.0003817592349924,3.192565826159482e-07,-10607778.34893404,4.997505139320871,3.1071090955460375e-12,33552.49508323623,4.997508485154397,1.530353289476561e-14,330.4169151368621,4.997327751542277,2.504728219655092e-12,-22256.01900371541
15,0.0005683854972675,8.05603824717153e-07,-15847021.02028593,4.997507748074546,1.3201564348760205e-13,7461.09685822872,6.447691710063237e-05,3.681444401892872e-22,0.0690012034178862,5.8553634432972296e-05,1.4485346880873688e-13,5057.862545137187
29,0.0731871639147072,0.0143846524415959,-1850272841.5702755,4.997506622188273,1.3345428507311504e-12,13824.086601592377,4.997508613819112,5.630786102691014e-15,-245.02607213192823,5.652087661650194e-05,1.0627035519700228e-11,49045.62302992612
24,1.3559824789331385,3.816061529059077,43307568513.99222,6.457119612536003e-05,1.329763534419762e-11,-2224.8512351359564,4.997508379035705,5.5213772733447414e-12,-18.881037572827573,0.0001526222314328,2.374559415210412e-06,15640160.495282777
25,4.997440217981931,1.3089730524913458e-08,993026.9147542485,6.44740948154494e-05,4.758816515046619e-12,16148.08259807508,4.997508449557068,1.46719773843035e-12,9591.25455412248,6.604870841326765e-05,2.0906904761493184e-10,-226125.6569827952
52,6.559660883628976e-05,4.1489526730159475e-11,-33892.102665166145,6.556503923126998e-05,4.797078759179006e-11,-35492.0640657065,4.997506573870326,3.6661697051894303e-11,11435.08408749194,4.9973776698899135,2.1126640253031025e-08,1392973.2442648497
59,0.0960947943841781,0.0497782901991001,2911256042.828773,4.997507305749479,5.776835298374825e-13,8890.203281900654,4.997508556874542,9.080960645456797e-14,772.9412499453947,4.993964663971503,0.0001379865772709,-124903570.76934431
2,6.447691462170016e-05,0.0,0.0,6.447691462484793e-05,0.0,0.0,6.447691462497853e-05,0.0,0.0,5.88435266764315e-05,0.0,0.0
60,3.967915756054407,2.098424085922328,22833630719.46062,4.997507764130391,1.3102807354573462e-13,4180.624750043965,4.997508511327792,7.869700016630953e-15,998.5740994100468,4.987290515520531,7.535589423099584e-05,182592023.6593019
8,6.447691462299108e-05,1.5451937972464403e-30,-1.4533110169343511e-05,6.447691462335716e-05,4.343713984032873e-30,-2.1364622674196653e-05,6.447691462449962e-05,1.5826877913527698e-29,3.774920463200343e-05,5.8843526769838096e-05,6.633996418283696e-26,0.0045859250942751
