v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.4154805876725768
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.4154804829891195
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.415480441797444
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.4154804333261026
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.4154804411976921
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.4154804337191396
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.4154804409054317
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.4154804340295103
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.4303708950006787
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.4606678445852316
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.5219564216242486
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.5918692384755628
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.6627436968927493
7.359294586410038e-09,0,7.359294586410038e-09,0,7.359294586410038e-09,0,7.359294586410038e-09,5,7.359294586410038e-09,0.662962546998257
7.57705514231876e-09,0,7.57705514231876e-09,0,7.57705514231876e-09,0,7.57705514231876e-09,5,7.57705514231876e-09,0.6629736116532107
7.788132103170276e-09,0,7.788132103170276e-09,0,7.788132103170276e-09,0,7.788132103170276e-09,5,7.788132103170276e-09,0.6629679993575227
8.210286024873308e-09,0,8.210286024873308e-09,0,8.210286024873308e-09,0,8.210286024873308e-09,5,8.210286024873308e-09,0.6629683960362968
8.795866813656415e-09,0,8.795866813656415e-09,0,8.795866813656415e-09,0,8.795866813656415e-09,5,8.795866813656415e-09,0.6629704275015669
9.734799413475348e-09,0,9.734799413475348e-09,0,9.734799413475348e-09,0,9.734799413475348e-09,5,9.734799413475348e-09,0.6629677999293536
1.111739970673767e-08,0,1.111739970673767e-08,0,1.111739970673767e-08,0,1.111739970673767e-08,5,1.111739970673767e-08,0.6629711612826447
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,0.6629675171486897
1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5,1.275e-08,0.7907224163459126
1.3125e-08,0,1.3125e-08,0,1.3125e-08,3.124999999999995,1.3125e-08,5,1.3125e-08,0.9887410345923411
1.33125e-08,0,1.33125e-08,0,1.33125e-08,4.06249999999999,1.33125e-08,5,1.33125e-08,1.090635977607061
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.195107167872222
1.359656350169193e-08,0,1.359656350169193e-08,0,1.359656350169193e-08,5,1.359656350169193e-08,4.517182491540342,1.359656350169193e-08,1.168598534833841
1.371596162558456e-08,0,1.371596162558456e-08,0,1.371596162558456e-08,5,1.371596162558456e-08,3.920191872077179,1.371596162558456e-08,1.135156039398993
1.382957195227563e-08,0,1.382957195227563e-08,0,1.382957195227563e-08,5,1.382957195227563e-08,3.352140238621827,1.382957195227563e-08,1.103820110023628
1.405679260565777e-08,0,1.405679260565777e-08,0,1.405679260565777e-08,5,1.405679260565777e-08,2.216036971711124,1.405679260565777e-08,1.041445779987673
1.427839630282889e-08,0,1.427839630282889e-08,0,1.427839630282889e-08,5,1.427839630282889e-08,1.108018485855558,1.427839630282889e-08,0.9816395961191717
1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,0.9223710611142539
1.469170425188707e-08,0,1.469170425188707e-08,0,1.469170425188707e-08,5,1.469170425188707e-08,0,1.469170425188707e-08,0.9222267776836921
1.490847087297958e-08,0,1.490847087297958e-08,0,1.490847087297958e-08,5,1.490847087297958e-08,0,1.490847087297958e-08,0.9222594715504194
1.512458778813375e-08,0,1.512458778813375e-08,0,1.512458778813375e-08,5,1.512458778813375e-08,0,1.512458778813375e-08,0.9222180980385305
1.555682161844208e-08,0,1.555682161844208e-08,0,1.555682161844208e-08,5,1.555682161844208e-08,0,1.555682161844208e-08,0.9222578666998666
1.642128927905874e-08,0,1.642128927905874e-08,0,1.642128927905874e-08,5,1.642128927905874e-08,0,1.642128927905874e-08,0.9222183016780315
1.758564463952937e-08,0,1.758564463952937e-08,0,1.758564463952937e-08,5,1.758564463952937e-08,0,1.758564463952937e-08,0.9222579137375569
1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,0.9222185842034679
1.90947851323361e-08,0,1.90947851323361e-08,0,1.90947851323361e-08,5,1.90947851323361e-08,1.723925661680524,1.90947851323361e-08,1.014379129561929
1.942239256616805e-08,0,1.942239256616805e-08,0,1.942239256616805e-08,5,1.942239256616805e-08,3.36196283084026,1.942239256616805e-08,1.103866324726269
1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995,1.975e-08,1.195340878355432
1.998154375896632e-08,0,1.998154375896632e-08,0,1.998154375896632e-08,5,1.998154375896632e-08,5,1.998154375896632e-08,1.195491769194774
2.024762140491051e-08,0,2.024762140491051e-08,0,2.024762140491051e-08,5,2.024762140491051e-08,5,2.024762140491051e-08,1.195429355282111
2.050799651147517e-08,0,2.050799651147517e-08,0,2.050799651147517e-08,5,2.050799651147517e-08,5,2.050799651147517e-08,1.195507864186767
2.102874672460449e-08,0,2.102874672460449e-08,0,2.102874672460449e-08,5,2.102874672460449e-08,5,2.102874672460449e-08,1.195431137390974
2.207024715086313e-08,0,2.207024715086313e-08,0,2.207024715086313e-08,5,2.207024715086313e-08,5,2.207024715086313e-08,1.195506083877785
2.353512357543156e-08,0,2.353512357543156e-08,0,2.353512357543156e-08,5,2.353512357543156e-08,5,2.353512357543156e-08,1.195432475539715
2.5e-08,0,2.5e-08,0,2.5e-08,5,2.5e-08,5,2.5e-08,1.195506068885002
2.515198336089069e-08,0,2.515198336089069e-08,0.759916804453469,2.515198336089069e-08,5,2.515198336089069e-08,5,2.515198336089069e-08,1.369455225234224
2.54316904121734e-08,0,2.54316904121734e-08,2.158452060866997,2.54316904121734e-08,5,2.54316904121734e-08,5,2.54316904121734e-08,1.710140626702423
2.574731594178157e-08,0,2.574731594178157e-08,3.736579708907837,2.574731594178157e-08,5,2.574731594178157e-08,5,2.574731594178157e-08,2.117071795417919
2.6e-08,0,2.6e-08,4.999999999999995,2.6e-08,5,2.6e-08,5,2.6e-08,2.448412833646556
2.604901033674546e-08,0,2.604901033674546e-08,5,2.604901033674546e-08,4.754948316272684,2.604901033674546e-08,4.75494831627268,2.604901033674546e-08,2.40219503619547
2.614703101023639e-08,0,2.614703101023639e-08,5,2.614703101023639e-08,4.264844948818037,2.614703101023639e-08,4.264844948818032,2.614703101023639e-08,2.305476056062113
2.623309941710505e-08,0,2.623309941710505e-08,5,2.623309941710505e-08,3.834502914474737,2.623309941710505e-08,3.834502914474733,2.623309941710505e-08,2.22097906977075
2.637635466462178e-08,0,2.637635466462178e-08,5,2.637635466462178e-08,3.118226676891101,2.637635466462178e-08,3.118226676891097,2.637635466462178e-08,2.080141448372579
2.65517772171517e-08,0,2.65517772171517e-08,5,2.65517772171517e-08,2.241113914241518,2.65517772171517e-08,2.241113914241513,2.65517772171517e-08,1.909262050136267
2.677588860857585e-08,0,2.677588860857585e-08,5,2.677588860857585e-08,1.120556957120765,2.677588860857585e-08,1.120556957120761,2.677588860857585e-08,1.694734073284251
2.7e-08,0,2.7e-08,5,2.7e-08,1.332267629550188e-14,2.7e-08,8.881784197001252e-15,2.7e-08,1.487749527789215
2.710888295431844e-08,0,2.710888295431844e-08,5,2.710888295431844e-08,0,2.710888295431844e-08,0,2.710888295431844e-08,1.48693707940279
2.72411856448168e-08,0,2.72411856448168e-08,5,2.72411856448168e-08,0,2.72411856448168e-08,0,2.72411856448168e-08,1.487127138887647
2.736560191591168e-08,0,2.736560191591168e-08,5,2.736560191591168e-08,0,2.736560191591168e-08,0,2.736560191591168e-08,1.486930140879231
2.761443445810144e-08,0,2.761443445810144e-08,5,2.761443445810144e-08,0,2.761443445810144e-08,0,2.761443445810144e-08,1.487107912500401
2.797287218297029e-08,0,2.797287218297029e-08,5,2.797287218297029e-08,0,2.797287218297029e-08,0,2.797287218297029e-08,1.486936924832979
2.865888847372906e-08,0,2.865888847372906e-08,5,2.865888847372906e-08,0,2.865888847372906e-08,0,2.865888847372906e-08,1.487105462290438
3.003092105524659e-08,0,3.003092105524659e-08,5,3.003092105524659e-08,0,3.003092105524659e-08,0,3.003092105524659e-08,1.486936161058968
3.125e-08,0,3.125e-08,5,3.125e-08,0,3.125e-08,0,3.125e-08,1.487108872787732
3.159209560170381e-08,0,3.159209560170381e-08,5,3.159209560170381e-08,0,3.159209560170381e-08,1.710478008519074,3.159209560170381e-08,1.591029796059913
