v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.353949994498013
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.3539499818460782
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.3539499808333402
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.3539499807576817
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.3539499808360022
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.3539499807574273
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.3539499808358577
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.3539499807577491
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.3697939892997576
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.4020214544566937
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.4672739248934198
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.5414478335294909
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.6161458748250399
7.355683798915104e-09,0,7.355683798915104e-09,0,7.355683798915104e-09,0,7.355683798915104e-09,5,7.355683798915104e-09,0.6162973306377966
7.567051396745313e-09,0,7.567051396745313e-09,0,7.567051396745313e-09,0,7.567051396745313e-09,5,7.567051396745313e-09,0.6163026317908061
7.775151567372506e-09,0,7.775151567372506e-09,0,7.775151567372506e-09,0,7.775151567372506e-09,5,7.775151567372506e-09,0.6162973948081252
8.191351908626893e-09,0,8.191351908626893e-09,0,8.191351908626893e-09,0,8.191351908626893e-09,5,8.191351908626893e-09,0.6163002246609909
8.753256030719712e-09,0,8.753256030719712e-09,0,8.753256030719712e-09,0,8.753256030719712e-09,5,8.753256030719712e-09,0.6162984903864693
