v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.1015011175747196
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.1015011127645421
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.1015011136188498
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.1015011153340325
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.101501117040314
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.1015011178527845
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.101501117851806
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.1015011178438805
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.1214600031326785
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.1623876907593866
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.2443300159868092
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.3362975403029794
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.4282086981015305
7.283048544376462e-09,0,7.283048544376462e-09,0,7.283048544376462e-09,0,7.283048544376462e-09,5,7.283048544376462e-09,0.4286299896509264
7.349145633129386e-09,0,7.349145633129386e-09,0,7.349145633129386e-09,0,7.349145633129386e-09,5,7.349145633129386e-09,0.4287355299566488
7.481339810635235e-09,0,7.481339810635235e-09,0,7.481339810635235e-09,0,7.481339810635235e-09,5,7.481339810635235e-09,0.428662586395952
7.661450497766162e-09,0,7.661450497766162e-09,0,7.661450497766162e-09,0,7.661450497766162e-09,5,7.661450497766162e-09,0.4287209257618293
7.954685040939908e-09,0,7.954685040939908e-09,0,7.954685040939908e-09,0,7.954685040939908e-09,5,7.954685040939908e-09,0.428679204267807
8.510254389682091e-09,0,8.510254389682091e-09,0,8.510254389682091e-09,0,8.510254389682091e-09,5,8.510254389682091e-09,0.4287264115932965
9.477906138414076e-09,0,9.477906138414076e-09,0,9.477906138414076e-09,0,9.477906138414076e-09,5,9.477906138414076e-09,0.4286889240851634
1.098895306920704e-08,0,1.098895306920704e-08,0,1.098895306920704e-08,0,1.098895306920704e-08,5,1.098895306920704e-08,0.4287293296304649
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,0.4286906411070446
1.25625e-08,0,1.25625e-08,0,1.25625e-08,0.3124999999999987,1.25625e-08,5,1.25625e-08,0.4685829261413948
1.26875e-08,0,1.26875e-08,0,1.26875e-08,0.9374999999999959,1.26875e-08,5,1.26875e-08,0.5501504924311732
1.29375e-08,0,1.29375e-08,0,1.29375e-08,2.187499999999991,1.29375e-08,5,1.29375e-08,0.7130825566147488
1.317062614226983e-08,0,1.317062614226983e-08,0,1.317062614226983e-08,3.353130711349154,1.317062614226983e-08,5,1.317062614226983e-08,0.8642530374359251
1.333531307113491e-08,0,1.333531307113491e-08,0,1.333531307113491e-08,4.176565355674574,1.333531307113491e-08,5,1.333531307113491e-08,0.9709076722102591
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.077327272575302
1.359259315113871e-08,0,1.359259315113871e-08,0,1.359259315113871e-08,5,1.359259315113871e-08,4.537034244306438,1.359259315113871e-08,1.048194941581972
1.370235569737099e-08,0,1.370235569737099e-08,0,1.370235569737099e-08,5,1.370235569737099e-08,3.988221513145054,1.370235569737099e-08,1.012716209713088
1.38072661202652e-08,0,1.38072661202652e-08,0,1.38072661202652e-08,5,1.38072661202652e-08,3.463669398674013,1.38072661202652e-08,0.9787626093053764
1.401708696605361e-08,0,1.401708696605361e-08,0,1.401708696605361e-08,5,1.401708696605361e-08,2.414565169731931,1.401708696605361e-08,0.9109275084678625
1.425854348302681e-08,0,1.425854348302681e-08,0,1.425854348302681e-08,5,1.425854348302681e-08,1.207282584865962,1.425854348302681e-08,0.8326754198386168
1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,0.7544166057458903
1.46207282584866e-08,0,1.46207282584866e-08,0,1.46207282584866e-08,5,1.46207282584866e-08,0,1.46207282584866e-08,0.7541482019454104
1.482049191341288e-08,0,1.482049191341288e-08,0,1.482049191341288e-08,5,1.482049191341288e-08,0,1.482049191341288e-08,0.7541442639974368
1.501573417067814e-08,0,1.501573417067814e-08,0,1.501573417067814e-08,5,1.501573417067814e-08,0,1.501573417067814e-08,0.7541465768293474
1.540621868520867e-08,0,1.540621868520867e-08,0,1.540621868520867e-08,5,1.540621868520867e-08,0,1.540621868520867e-08,0.7541410981537379
1.618718771426973e-08,0,1.618718771426973e-08,0,1.618718771426973e-08,5,1.618718771426973e-08,0,1.618718771426973e-08,0.754146351032031
1.746859385713486e-08,0,1.746859385713486e-08,0,1.746859385713486e-08,5,1.746859385713486e-08,0,1.746859385713486e-08,0.7541414085665025
1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,0.754146508136166
1.909441855068188e-08,0,1.909441855068188e-08,0,1.909441855068188e-08,5,1.909441855068188e-08,1.722092753409423,1.909441855068188e-08,0.8655734740913082
1.942220927534094e-08,0,1.942220927534094e-08,0,1.942220927534094e-08,5,1.942220927534094e-08,3.361046376704709,1.942220927534094e-08,0.9716608449462344
1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995,1.975e-08,1.077606174301028
1.997620191860819e-08,0,1.997620191860819e-08,0,1.997620191860819e-08,5,1.997620191860819e-08,5,1.997620191860819e-08,1.077869638744377
2.023737752795371e-08,0,2.023737752795371e-08,0,2.023737752795371e-08,5,2.023737752795371e-08,5,2.023737752795371e-08,1.077860920093228
2.049190130561257e-08,0,2.049190130561257e-08,0,2.049190130561257e-08,5,2.049190130561257e-08,5,2.049190130561257e-08,1.0778404340977
