v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.08585180184361246
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.08585179388095582
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.0858517992396086
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.0858517965942215
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.08585179757145887
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.08585179708919563
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.08585179732133164
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.08585179729849454
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.1032474715324392
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.1388436248849555
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.2114658642759424
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.2955830063745176
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.3824695547790429
7.390625e-09,0,7.390625e-09,0,7.390625e-09,0,7.390625e-09,5,7.390625e-09,0.382712033400013
7.612352577023618e-09,0,7.612352577023618e-09,0,7.612352577023618e-09,0,7.612352577023618e-09,5,7.612352577023618e-09,0.3827095739894032
7.828387050615008e-09,0,7.828387050615008e-09,0,7.828387050615008e-09,0,7.828387050615008e-09,5,7.828387050615008e-09,0.3827064830069426
8.260455997797788e-09,0,8.260455997797788e-09,0,8.260455997797788e-09,0,8.260455997797788e-09,5,8.260455997797788e-09,0.3827109090436625
9.124593892163347e-09,0,9.124593892163347e-09,0,9.124593892163347e-09,0,9.124593892163347e-09,5,9.124593892163347e-09,0.3827062670653133
1.085286968089447e-08,0,1.085286968089447e-08,0,1.085286968089447e-08,0,1.085286968089447e-08,5,1.085286968089447e-08,0.3827109434945468
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,0.3827062419788836
1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5,1.275e-08,0.5411874169067293
