v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.08880099294127354
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.08880098093100325
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.08880097469268486
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.08880097179775666
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.08880097356730256
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.08880097216524722
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.08880097337188399
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.08880097233466652
6.499999999999999e-09,0,6.499999999999999e-09,0,6.499999999999999e-09,0,6.499999999999999e-09,1.249999999999999,6.499999999999999e-09,0.1575065294556724
6.593749999999999e-09,0,6.593749999999999e-09,0,6.593749999999999e-09,0,6.593749999999999e-09,1.718749999999997,6.593749999999999e-09,0.1841242181009015
6.781249999999998e-09,0,6.781249999999998e-09,0,6.781249999999998e-09,0,6.781249999999998e-09,2.656249999999992,6.781249999999998e-09,0.2386295454083557
7.015624999999999e-09,0,7.015624999999999e-09,0,7.015624999999999e-09,0,7.015624999999999e-09,3.828124999999998,7.015624999999999e-09,0.3097750649605708
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.3838720258843319
7.326969604992889e-09,0,7.326969604992889e-09,0,7.326969604992889e-09,0,7.326969604992889e-09,5,7.326969604992889e-09,0.3841452220482629
7.480908814978668e-09,0,7.480908814978668e-09,0,7.480908814978668e-09,0,7.480908814978668e-09,5,7.480908814978668e-09,0.3841647806081147
7.655991893796329e-09,0,7.655991893796329e-09,0,7.655991893796329e-09,0,7.655991893796329e-09,5,7.655991893796329e-09,0.3841501052153553
