v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.08629436176374809
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.08629436098698789
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.08629435731639837
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.08629435644962695
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.0862943570593115
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.08629435653098257
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.08629435701575333
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.08629435656920649
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.1040805331268419
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.1405000775062352
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.2145055036704256
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.2995419587053238
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.3864914492704549
7.390625e-09,0,7.390625e-09,0,7.390625e-09,0,7.390625e-09,5,7.390625e-09,0.3868177460804387
7.612563073741664e-09,0,7.612563073741664e-09,0,7.612563073741664e-09,0,7.612563073741664e-09,5,7.612563073741664e-09,0.3868261024831204
7.828696799540056e-09,0,7.828696799540056e-09,0,7.828696799540056e-09,0,7.828696799540056e-09,5,7.828696799540056e-09,0.386819803425392
8.260964251136839e-09,0,8.260964251136839e-09,0,8.260964251136839e-09,0,8.260964251136839e-09,5,8.260964251136839e-09,0.3868234157665304
8.965431097508231e-09,0,8.965431097508231e-09,0,8.965431097508231e-09,0,8.965431097508231e-09,5,8.965431097508231e-09,0.3868207476187255
1.017703630610994e-08,0,1.017703630610994e-08,0,1.017703630610994e-08,0,1.017703630610994e-08,5,1.017703630610994e-08,0.3868232899699604
1.133851815305497e-08,0,1.133851815305497e-08,0,1.133851815305497e-08,0,1.133851815305497e-08,5,1.133851815305497e-08,0.3868214110314317
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,0.3868230107702086
1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5,1.275e-08,0.5446531875688068
1.315544379042382e-08,0,1.315544379042382e-08,0,1.315544379042382e-08,3.277218952119109,1.315544379042382e-08,5,1.315544379042382e-08,0.8051150455371929
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.026184418120478
1.362119608274353e-08,0,1.362119608274353e-08,0,1.362119608274353e-08,5,1.362119608274353e-08,4.394019586282322,1.362119608274353e-08,0.9881240753489037
1.379162658108811e-08,0,1.379162658108811e-08,0,1.379162658108811e-08,5,1.379162658108811e-08,3.541867094559436,1.379162658108811e-08,0.9334598073381795
1.394530286345747e-08,0,1.394530286345747e-08,0,1.394530286345747e-08,5,1.394530286345747e-08,2.773485682712626,1.394530286345747e-08,0.8841660552141186
1.42526554281962e-08,0,1.42526554281962e-08,0,1.42526554281962e-08,5,1.42526554281962e-08,1.236722859019007,1.42526554281962e-08,0.7855774530440794
1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0,1.45e-08,0.7061512201666401
1.469673752710721e-08,0,1.469673752710721e-08,0,1.469673752710721e-08,5,1.469673752710721e-08,0,1.469673752710721e-08,0.7058673484581404
1.49269039124085e-08,0,1.49269039124085e-08,0,1.49269039124085e-08,5,1.49269039124085e-08,0,1.49269039124085e-08,0.7058553830801593
1.514904756294262e-08,0,1.514904756294262e-08,0,1.514904756294262e-08,5,1.514904756294262e-08,0,1.514904756294262e-08,0.7058703446103655
1.559333486401087e-08,0,1.559333486401087e-08,0,1.559333486401087e-08,5,1.559333486401087e-08,0,1.559333486401087e-08,0.7058568006976208
1.648190946614737e-08,0,1.648190946614737e-08,0,1.648190946614737e-08,5,1.648190946614737e-08,0,1.648190946614737e-08,0.7058697450173581
1.761595473307369e-08,0,1.761595473307369e-08,0,1.761595473307369e-08,5,1.761595473307369e-08,0,1.761595473307369e-08,0.7058571741562357
1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0,1.875e-08,0.7058694404628291
1.908361970033354e-08,0,1.908361970033354e-08,0,1.908361970033354e-08,5,1.908361970033354e-08,1.668098501667701,1.908361970033354e-08,0.812700342124088
1.941680985016677e-08,0,1.941680985016677e-08,0,1.941680985016677e-08,5,1.941680985016677e-08,3.334049250833839,1.941680985016677e-08,0.9195791639970291
1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995,1.975e-08,1.026452107031487
1.997835531011056e-08,0,1.997835531011056e-08,0,1.997835531011056e-08,5,1.997835531011056e-08,5,1.997835531011056e-08,1.026693743578122
2.024217871919556e-08,0,2.024217871919556e-08,0,2.024217871919556e-08,5,2.024217871919556e-08,5,2.024217871919556e-08,1.02669830612302
2.049911522078628e-08,0,2.049911522078628e-08,0,2.049911522078628e-08,5,2.049911522078628e-08,5,2.049911522078628e-08,1.026686283754665
2.101298822396773e-08,0,2.101298822396773e-08,0,2.101298822396773e-08,5,2.101298822396773e-08,5,2.101298822396773e-08,1.026698417730743
2.204073423033064e-08,0,2.204073423033064e-08,0,2.204073423033064e-08,5,2.204073423033064e-08,5,2.204073423033064e-08,1.02668599169197
2.352036711516532e-08,0,2.352036711516532e-08,0,2.352036711516532e-08,5,2.352036711516532e-08,5,2.352036711516532e-08,1.026698631695386
2.5e-08,0,2.5e-08,0,2.5e-08,5,2.5e-08,5,2.5e-08,1.026685980544855
2.515025482543748e-08,0,2.515025482543748e-08,0.7512741271873894,2.515025482543748e-08,5,2.515025482543748e-08,5,2.515025482543748e-08,1.218327883259263
2.542458856915386e-08,0,2.542458856915386e-08,2.122942845769313,2.542458856915386e-08,5,2.542458856915386e-08,5,2.542458856915386e-08,1.57101056032201
2.573074745024789e-08,0,2.573074745024789e-08,3.653737251239471,2.573074745024789e-08,5,2.573074745024789e-08,5,2.573074745024789e-08,1.968166625175339
2.6e-08,0,2.6e-08,4.999999999999995,2.6e-08,5,2.6e-08,5,2.6e-08,2.321634955171328
2.605054281860346e-08,0,2.605054281860346e-08,5,2.605054281860346e-08,4.747285906982681,2.605054281860346e-08,4.747285906982677,2.605054281860346e-08,2.27314851467892
2.615162845581039e-08,0,2.615162845581039e-08,5,2.615162845581039e-08,4.241857720948026,2.615162845581039e-08,4.241857720948023,2.615162845581039e-08,2.173167624222629
2.624070609852803e-08,0,2.624070609852803e-08,5,2.624070609852803e-08,3.796469507359835,2.624070609852803e-08,3.796469507359831,2.624070609852803e-08,2.085487108939733
2.638272884875942e-08,0,2.638272884875942e-08,5,2.638272884875942e-08,3.08635575620288,2.638272884875942e-08,3.086355756202876,2.638272884875942e-08,1.946295854808118
2.65620950279732e-08,0,2.65620950279732e-08,5,2.65620950279732e-08,2.189524860133978,2.65620950279732e-08,2.189524860133974,2.65620950279732e-08,1.771354683425188
2.67810475139866e-08,0,2.67810475139866e-08,5,2.67810475139866e-08,1.094762430067004,2.67810475139866e-08,1.094762430067,2.67810475139866e-08,1.559218248700379
2.7e-08,0,2.7e-08,5,2.7e-08,1.332267629550188e-14,2.7e-08,8.881784197001252e-15,2.7e-08,1.348033282828205
2.710684354997367e-08,0,2.710684354997367e-08,5,2.710684354997367e-08,0,2.710684354997367e-08,0,2.710684354997367e-08,1.347307944229302
2.723622695010267e-08,0,2.723622695010267e-08,5,2.723622695010267e-08,0,2.723622695010267e-08,0,2.723622695010267e-08,1.347358694963157
2.735819941594825e-08,0,2.735819941594825e-08,5,2.735819941594825e-08,0,2.735819941594825e-08,0,2.735819941594825e-08,1.347344966352656
2.76021443476394e-08,0,2.76021443476394e-08,5,2.76021443476394e-08,0,2.76021443476394e-08,0,2.76021443476394e-08,1.347343622578017
2.794897041564907e-08,0,2.794897041564907e-08,5,2.794897041564907e-08,0,2.794897041564907e-08,0,2.794897041564907e-08,1.347349000670105
2.86426225516684e-08,0,2.86426225516684e-08,5,2.86426225516684e-08,0,2.86426225516684e-08,0,2.86426225516684e-08,1.347343769658777
3.002992682370706e-08,0,3.002992682370706e-08,5,3.002992682370706e-08,0,3.002992682370706e-08,0,3.002992682370706e-08,1.347348873196875
3.125e-08,0,3.125e-08,5,3.125e-08,0,3.125e-08,0,3.125e-08,1.347344059024018
3.159008525508698e-08,0,3.159008525508698e-08,5,3.159008525508698e-08,0,3.159008525508698e-08,1.70042627543491,3.159008525508698e-08,1.456349757020942
3.192004262754349e-08,0,3.192004262754349e-08,5,3.192004262754349e-08,0,3.192004262754349e-08,3.350213137717444,3.192004262754349e-08,1.562559867932033
3.225e-08,0,3.225e-08,5,3.225e-08,0,3.225e-08,5,3.225e-08,1.669037597926053
3.247699943271653e-08,0,3.247699943271653e-08,5,3.247699943271653e-08,0,3.247699943271653e-08,5,3.247699943271653e-08,1.669251571783082
3.273907532538906e-08,0,3.273907532538906e-08,5,3.273907532538906e-08,0,3.273907532538906e-08,5,3.273907532538906e-08,1.669232078218932
3.299446155441268e-08,0,3.299446155441268e-08,5,3.299446155441268e-08,0,3.299446155441268e-08,5,3.299446155441268e-08,1.669250272130666
3.350523401245992e-08,0,3.350523401245992e-08,5,3.350523401245992e-08,0,3.350523401245992e-08,5,3.350523401245992e-08,1.66923427998615
3.452677892855441e-08,0,3.452677892855441e-08,5,3.452677892855441e-08,0,3.452677892855441e-08,5,3.452677892855441e-08,1.669249176836403
3.601338946427721e-08,0,3.601338946427721e-08,5,3.601338946427721e-08,0,3.601338946427721e-08,5,3.601338946427721e-08,1.669235078682309
3.75e-08,0,3.75e-08,5,3.75e-08,0,3.75e-08,5,3.75e-08,1.669248985425005
3.775386960589832e-08,0,3.775386960589832e-08,5,3.775386960589832e-08,1.269348029491611,3.775386960589832e-08,5,3.775386960589832e-08,1.833252408728741
3.812693480294916e-08,0,3.812693480294916e-08,5,3.812693480294916e-08,3.134674014745828,3.812693480294916e-08,5,3.812693480294916e-08,2.076774991986051
3.85e-08,0,3.85e-08,5,3.85e-08,5,3.85e-08,5,3.85e-08,2.321981424482962
3.862269498576832e-08,0,3.862269498576832e-08,5,3.862269498576832e-08,5,3.862269498576832e-08,4.386525071158369,3.862269498576832e-08,2.282172678283862
3.879594861076182e-08,0,3.879594861076182e-08,5,3.879594861076182e-08,5,3.879594861076182e-08,3.520256946190871,3.879594861076182e-08,2.225055273816582
3.895498382313044e-08,0,3.895498382313044e-08,5,3.895498382313044e-08,5,3.895498382313044e-08,2.725080884347774,3.895498382313044e-08,2.172800753193695
