v /net06; tran (V) X,v /net06; tran (V) Y,v /net09; tran (V) X,v /net09; tran (V) Y,v /net08; tran (V) X,v /net08; tran (V) Y,v /net07; tran (V) X,v /net07; tran (V) Y,v /vout; tran (V) X,v /vout; tran (V) Y
0,0,0,0,0,0,0,0,0,0.08719710717313764
1e-10,0,1e-10,0,1e-10,0,1e-10,0,1e-10,0.08719710896294595
3e-10,0,3e-10,0,3e-10,0,3e-10,0,3e-10,0.0871971068792998
7e-10,0,7e-10,0,7e-10,0,7e-10,0,7e-10,0.08719710645734269
1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0.08719710676434607
3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0.08719710649643211
4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0.08719710674287699
6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0.08719710651551373
6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987,6.312499999999999e-09,0.1043753652826103
6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959,6.437499999999999e-09,0.1395737563388982
6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991,6.687499999999998e-09,0.2117246813038785
6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997,6.968749999999999e-09,0.2960013264895689
7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999,7.25e-09,0.3839626729496907
7.35263443001789e-09,0,7.35263443001789e-09,0,7.35263443001789e-09,0,7.35263443001789e-09,5,7.35263443001789e-09,0.3842318627831696
7.557903290053672e-09,0,7.557903290053672e-09,0,7.557903290053672e-09,0,7.557903290053672e-09,5,7.557903290053672e-09,0.3842492283459741
7.761057111978994e-09,0,7.761057111978994e-09,0,7.761057111978994e-09,0,7.761057111978994e-09,5,7.761057111978994e-09,0.3842353408304572
8.125700993824468e-09,0,8.125700993824468e-09,0,8.125700993824468e-09,0,8.125700993824468e-09,5,8.125700993824468e-09,0.3842459088079276
8.630818256811355e-09,0,8.630818256811355e-09,0,8.630818256811355e-09,0,8.630818256811355e-09,5,8.630818256811355e-09,0.3842372014691199
9.43098919219788e-09,0,9.43098919219788e-09,0,9.43098919219788e-09,0,9.43098919219788e-09,5,9.43098919219788e-09,0.3842456115792288
1.081196475367959e-08,0,1.081196475367959e-08,0,1.081196475367959e-08,0,1.081196475367959e-08,5,1.081196475367959e-08,0.3842375512105857
1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5,1.25e-08,0.3842456502665135
1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5,1.275e-08,0.5445596304284919
1.3125e-08,0,1.3125e-08,0,1.3125e-08,3.124999999999995,1.3125e-08,5,1.3125e-08,0.7867187838631439
1.33125e-08,0,1.33125e-08,0,1.33125e-08,4.06249999999999,1.33125e-08,5,1.33125e-08,0.9073449754006044
1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5,1.35e-08,1.027878624511557
1.358955408927788e-08,0,1.358955408927788e-08,0,1.358955408927788e-08,5,1.358955408927788e-08,4.552229553610583,1.358955408927788e-08,0.9997796928726718
1.370576694589081e-08,0,1.370576694589081e-08,0,1.370576694589081e-08,5,1.370576694589081e-08,3.971165270545931,1.370576694589081e-08,0.962370053798939
1.381585345751953e-08,0,1.381585345751953e-08,0,1.381585345751953e-08,5,1.381585345751953e-08,3.420732712402339,1.381585345751953e-08,0.9270089966408736
1.403602648077697e-08,0,1.403602648077697e-08,0,1.403602648077697e-08,5,1.403602648077697e-08,2.319867596115153,1.403602648077697e-08,0.8561795590827522
