/vout X,/vout Y,/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y
0,1.885166977515121,0,0,0,0,0,0,0,0
1e-10,1.885172817408378,1e-10,0,1e-10,0,1e-10,0,1e-10,0
3e-10,1.885172819616219,3e-10,0,3e-10,0,3e-10,0,3e-10,0
7e-10,1.885172774637274,7e-10,0,7e-10,0,7e-10,0,7e-10,0
1.5e-09,1.885172871035953,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0
3.1e-09,1.885172774644972,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0
4.675e-09,1.885172871033799,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0
6.25e-09,1.885172774668874,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0
6.677781163689812e-09,1.914603575047283,6.677781163689812e-09,0,6.677781163689812e-09,0,6.677781163689812e-09,0,6.677781163689812e-09,2.138905818449061
7.25e-09,1.9541224605353,7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999
7.54297114417465e-09,1.954114838789899,7.54297114417465e-09,0,7.54297114417465e-09,0,7.54297114417465e-09,0,7.54297114417465e-09,5
7.924690201778215e-09,1.95413423433437,7.924690201778215e-09,0,7.924690201778215e-09,0,7.924690201778215e-09,0,7.924690201778215e-09,5
8.301862299967726e-09,1.954142375757638,8.301862299967726e-09,0,8.301862299967726e-09,0,8.301862299967726e-09,0,8.301862299967726e-09,5
9.056206496346748e-09,1.954134314253161,9.056206496346748e-09,0,9.056206496346748e-09,0,9.056206496346748e-09,0,9.056206496346748e-09,5
1.056489488910479e-08,1.954142050219537,1.056489488910479e-08,0,1.056489488910479e-08,0,1.056489488910479e-08,0,1.056489488910479e-08,5
1.25e-08,1.954134547646742,1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5
1.282269761348213e-08,1.998940092026216,1.282269761348213e-08,0,1.282269761348213e-08,0,1.282269761348213e-08,1.61348806741063,1.282269761348213e-08,5
1.316134880674106e-08,2.046351271367555,1.316134880674106e-08,0,1.316134880674106e-08,0,1.316134880674106e-08,3.306744033705312,1.316134880674106e-08,5
1.35e-08,2.094163081917104,1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5
1.364078226810493e-08,2.084215595843986,1.364078226810493e-08,0,1.364078226810493e-08,0,1.364078226810493e-08,5,1.364078226810493e-08,4.296088659475325
1.382727956274583e-08,2.070993461389819,1.382727956274583e-08,0,1.382727956274583e-08,0,1.382727956274583e-08,5,1.382727956274583e-08,3.363602186270854
1.400145993600233e-08,2.058740050941509,1.400145993600233e-08,0,1.400145993600233e-08,0,1.400145993600233e-08,5,1.400145993600233e-08,2.492700319988347
1.425072996800116e-08,2.041180534324699,1.425072996800116e-08,0,1.425072996800116e-08,0,1.425072996800116e-08,5,1.425072996800116e-08,1.246350159994174
1.45e-08,2.023741920502534,1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0
1.473037866367856e-08,2.02370076706686,1.473037866367856e-08,0,1.473037866367856e-08,0,1.473037866367856e-08,5,1.473037866367856e-08,0
1.498943901731682e-08,2.023720545893883,1.498943901731682e-08,0,1.498943901731682e-08,0,1.498943901731682e-08,5,1.498943901731682e-08,0
1.524963241775522e-08,2.023725014538471,1.524963241775522e-08,0,1.524963241775522e-08,0,1.524963241775522e-08,5,1.524963241775522e-08,0
1.577001921863203e-08,2.02372058934174,1.577001921863203e-08,0,1.577001921863203e-08,0,1.577001921863203e-08,5,1.577001921863203e-08,0
1.681079282038565e-08,2.023724971595242,1.681079282038565e-08,0,1.681079282038565e-08,0,1.681079282038565e-08,5,1.681079282038565e-08,0
1.875e-08,2.023720596502541,1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0
1.920654367098874e-08,2.055748972560056,1.920654367098874e-08,0,1.920654367098874e-08,0,1.920654367098874e-08,5,1.920654367098874e-08,2.282718354943691
1.975e-08,2.094179292741384,1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995
2.004748949372316e-08,2.094190712031585,2.004748949372316e-08,0,2.004748949372316e-08,0,2.004748949372316e-08,5,2.004748949372316e-08,5
2.042571928897741e-08,2.094179677213354,2.042571928897741e-08,0,2.042571928897741e-08,0,2.042571928897741e-08,5,2.042571928897741e-08,5
2.07962949952902e-08,2.094193863640392,2.07962949952902e-08,0,2.07962949952902e-08,0,2.07962949952902e-08,5,2.07962949952902e-08,5
2.153744640791578e-08,2.094179469256645,2.153744640791578e-08,0,2.153744640791578e-08,0,2.153744640791578e-08,5,2.153744640791578e-08,5
2.301974923316694e-08,2.094193121776232,2.301974923316694e-08,0,2.301974923316694e-08,0,2.301974923316694e-08,5,2.301974923316694e-08,5
2.5e-08,2.094180184595089,2.5e-08,0,2.5e-08,0,2.5e-08,5,2.5e-08,5
2.525e-08,2.165986828562508,2.525e-08,0,2.525e-08,1.249999999999995,2.525e-08,5,2.525e-08,5
2.567619526879693e-08,2.295315666973314,2.567619526879693e-08,0,2.567619526879693e-08,3.38097634398467,2.567619526879693e-08,5,2.567619526879693e-08,5
2.57571464515977e-08,2.322154080166436,2.57571464515977e-08,0,2.57571464515977e-08,3.785732257988493,2.57571464515977e-08,5,2.57571464515977e-08,5
2.587857322579885e-08,2.366311708652437,2.587857322579885e-08,0,2.587857322579885e-08,4.392866128994252,2.587857322579885e-08,5,2.587857322579885e-08,5
2.6e-08,2.422899200267198,2.6e-08,0,2.6e-08,4.999999999999995,2.6e-08,5,2.6e-08,5
2.601424053781795e-08,2.41703762041249,2.601424053781795e-08,0,2.601424053781795e-08,5,2.601424053781795e-08,4.928797310910252,2.601424053781795e-08,4.928797310910247
2.604272161345385e-08,2.405692721934604,2.604272161345385e-08,0,2.604272161345385e-08,5,2.604272161345385e-08,4.786391932730737,2.604272161345385e-08,4.786391932730734
2.609545938639758e-08,2.387031047244343,2.609545938639758e-08,0,2.609545938639758e-08,5,2.609545938639758e-08,4.522703068012092,2.609545938639758e-08,4.522703068012087
2.615875567594953e-08,2.367257029901935,2.615875567594953e-08,0,2.615875567594953e-08,5,2.615875567594953e-08,4.206221620252342,2.615875567594953e-08,4.206221620252338
2.625285355125634e-08,2.340841015090314,2.625285355125634e-08,0,2.625285355125634e-08,5,2.625285355125634e-08,3.735732243718294,2.625285355125634e-08,3.73573224371829
2.638501698410305e-08,2.306840008611833,2.638501698410305e-08,0,2.638501698410305e-08,5,2.638501698410305e-08,3.074915079484743,2.638501698410305e-08,3.07491507948474
2.663851347115737e-08,2.246663897884017,2.663851347115737e-08,0,2.663851347115737e-08,5,2.663851347115737e-08,1.807432644213148,2.663851347115737e-08,1.807432644213144
2.7e-08,2.166026178819952,2.7e-08,0,2.7e-08,5,2.7e-08,1.332267629550188e-14,2.7e-08,8.881784197001252e-15
2.715286138081105e-08,2.165997436275742,2.715286138081105e-08,0,2.715286138081105e-08,5,2.715286138081105e-08,0,2.715286138081105e-08,0
2.733983895965007e-08,2.166054210046032,2.733983895965007e-08,0,2.733983895965007e-08,5,2.733983895965007e-08,0,2.733983895965007e-08,0
2.752094253727295e-08,2.165959249169967,2.752094253727295e-08,0,2.752094253727295e-08,5,2.752094253727295e-08,0,2.752094253727295e-08,0
2.78831496925187e-08,2.166043185935084,2.78831496925187e-08,0,2.78831496925187e-08,5,2.78831496925187e-08,0,2.78831496925187e-08,0
2.847161953639039e-08,2.165948706315129,2.847161953639039e-08,0,2.847161953639039e-08,5,2.847161953639039e-08,0,2.847161953639039e-08,0
2.950126133978448e-08,2.166044477312246,2.950126133978448e-08,0,2.950126133978448e-08,5,2.950126133978448e-08,0,2.950126133978448e-08,0
3.125e-08,2.16594667795905,3.125e-08,0,3.125e-08,5,3.125e-08,0,3.125e-08,0
3.169027821961043e-08,2.198244583260294,3.169027821961043e-08,0,3.169027821961043e-08,5,3.169027821961043e-08,0,3.169027821961043e-08,2.20139109805218
3.225e-08,2.240227322583956,3.225e-08,0,3.225e-08,5,3.225e-08,0,3.225e-08,5
3.254417970553344e-08,2.240236996066471,3.254417970553344e-08,0,3.254417970553344e-08,5,3.254417970553344e-08,0,3.254417970553344e-08,5
3.292307178973042e-08,2.240171106561373,3.292307178973042e-08,0,3.292307178973042e-08,5,3.292307178973042e-08,0,3.292307178973042e-08,5
3.329618733560021e-08,2.240253506946547,3.329618733560021e-08,0,3.329618733560021e-08,5,3.329618733560021e-08,0,3.329618733560021e-08,5
3.404241842733978e-08,2.240161658540207,3.404241842733978e-08,0,3.404241842733978e-08,5,3.404241842733978e-08,0,3.404241842733978e-08,5
3.553488061081893e-08,2.240225806053299,3.553488061081893e-08,0,3.553488061081893e-08,5,3.553488061081893e-08,0,3.553488061081893e-08,5
3.75e-08,2.24019133195642,3.75e-08,0,3.75e-08,5,3.75e-08,0,3.75e-08,5
3.775e-08,2.278904265537492,3.775e-08,0,3.775e-08,5,3.775e-08,1.249999999999995,3.775e-08,5
3.8125e-08,2.341595141146485,3.8125e-08,0,3.8125e-08,5,3.8125e-08,3.125000000000003,3.8125e-08,5
3.85e-08,2.422868199213259,3.85e-08,0,3.85e-08,5,3.85e-08,5,3.85e-08,5
3.853697725637812e-08,2.417773661294857,3.853697725637812e-08,0,3.853697725637812e-08,5,3.853697725637812e-08,5,3.853697725637812e-08,4.8151137181094
3.861093176913435e-08,2.407824614978708,3.861093176913435e-08,0,3.861093176913435e-08,5,3.861093176913435e-08,5,3.861093176913435e-08,4.445341154328225
3.875664803806151e-08,2.390317287690071,3.875664803806151e-08,0,3.875664803806151e-08,5,3.875664803806151e-08,5,3.875664803806151e-08,3.716759809692427
3.893702680139169e-08,2.371152034307932,3.893702680139169e-08,0,3.893702680139169e-08,5,3.893702680139169e-08,5,3.893702680139169e-08,2.81486599304154
3.922347241843483e-08,2.343984446273598,3.922347241843483e-08,0,3.922347241843483e-08,5,3.922347241843483e-08,5,3.922347241843483e-08,1.382637907825841
3.95e-08,2.319772199065135,3.95e-08,0,3.95e-08,5,3.95e-08,5,3.95e-08,0
3.97396110827362e-08,2.319760357740114,3.97396110827362e-08,0,3.97396110827362e-08,5,3.97396110827362e-08,5,3.97396110827362e-08,0
4.001221996726707e-08,2.319805900828562,4.001221996726707e-08,0,4.001221996726707e-08,5,4.001221996726707e-08,5,4.001221996726707e-08,0
4.028244407314974e-08,2.319760211123046,4.028244407314974e-08,0,4.028244407314974e-08,5,4.028244407314974e-08,5,4.028244407314974e-08,0
4.082289228491507e-08,2.319802626152569,4.082289228491507e-08,0,4.082289228491507e-08,5,4.082289228491507e-08,5,4.082289228491507e-08,0
4.190378870844573e-08,2.319754312116914,4.190378870844573e-08,0,4.190378870844573e-08,5,4.190378870844573e-08,5,4.190378870844573e-08,0
4.375e-08,2.319805575240643,4.375e-08,0,4.375e-08,5,4.375e-08,5,4.375e-08,0
4.4e-08,2.341524430175397,4.4e-08,0,4.4e-08,5,4.4e-08,5,4.4e-08,1.249999999999995
4.4375e-08,2.377516956784138,4.4375e-08,0,4.4375e-08,5,4.4375e-08,5,4.4375e-08,3.125000000000003
4.475e-08,2.423048933369121,4.475e-08,0,4.475e-08,5,4.475e-08,5,4.475e-08,5
4.49375e-08,2.423120531273601,4.49375e-08,0,4.49375e-08,5,4.49375e-08,5,4.49375e-08,5
4.500940771041436e-08,2.423118997801096,4.500940771041436e-08,0,4.500940771041436e-08,5,4.500940771041436e-08,5,4.500940771041436e-08,5
4.515322313124309e-08,2.423123078648136,4.515322313124309e-08,0,4.515322313124309e-08,5,4.515322313124309e-08,5,4.515322313124309e-08,5
4.544085397290055e-08,2.42311905915145,4.544085397290055e-08,0,4.544085397290055e-08,5,4.544085397290055e-08,5,4.544085397290055e-08,5
4.601611565621546e-08,2.423122996482872,4.601611565621546e-08,0,4.601611565621546e-08,5,4.601611565621546e-08,5,4.601611565621546e-08,5
4.716663902284527e-08,2.423119083123556,4.716663902284527e-08,0,4.716663902284527e-08,5,4.716663902284527e-08,5,4.716663902284527e-08,5
4.858331951142264e-08,2.423123025430668,4.858331951142264e-08,0,4.858331951142264e-08,5,4.858331951142264e-08,5,4.858331951142264e-08,5
5e-08,2.423119104494691,5e-08,0,5e-08,5,5e-08,5,5e-08,5
5.00625e-08,2.541737854205932,5.00625e-08,0.3124999999999904,5.00625e-08,5,5.00625e-08,5,5.00625e-08,5
5.018749999999999e-08,2.871629442919462,5.018749999999999e-08,0.9374999999999711,5.018749999999999e-08,5,5.018749999999999e-08,5,5.018749999999999e-08,5
5.027369034988977e-08,3.101901617910224,5.027369034988977e-08,1.368451749448846,5.027369034988977e-08,5,5.027369034988977e-08,5,5.027369034988977e-08,5
5.036220686264661e-08,3.335842685120882,5.036220686264661e-08,1.811034313233081,5.036220686264661e-08,5,5.036220686264661e-08,5,5.036220686264661e-08,5
5.052864237992646e-08,3.778274726981541,5.052864237992646e-08,2.643211899632301,5.052864237992646e-08,5,5.052864237992646e-08,5,5.052864237992646e-08,5
5.073582973479251e-08,4.324227596464306,5.073582973479251e-08,3.679148673962573,5.073582973479251e-08,5,5.073582973479251e-08,5,5.073582973479251e-08,5
5.080187230109438e-08,4.497108474320309,5.080187230109438e-08,4.009361505471933,5.080187230109438e-08,5,5.080187230109438e-08,5,5.080187230109438e-08,5
5.090093615054719e-08,4.749090880199162,5.090093615054719e-08,4.504680752735956,5.090093615054719e-08,5,5.090093615054719e-08,5,5.090093615054719e-08,5
5.099999999999999e-08,4.997926220746998,5.099999999999999e-08,4.999999999999979,5.099999999999999e-08,5,5.099999999999999e-08,5,5.099999999999999e-08,5
5.102289165676458e-08,4.95164868253129,5.102289165676458e-08,5,5.102289165676458e-08,4.885541716177086,5.102289165676458e-08,4.885541716177094,5.102289165676458e-08,4.88554171617709
