/vout X,/vout Y,/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y
0,7.256582989107595e-05,0,0,0,0,0,0,0,0
1e-10,7.256571731377378e-05,1e-10,0,1e-10,0,1e-10,0,1e-10,0
3e-10,7.256570766143173e-05,3e-10,0,3e-10,0,3e-10,0,3e-10,0
7e-10,7.256570767705694e-05,7e-10,0,7e-10,0,7e-10,0,7e-10,0
1.5e-09,7.256570769507398e-05,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0
3.1e-09,7.256570764816781e-05,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0
4.675e-09,7.256570771239374e-05,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0
6.25e-09,7.256570763101556e-05,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0
6.312499999999999e-09,0.0172522470117664,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0,6.312499999999999e-09,0.3124999999999987
6.437499999999999e-09,0.0523575188018645,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0,6.437499999999999e-09,0.9374999999999959
6.687499999999998e-09,0.1239529725016023,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,0,6.687499999999998e-09,2.187499999999991
6.968749999999999e-09,0.2069320785848646,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,0,6.968749999999999e-09,3.593749999999997
7.25e-09,0.2929195395272457,7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999
7.380617544305138e-09,0.2931927614617175,7.380617544305138e-09,0,7.380617544305138e-09,0,7.380617544305138e-09,0,7.380617544305138e-09,5
7.599774299741122e-09,0.2932148740006023,7.599774299741122e-09,0,7.599774299741122e-09,0,7.599774299741122e-09,0,7.599774299741122e-09,5
7.812981823688874e-09,0.2931998318420174,7.812981823688874e-09,0,7.812981823688874e-09,0,7.812981823688874e-09,0,7.812981823688874e-09,5
8.239396871584378e-09,0.2932107282929288,8.239396871584378e-09,0,8.239396871584378e-09,0,8.239396871584378e-09,0,8.239396871584378e-09,5
8.840833213905357e-09,0.2932016893376854,8.840833213905357e-09,0,8.840833213905357e-09,0,8.840833213905357e-09,0,8.840833213905357e-09,5
9.832941572408101e-09,0.2932101633175984,9.832941572408101e-09,0,9.832941572408101e-09,0,9.832941572408101e-09,0,9.832941572408101e-09,5
1.116647078620405e-08,0.293202253271749,1.116647078620405e-08,0,1.116647078620405e-08,0,1.116647078620405e-08,0,1.116647078620405e-08,5
1.25e-08,0.2932098731041463,1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5
1.275e-08,0.4529154500559914,1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5
1.31887093152499e-08,0.742505984911821,1.31887093152499e-08,0,1.31887093152499e-08,0,1.31887093152499e-08,3.443546576249486,1.31887093152499e-08,5
1.35e-08,0.9484136971912412,1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5
