/vout X,/vout Y,/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y
0,0.7123127429373833,0,0,0,0,0,0,0,0
1e-10,0.7123127429371522,1e-10,0,1e-10,0,1e-10,0,1e-10,0
3e-10,0.7123127429372295,3e-10,0,3e-10,0,3e-10,0,3e-10,0
7e-10,0.7123127429373387,7e-10,0,7e-10,0,7e-10,0,7e-10,0
1.5e-09,0.7123127429371907,1.5e-09,0,1.5e-09,0,1.5e-09,0,1.5e-09,0
3.1e-09,0.7123127429373387,3.1e-09,0,3.1e-09,0,3.1e-09,0,3.1e-09,0
4.675e-09,0.7123127429371945,4.675e-09,0,4.675e-09,0,4.675e-09,0,4.675e-09,0
6.25e-09,0.7123127429373324,6.25e-09,0,6.25e-09,0,6.25e-09,0,6.25e-09,0
6.499999999999999e-09,0.731007724997996,6.499999999999999e-09,0,6.499999999999999e-09,0,6.499999999999999e-09,0,6.499999999999999e-09,1.249999999999999
6.875e-09,0.7595778472496774,6.875e-09,0,6.875e-09,0,6.875e-09,0,6.875e-09,3.124999999999999
7.25e-09,0.7889996072836186,7.25e-09,0,7.25e-09,0,7.25e-09,0,7.25e-09,4.999999999999999
7.50743026207484e-09,0.7890021206021895,7.50743026207484e-09,0,7.50743026207484e-09,0,7.50743026207484e-09,0,7.50743026207484e-09,5
7.822193631367798e-09,0.7890082045740652,7.822193631367798e-09,0,7.822193631367798e-09,0,7.822193631367798e-09,0,7.822193631367798e-09,5
8.13084645084677e-09,0.7890082502381716,8.13084645084677e-09,0,8.13084645084677e-09,0,8.13084645084677e-09,0,8.13084645084677e-09,5
8.748152089804713e-09,0.7890083309237335,8.748152089804713e-09,0,8.748152089804713e-09,0,8.748152089804713e-09,0,8.748152089804713e-09,5
9.9827633677206e-09,0.7890082143153063,9.9827633677206e-09,0,9.9827633677206e-09,0,9.9827633677206e-09,0,9.9827633677206e-09,5
1.12413816838603e-08,0.7890083561179488,1.12413816838603e-08,0,1.12413816838603e-08,0,1.12413816838603e-08,0,1.12413816838603e-08,5
1.25e-08,0.7890081911291187,1.25e-08,0,1.25e-08,0,1.25e-08,0,1.25e-08,5
1.275e-08,0.8304217638031184,1.275e-08,0,1.275e-08,0,1.275e-08,1.249999999999995,1.275e-08,5
1.3125e-08,0.9052692074478345,1.3125e-08,0,1.3125e-08,0,1.3125e-08,3.124999999999995,1.3125e-08,5
1.321875e-08,0.9315881041048869,1.321875e-08,0,1.321875e-08,0,1.321875e-08,3.593749999999997,1.321875e-08,5
1.3359375e-08,0.9914618226490249,1.3359375e-08,0,1.3359375e-08,0,1.3359375e-08,4.296874999999992,1.3359375e-08,5
1.35e-08,1.077317161711346,1.35e-08,0,1.35e-08,0,1.35e-08,4.999999999999995,1.35e-08,5
1.35703125e-08,1.055786493605646,1.35703125e-08,0,1.35703125e-08,0,1.35703125e-08,5,1.35703125e-08,4.648437500000003
1.3664112334716e-08,1.026406655327646,1.3664112334716e-08,0,1.3664112334716e-08,0,1.3664112334716e-08,5,1.3664112334716e-08,4.179438326419991
1.375687163559224e-08,0.9988110384562813,1.375687163559224e-08,0,1.375687163559224e-08,0,1.375687163559224e-08,5,1.375687163559224e-08,3.7156418220388
1.394239023734472e-08,0.9534469538604075,1.394239023734472e-08,0,1.394239023734472e-08,0,1.394239023734472e-08,5,1.394239023734472e-08,2.788048813276421
1.421093093855417e-08,0.9103204651336596,1.421093093855417e-08,0,1.421093093855417e-08,0,1.421093093855417e-08,5,1.421093093855417e-08,1.445345307229136
1.428319820391563e-08,0.9012756702337174,1.428319820391563e-08,0,1.428319820391563e-08,0,1.428319820391563e-08,5,1.428319820391563e-08,1.084008980421856
1.439159910195781e-08,0.8886979548770932,1.439159910195781e-08,0,1.439159910195781e-08,0,1.439159910195781e-08,5,1.439159910195781e-08,0.5420044902109247
1.45e-08,0.8771874466371125,1.45e-08,0,1.45e-08,0,1.45e-08,5,1.45e-08,0
1.464812870180659e-08,0.8771113251130327,1.464812870180659e-08,0,1.464812870180659e-08,0,1.464812870180659e-08,5,1.464812870180659e-08,0
1.481316458003082e-08,0.877173211007451,1.481316458003082e-08,0,1.481316458003082e-08,0,1.481316458003082e-08,5,1.481316458003082e-08,0
1.498547286202257e-08,0.877111594674132,1.498547286202257e-08,0,1.498547286202257e-08,0,1.498547286202257e-08,5,1.498547286202257e-08,0
1.533008942600607e-08,0.8771677838873417,1.533008942600607e-08,0,1.533008942600607e-08,0,1.533008942600607e-08,5,1.533008942600607e-08,0
1.601932255397308e-08,0.8771023786266338,1.601932255397308e-08,0,1.601932255397308e-08,0,1.601932255397308e-08,5,1.601932255397308e-08,0
1.739778880990708e-08,0.8771663752531568,1.739778880990708e-08,0,1.739778880990708e-08,0,1.739778880990708e-08,5,1.739778880990708e-08,0
1.875e-08,0.8771170124584433,1.875e-08,0,1.875e-08,0,1.875e-08,5,1.875e-08,0
1.9e-08,0.9052906085734828,1.9e-08,0,1.9e-08,0,1.9e-08,5,1.9e-08,1.249999999999995
1.9375e-08,0.967867475561956,1.9375e-08,0,1.9375e-08,0,1.9375e-08,5,1.9375e-08,3.125000000000003
1.975e-08,1.0776315403938,1.975e-08,0,1.975e-08,0,1.975e-08,5,1.975e-08,4.999999999999995
1.996572699102096e-08,1.077962862150875,1.996572699102096e-08,0,1.996572699102096e-08,0,1.996572699102096e-08,5,1.996572699102096e-08,5
2.02218640588754e-08,1.077962613326608,2.02218640588754e-08,0,2.02218640588754e-08,0,2.02218640588754e-08,5,2.02218640588754e-08,5
2.048821006265505e-08,1.077961100366752,2.048821006265505e-08,0,2.048821006265505e-08,0,2.048821006265505e-08,5,2.048821006265505e-08,5
2.102090207021435e-08,1.077963132943679,2.102090207021435e-08,0,2.102090207021435e-08,0,2.102090207021435e-08,5,2.102090207021435e-08,5
2.208628608533296e-08,1.077960988019967,2.208628608533296e-08,0,2.208628608533296e-08,0,2.208628608533296e-08,5,2.208628608533296e-08,5
