Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
1,3333333.3333333335,22222222222222.223,6666666.666666667,0.0013915106321253498,2.1494106746312616e-06,0.0020733599179261
2,16666666.666666664,22222222222222.242,6666666.66666667,0.00210143435632775,8.9483964385376e-08,-0.00042304601259289987
3,30000000.000000007,22222222222222.23,6666666.666666668,0.00124618589241885,7.641829760283884e-08,-0.00039094321225169987
4,43333333.33333333,22222222222222.156,6666666.666666657,0.0006178478194729001,2.878364237067777e-08,-0.0002399318335306
5,56666666.66666666,22222222222222.203,6666666.666666664,0.00025077824694949997,8.968688333100521e-09,-0.000133930491921
6,70000000.0,22222222222222.258,6666666.666666672,4.8024070714274876e-05,2.6838718942731936e-09,-7.326488782866174e-05
7,83333333.33333334,22222222222222.258,6666666.666666672,-6.251091298283313e-05,7.893636289250841e-10,-3.973320095147342e-05
8,96666666.66666667,22222222222222.156,6666666.666666657,-0.00012196425438380001,2.217075337051312e-10,-2.10574230952e-05
9,110000000.00000006,22222222222222.453,6666666.666666701,-0.00015277344586299999,5.5000374027880116e-11,-1.0488124143799988e-05
10,123333333.33333334,22222222222222.453,6666666.666666701,-0.00016727084408425,9.784247266017716e-12,-4.42362911330001e-06
11,136666666.6666667,22222222222221.758,6666666.666666597,-0.0001723737796409,4.2083087956289106e-13,-9.174212550000038e-07
12,150000000.0,22222222222221.957,6666666.666666627,-0.000172045003686,6.126052115013081e-13,1.1068922364000102e-06
13,163333333.33333334,22222222222222.355,6666666.666666687,-0.0001685967167705,2.5509732148589158e-12,2.258748863800009e-06
14,176666666.66666666,22222222222222.355,6666666.666666687,-0.0001633977935028,4.1779715756525824e-12,2.890664828600017e-06
15,189999999.99999994,22222222222222.555,6666666.666666716,-0.00015726698440920002,5.1531388657718e-12,3.210339192599997e-06
16,203333333.33333325,22222222222222.355,6666666.666666687,-0.00015069668150285,5.584601155969427e-12,3.342035653900008e-06
17,216666666.66666663,22222222222221.758,6666666.666666597,-0.0001439829402343,5.64819864069238e-12,3.361011347999997e-06
18,229999999.99999988,22222222222221.758,6666666.666666597,-0.00013730241630835,5.488831726098503e-12,3.313255717899994e-06
19,243333333.3333332,22222222222221.758,6666666.666666597,-0.000130758604246,5.2068658199026804e-12,3.2270313973999944e-06
20,256666666.66666657,22222222222222.555,6666666.666666716,-0.0001244099891077,4.866388922400588e-12,3.119740028399991e-06
21,269999999.9999999,22222222222222.355,6666666.666666687,-0.00011828736525195,4.506209876788059e-12,3.002069245300001e-06
22,283333333.33333325,22222222222222.754,6666666.666666746,-0.0001124045736018,4.1487275198302484e-12,2.8805303399999968e-06
23,296666666.6666666,22222222222221.562,6666666.666666567,-0.0001067651916118,3.8061182131496556e-12,2.7590281669999877e-06
24,310000000.0,22222222222222.355,6666666.666666687,-0.00010136670939505,3.484379941403236e-12,2.6398408820999935e-06
25,323333333.3333334,22222222222222.355,6666666.666666687,-9.620313230758617e-05,3.1858820315797938e-12,2.524235342268939e-06
26,336666666.66666675,22222222222222.754,6666666.666666746,-9.126659323280449e-05,2.910935134360649e-12,2.4128552108904707e-06
27,350000000.0,22222222222222.355,6666666.666666687,-8.654833986960727e-05,2.6587396520542754e-12,2.305966024057716e-06
28,363333333.3333335,22222222222222.355,6666666.666666687,-8.203932762717678e-05,2.4279477041480012e-12,2.2036096315581857e-06
29,376666666.66666687,22222222222222.355,6666666.666666687,-7.773056455916418e-05,2.216988241852328e-12,2.105700948307868e-06
30,390000000.00000024,22222222222222.355,6666666.666666687,-7.36133016634882e-05,2.0242488464582615e-12,2.01208789393419e-06
31,403333333.33333355,22222222222222.754,6666666.666666746,-6.967912810167118e-05,1.8481720232425354e-12,1.9225878514349015e-06
32,416666666.666667,22222222222222.355,6666666.666666687,-6.592000927366166e-05,1.6873014015892667e-12,1.8370092006243555e-06
33,430000000.00000036,22222222222222.355,6666666.666666687,-6.232829178576289e-05,1.540299348139504e-12,1.755163438623027e-06
34,443333333.33333373,22222222222221.562,6666666.666666567,-5.889669038720193e-05,1.4059489176619916e-12,1.6768714426943954e-06
35,456666666.66666704,22222222222222.754,6666666.666666746,-5.561826617635752e-05,1.2831477970858617e-12,1.6019661651145206e-06
36,470000000.0000005,22222222222222.355,6666666.666666687,-5.248640166133597e-05,1.170898682253356e-12,1.5302932282757812e-06
37,483333333.33333385,22222222222222.754,6666666.666666746,-4.9494775888311395e-05,1.0682985784310072e-12,1.461710353271815e-06
38,496666666.6666671,22222222222222.355,6666666.666666687,-4.663734135198037e-05,9.74528347199403e-13,1.3960862059338622e-06
39,510000000.0000006,22222222222222.355,6666666.666666687,-4.3908303472793655e-05,8.888431351789172e-13,1.3332990176092663e-06
