Signal,Mean_X,Variance_X,Slope_X,Mean_Y,Variance_Y,Slope_Y
1,3.5043884058540644e-05,1.060979416427654e-09,1.4771799137609249e-05,1.4125519925068957,4.552085060674216e-10,9.820587050290985e-06
2,0.0001663917564262,1.8666666666666664e-09,1.9999999999999998e-05,1.4125880426021715,1.2551313651956714e-11,1.5775642597328141e-06
3,0.0003063917564262,1.8666666666666664e-09,1.9999999999999998e-05,1.4125896826896045,5.3563483654441165e-12,-1.01875160594757e-06
4,0.00044639175642619997,1.8666666666666685e-09,2.000000000000001e-05,1.4125575292908683,8.308129067799519e-10,-1.2101365625397493e-05
5,0.0005217782783449572,4.6065046363679927e-11,3.0500723994321373e-06,1.4119316668393522,1.66014753342002e-07,-0.00018508679243795748
6,0.0005301350014656,5.70309887207386e-13,3.3784927682498536e-07,1.4113266597428764,6.1297061822021776e-09,-3.537384803725674e-05
7,0.0005314703653935429,7.687363107290408e-14,1.27523932446432e-07,1.407387682248444,1.3077659434196486e-05,-0.001617513531312366
8,0.0005329370948129143,8.766422148661544e-13,4.1723390047857017e-07,1.395889843750157,4.792960604647376e-05,-0.00305648361659065
9,0.0005461482504478,6.999668224844415e-11,3.849237157085722e-06,1.1446135620996014,0.06773026946962116,-0.1120170882140052
10,0.0005666725852541,2.814589679599572e-11,2.435847794996421e-06,0.36272663371015396,0.008625197962545607,-0.03963575480323991
11,0.0006154109470656999,9.992097851501753e-10,1.442524128518215e-05,0.22991331567716053,0.00043641459418129644,-0.009508919477734043
12,0.0007451496831927999,1.8666666666666664e-09,1.9999999999999998e-05,0.1997751243022036,2.2209044588788637e-06,-0.0002025880305252991
13,0.000883006826049943,1.5988095238095225e-09,1.8392857142857135e-05,0.2375439562531178,0.0013357878309190245,0.015867363711143195
14,0.0009411549194577,2.477188206852705e-11,2.301869998489287e-06,0.6352627146713566,0.0781347029394883,0.12700211129231467
15,0.0009588562297783715,4.5702805572261615e-11,3.108730336185722e-06,1.2906129428663446,0.009931162724450951,0.045353769884898754
16,0.0009699571914862,8.296478663266395e-13,3.4617112998571273e-07,1.408436243759169,9.395806958456927e-06,0.0010774196613422113
17,0.0009707279765634285,2.6440533090048016e-14,7.212469934643863e-08,1.4102903687298678,2.7405086201683684e-08,7.478203816085882e-05
18,0.0009747540170167572,1.1772847771293423e-11,1.5315016164999974e-06,1.4114498470245824,2.3748749317775693e-07,0.00022541414925304163
19,0.0009929786938254286,3.065621122834304e-11,2.530304803582128e-06,1.4124431511932893,3.7085692168247117e-09,2.4037590831249567e-05
20,0.0010409242453997142,1.0294891664575663e-09,1.4530502244049994e-05,1.412543575873172,5.664677123869271e-10,1.085816600594163e-05
21,0.0011718064834139001,1.8666666666666677e-09,2.0000000000000005e-05,1.4125841728847974,2.997321173019451e-11,1.9199876318899885e-06
22,0.0013096636262710428,1.5988095238095258e-09,1.8392857142857152e-05,1.412588040018873,1.2409943895045223e-11,-7.988883126062797e-07
23,0.0014129099598347,1.4502546099922366e-09,1.7515987976171432e-05,1.412573341225857,1.292711054943785e-10,-4.683037218860303e-06
