/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.1315346009553374,0,0,0.1844076757155368,0,0,0.025,0
6666666.666666667,0.1183471641117104,-0.04143371740980731,6666666.666666667,-0.006857012806691157,-0.08243188931822802,6666666.666666667,0.025,0
13333333.33333333,0.09000186534408551,-0.06495311002653961,13333333.33333333,-0.02867961921990272,-0.02549477299311111,13333333.33333333,0.025,0
20000000,0.06275154575904179,-0.07131489571257099,20000000,-0.0202878969251466,-0.003827067147585365,20000000,0.025,0
26666666.66666667,0.04254516074470361,-0.06894149581029133,26666666.66666667,-0.01160190521228241,0.002832420546892932,26666666.66666667,0.025,0
33333333.33333334,0.02872501479985418,-0.06367093247648349,33333333.33333334,-0.006039387018274959,0.004001090391280884,33333333.33333334,0.025,0
40000000,0.01927276851375027,-0.05803513990323438,40000000,-0.002945114154085304,0.003484494450655865,40000000,0.025,0
46666666.66666666,0.01258928910084805,-0.05284786394254708,46666666.66666666,-0.001335428474010269,0.002650422648072849,46666666.66666666,0.025,0
53333333.33333333,0.007668924463335409,-0.04826189111017998,53333333.33333333,-0.00053235271680144,0.001914858097368803,53333333.33333333,0.025,0
59999999.99999999,0.003917471929776524,-0.04422902511220792,59999999.99999999,-0.0001466191419134862,0.001358503191748225,59999999.99999999,0.025,0
66666666.66666666,0.0009809445590026878,-0.04066245999783845,66666666.66666666,2.896020034368926e-05,0.0009614989610169853,66666666.66666666,0.025,0
73333333.33333333,-0.001360966575885504,-0.03748305142803727,73333333.33333333,0.0001008073974164552,0.0006843849333052426,73333333.33333333,0.025,0
80000000,-0.003253295294220374,-0.03462733575934454,80000000,0.0001226598549455021,0.0004919839181618559,80000000,0.025,0
86666666.66666667,-0.004796652422136644,-0.03204547167937118,86666666.66666667,0.0001213990794846745,0.0003580037773585751,86666666.66666667,0.025,0
93333333.33333334,-0.006063744413067203,-0.02969782369662957,93333333.33333334,0.0001103525971196575,0.000264048703507926,93333333.33333334,0.025,0
100000000,-0.00710865668615163,-0.02755226214857211,100000000,9.602638457837417e-05,0.0001975787310630883,100000000,0.025,0
106666666.6666667,-0.007972438919977827,-0.02558232430179892,106666666.6666667,8.149608195011841e-05,0.0001501106041080444,106666666.6666667,0.025,0
113333333.3333334,-0.008686708570576445,-0.02376598359960311,113333333.3333334,6.811769950004578e-05,0.0001158950762998929,113333333.3333334,0.025,0
120000000,-0.00927611320496073,-0.0220847911251844,120000000,5.639387718031925e-05,9.100940595167018e-05,120000000,0.025,0
126666666.6666667,-0.009760081697677201,-0.02052323814533064,126666666.6666667,4.641397316393018e-05,7.275231016474455e-05,126666666.6666667,0.025,0
133333333.3333334,-0.01015410088225421,-0.01906825534917176,133333333.3333334,3.807765444102728e-05,5.92445359901579e-05,133333333.3333334,0.025,0
140000000,-0.01047065958071917,-0.01770880420843848,140000000,3.120775906436743e-05,4.916516425715855e-05,140000000,0.025,0
146666666.6666667,-0.01071995223547059,-0.01643553674769513,146666666.6666667,2.560623093650147e-05,4.157654785901103e-05,146666666.6666667,0.025,0
153333333.3333333,-0.01091040577832365,-0.01524051011779298,153333333.3333333,2.10807339755345e-05,3.58070734799962e-05,153333333.3333333,0.025,0
160000000,-0.0110490753546237,-0.01411694703951809,160000000,1.745622477540949e-05,3.137182305287721e-05,160000000,0.025,0
166666666.6666667,-0.01114194231644812,-0.01305903535615445,166666666.6666667,1.457891401098612e-05,2.791827533905773e-05,166666666.6666667,0.025,0
173333333.3333333,-0.01119413923174656,-0.01206176104789402,173333333.3333333,1.231649378830017e-05,2.5188716135107e-05,173333333.3333333,0.025,0
180000000,-0.01121012033312631,-0.01112076976965834,180000000,1.055664953589909e-05,2.299392054216766e-05,180000000,0.025,0
