/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
0,6.496815485901121e-05,0,0,5.921381263026601e-09,0,0,0.005,0,0,4.054780232208286e-11,0
6666666.666666667,6.748803318436339e-05,3.349116771567099e-05,6666666.666666667,5.533514695210745e-09,9.542844029574489e-09,6666666.666666667,0.005,0,6666666.666666667,4.422254734394996e-11,-1.441591716859191e-11
13333333.33333333,7.856402364181567e-05,7.002957960046214e-05,13333333.33333333,7.110018065952756e-09,2.655603295712922e-08,13333333.33333333,0.005,0,13333333.33333333,6.223468986586771e-11,-4.765041409289952e-11
20000000,0.0001038526292997564,0.000106008397089601,20000000,2.27366710094317e-08,5.645316314323853e-08,20000000,0.005,0,20000000,6.214818799192766e-11,-1.296828096991748e-10
26666666.66666667,0.0001440870740698111,0.0001333003111354412,26666666.66666667,7.255845431712245e-08,8.985336182989386e-08,26666666.66666667,0.005,0,26666666.66666667,-2.077444201964798e-11,-2.468095974164113e-10
33333333.33333334,0.0001941868739706015,0.0001451466467593003,33333333.33333334,1.660014010106521e-07,9.576456991498175e-08,33333333.33333334,0.005,0,33333333.33333334,-2.270042471614313e-10,-3.156308878641105e-10
40000000,0.0002465672848026949,0.0001391426225951586,40000000,2.831970407167319e-07,3.793902249260408e-08,40000000,0.005,0,40000000,-5.101262518749935e-10,-2.302071812044205e-10
46666666.66666666,0.0002943233288082782,0.0001168957393347313,46666666.66666666,3.790354801998344e-07,-9.876461952127794e-08,46666666.66666666,0.005,0,46666666.66666666,-7.469487352008505e-10,5.472135021295131e-11
53333333.33333333,0.0003327823919174119,8.235782776274147e-05,53333333.33333333,4.062211993960884e-07,-2.960216123821253e-07,53333333.33333333,0.005,0,53333333.33333333,-8.095228327966702e-10,4.858768049187789e-10
59999999.99999999,0.0003597190837516812,4.020604656248638e-05,59999999.99999999,3.377358948734842e-07,-5.105293949593606e-07,59999999.99999999,0.005,0,59999999.99999999,-6.331782037961391e-10,9.4059394093357e-10
66666666.66666666,0.000374877668348113,-5.239607350899776e-06,66666666.66666666,1.754554441266368e-07,-6.931582727381715e-07,66666666.66666666,0.005,0,66666666.66666666,-2.384210403826877e-10,1.287279933776159e-09
73333333.33333333,0.0003792897732067933,-5.054626735905325e-05,73333333.33333333,-5.513944909837522e-08,-8.058454691018988e-07,73333333.33333333,0.005,0,73333333.33333333,2.904789762679328e-10,1.434980342722074e-09
80000000,0.0003746544518036983,-9.329894046453521e-05,80000000,-3.169666339683598e-07,-8.297408120463744e-07,80000000,0.005,0,80000000,8.44987214746511e-10,1.35318720650106e-09
86666666.66666667,0.0003628826044614508,-0.0001320043274217448,86666666.66666667,-5.729702560719787e-07,-7.649241140613061e-07,86666666.66666667,0.005,0,86666666.66666667,1.327191174334217e-09,1.065442944569546e-09
93333333.33333334,0.0003458123997290387,-0.0001658999059546584,93333333.33333334,-7.937027849028439e-07,-6.252388695655852e-07,93333333.33333334,0.005,0,93333333.33333334,1.669756228625726e-09,6.296032588158824e-10
100000000,0.0003250609487878084,-0.0001947493845768204,100000000,-9.603844632875963e-07,-4.318267781043673e-07,100000000,0.005,0,100000000,1.841067220888363e-09,1.164570477776165e-10
106666666.6666667,0.0003019685848327599,-0.000218664418682532,106666666.6666667,-1.064632512520355e-06,-2.07601663012042e-07,106666666.6666667,0.005,0,106666666.6666667,1.840516974187146e-09,-4.067294894391506e-10
113333333.3333334,0.0002775982812884899,-0.0002379660147961623,113333333.3333334,-1.106406288033803e-06,2.648190187170752e-08,113333333.3333334,0.005,0,113333333.3333334,1.68938752003576e-09,-8.858641148259407e-10
120000000,0.0002527633016857191,-0.0002530849805291282,120000000,-1.091394596965368e-06,2.534002193637471e-07,120000000,0.005,0,120000000,1.421254219659136e-09,-1.28374008742687e-09
126666666.6666667,0.0002280659813718691,-0.0002644948912249155,126666666.6666667,-1.028582350242828e-06,4.606975024590817e-07,126666666.6666667,0.005,0,126666666.6666667,1.074014254688119e-09,-1.57967613310504e-09
133333333.3333334,0.0002039378998611614,-0.0002726696935232797,133333333.3333334,-9.283250492203681e-07,6.402799223492389e-07,133333333.3333334,0.005,0,133333333.3333334,6.842516035068875e-10,-1.766921059834345e-09
140000000,0.0001806765737808556,-0.0002780588098105546,140000000,-8.009982249368187e-07,7.877733845426275e-07,140000000,0.005,0,140000000,2.838399361106714e-10,-1.849204743060457e-09
146666666.6666667,0.0001584767311201439,-0.0002810740604366608,146666666.6666667,-6.561555039559157e-07,9.017261088103282e-07,146666666.6666667,0.005,0,146666666.6666667,-1.016709355570422e-10,-1.837303501686954e-09
153333333.3333333,0.0001374558355265231,-0.0002820842077211391,153333333.3333333,-5.020804659362617e-07,9.828240750897104e-07,153333333.3333333,0.005,0,153333333.3333333,-4.534162892961873e-10,-1.746071955752268e-09
