/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
0,6.496815485896367e-05,0,0,7.813527753389592e-07,0,0,0.005,0,0,2.662145860851251e-10,0
6666666.666666667,6.749236346483451e-05,3.348219343410484e-05,6666666.666666667,9.581036812112719e-07,-2.373708513323386e-11,6666666.666666667,0.005,0,6666666.666666667,4.048414120359894e-10,1.408220427863222e-11
13333333.33333333,7.858223575663303e-05,7.000802192905702e-05,13333333.33333333,1.518190294337031e-06,-1.94257481372318e-07,13333333.33333333,0.005,0,13333333.33333333,6.844800630548341e-10,-1.923012710946424e-10
20000000,0.0001038939554990396,0.0001059637524825398,20000000,2.351000857884117e-06,-9.25892496484185e-07,20000000,0.005,0,20000000,9.309653951029303e-10,-7.858709217175744e-10
26666666.66666667,0.0001441549767104377,0.0001332142823980994,26666666.66666667,3.023516747558035e-06,-2.43356578857141e-06,26666666.66666667,0.005,0,26666666.66666667,7.181780456384155e-10,-1.757593779938519e-09
33333333.33333334,0.0001942738819897372,0.0001449972819766263,33333333.33333334,2.987948679230196e-06,-4.573926741311398e-06,33333333.33333334,0.005,0,33333333.33333334,-2.819376246263915e-10,-2.649159972571958e-09
40000000,0.000246653790265104,0.000138911121886575,40000000,1.910535820188268e-06,-6.866203049247956e-06,40000000,0.005,0,40000000,-1.900793107247909e-09,-2.833699349042944e-09
46666666.66666666,0.0002943805799174228,0.0001165725129048401,46666666.66666666,-1.857513514410181e-07,-8.742818094610944e-06,46666666.66666666,0.005,0,46666666.66666666,-3.534992512057699e-09,-1.994740009471403e-09
53333333.33333333,0.0003327779869832051,8.19457798903577e-05,53333333.33333333,-2.989371186438083e-06,-9.776622321316574e-06,53333333.33333333,0.005,0,53333333.33333333,-4.543041984891177e-09,-3.180367578276382e-10
59999999.99999999,0.0003596229220061198,3.972061736581051e-05,59999999.99999999,-6.060978539255159e-06,-9.780361655881266e-06,59999999.99999999,0.005,0,59999999.99999999,-4.583534837702974e-09,1.676714204820621e-09
66666666.66666666,0.0003746667413240576,-5.77302275590749e-06,66666666.66666666,-8.980205093867001e-06,-8.791250933809467e-06,66666666.66666666,0.005,0,66666666.66666666,-3.697262817890679e-09,3.434094887636007e-09
73333333.33333333,0.0003789509370234705,-5.109635107712055e-05,73333333.33333333,-1.143194034729077e-05,-6.997191023474379e-06,73333333.33333333,0.005,0,73333333.33333333,-2.188423325051513e-09,4.577029121810246e-09
80000000,0.0003741850913242248,-9.383272828928305e-05,80000000,-1.323268700543753e-05,-4.654504388873655e-06,80000000,0.005,0,80000000,-4.4705114332315e-10,4.971259290220649e-09
86666666.66666667,0.0003622896357220962,-0.0001324908465034463,86666666.66666667,-1.431770386227092e-05,-2.023972574934223e-06,86666666.66666667,0.005,0,86666666.66666667,1.187118058611756e-09,4.681290441558683e-09
93333333.33333334,0.0003451102708101866,-0.0001663127354960971,93333333.33333334,-1.471070531328847e-05,6.677498867603852e-07,93333333.33333334,0.005,0,93333333.33333334,2.48910441208194e-09,3.885019633338268e-09
100000000,0.0003242692595600194,-0.0001950680781851358,100000000,-1.449111153270502e-05,3.244994724801736e-06,100000000,0.005,0,100000000,3.355152614277719e-09,2.794706462714695e-09
106666666.6666667,0.0003011097791464739,-0.0002188749578699316,106666666.6666667,-1.376646220128763e-05,5.585293989526306e-06,106666666.6666667,0.005,0,106666666.6666667,3.777752424299213e-09,1.604073581938238e-09
113333333.3333334,0.0002766956759371913,-0.0002380605565265415,113333333.3333334,-1.265240371059817e-05,7.613539406123294e-06,113333333.3333334,0.005,0,113333333.3333334,3.811214236724659e-09,4.62390054188684e-10
120000000,0.0002518395615296866,-0.00025306116270954,120000000,-1.125985160173083e-05,9.292824259181232e-06,120000000,0.005,0,120000000,3.54051278260327e-09,-5.317182682079656e-10
126666666.6666667,0.0002271420462624225,-0.0002643549145931706,126666666.6666667,-9.687819168447646e-06,1.061483318806125e-05,126666666.6666667,0.005,0,126666666.6666667,3.058376745019207e-09,-1.325115678414126e-09
133333333.3333334,0.0002030323114904526,-0.0002724193389571486,133333333.3333334,-8.020236142980068e-06,1.159123769244071e-05,133333333.3333334,0.005,0,133333333.3333334,2.450995212648115e-09,-1.900172704981637e-09
140000000,0.0001798051265380861,-0.0002777064945791113,140000000,-6.325327610583396e-06,1.224665790906933e-05,140000000,0.005,0,140000000,1.790681777942027e-09,-2.264014287656033e-09
146666666.6666667,0.0001576523677734145,-0.000280629992624545,146666666.6666667,-4.656483812322763e-06,1.261325149407554e-05,146666666.6666667,0.005,0,146666666.6666667,1.133360490801326e-09,-2.439069916157565e-09
153333333.3333333,0.000136688716252951,-0.0002815596662262483,153333333.3333333,-3.05388804783932e-06,1.272675271611895e-05,153333333.3333333,0.005,0,153333333.3333333,5.189901223418639e-10,-2.455688537102788e-09
160000000,0.0001169719999178927,-0.0002808209269469528,160000000,-1.546435119422333e-06,1.262370047508211e-05,160000000,0.005,0,160000000,-2.647362097360669e-11,-2.346854250857575e-09
166666666.6666667,9.851895769054395e-05,-0.0002786968147693738,166666666.6666667,-1.536626746220549e-07,1.23395896170216e-05,166666666.6666667,0.005,0,166666666.6666667,-4.885062110046031e-10,-2.144705585466815e-09
173333333.3333333,8.131725990198537e-05,-0.0002754314470105245,173333333.3333333,1.112455005057885e-06,1.190771137638046e-05,173333333.3333333,0.005,0,173333333.3333333,-8.613884301707307e-10,-1.878458186842693e-09
180000000,6.533455523853887e-05,-0.0002712340549635799,180000000,2.245920637816191e-06,1.135849173995795e-05,180000000,0.005,0,180000000,-1.145821265650251e-09,-1.573344698810198e-09
186666666.6666666,5.05252030757892e-05,-0.000266283120887781,186666666.6666666,3.24535653976374e-06,1.071917897090114e-05,186666666.6666666,0.005,0,186666666.6666666,-1.34690895241744e-09,-1.25024785014219e-09
193333333.3333333,3.683523005350085e-05,-0.0002607303390035593,193333333.3333333,4.112870613201409e-06,1.001376839898928e-05,193333333.3333333,0.005,0,193333333.3333333,-1.472538667654457e-09,-9.257764479582412e-10
199999999.9999999,2.420593907145877e-05,-0.0002547042580166209,199999999.9999999,4.853126377938383e-06,9.263082458717555e-06,199999999.9999999,0.005,0,199999999.9999999,-1.532132404194553e-09,-6.126018250319483e-10
206666666.6666666,1.25765043607219e-05,-0.0002483135451186472,206666666.6666666,5.472591972179304e-06,8.484947139884821e-06,206666666.6666666,0.005,0,206666666.6666666,-1.535722304572721e-09,-3.199279613135843e-10
213333333.3333333,1.885809112459764e-06,-0.0002416498602799241,213333333.3333333,5.978941933075549e-06,7.694423483401932e-06,213333333.3333333,0.005,0,213333333.3333333,-1.4932933062348e-09,-5.401114116737115e-11
