/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
0,0.02460471472234678,0,0,0.001186215457100028,0,0,0.005,0,0,8.546332119731689e-06,0
6666666.666666667,0.02130976483600532,-0.008200064555953407,6666666.666666667,0.0009399605638128148,-0.0003874715308261401,6666666.666666667,0.005,0,6666666.666666667,-7.332979315001404e-07,-4.422365058964475e-06
13333333.33333333,0.01573912561676476,-0.01172808992810451,13333333.33333333,0.0007062278416623154,-0.000390367890412646,13333333.33333333,0.005,0,13333333.33333333,-1.821537051060621e-06,-1.528154682270779e-06
20000000,0.01122015389032692,-0.0125013313225931,20000000,0.0006795750240393644,-0.0003811667369759178,20000000,0.005,0,20000000,-1.773689490268017e-06,-6.346889321740946e-07
26666666.66666667,0.007916212225210826,-0.01219510077272327,26666666.66666667,0.000678689021949779,-0.0004779797322453809,26666666.66666667,0.005,0,26666666.66666667,-1.809252088228062e-06,-9.277647505058131e-09
33333333.33333334,0.005514092241002476,-0.01148383662419938,33333333.33333334,0.0006125684528868508,-0.0006173405120159589,33333333.33333334,0.005,0,33333333.33333334,-1.680573966648154e-06,6.02297892871922e-07
40000000,0.003749390959994625,-0.01064770713801925,40000000,0.0004816865420267031,-0.000734987094377766,40000000,0.005,0,40000000,-1.349311733472337e-06,1.093354872835356e-06
46666666.66666666,0.002433060553243573,-0.009806809251707821,46666666.66666666,0.0003163578462174254,-0.0008017855734379243,46666666.66666666,0.005,0,46666666.66666666,-9.020005635699865e-07,1.393122765796982e-06
53333333.33333333,0.001435048726926451,-0.009009948028281551,53333333.33333333,0.0001462631821004899,-0.0008145580419925068,53333333.33333333,0.005,0,53333333.33333333,-4.353453274677641e-07,1.501424014651837e-06
59999999.99999999,0.000666827090708099,-0.008273964031180463,59999999.99999999,-8.55987916885974e-06,-0.0007828572576934009,59999999.99999999,0.005,0,59999999.99999999,-1.616938119882187e-08,1.456831252230111e-06
