Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,7.503421e-02,3.073175e-14,-5.109047e-05,1.723891e-01,2.971800e-02
/out0 (OFF=0.1528523) Y,7.503426e-02,3.615601e-14,-5.523586e-05,1.724030e-01,2.972281e-02
/out0 (OFF=0.1557047) Y,7.503431e-02,4.249865e-14,-6.008753e-05,1.724182e-01,2.972803e-02
/out0 (OFF=0.158557) Y,7.503437e-02,4.993350e-14,-6.513571e-05,1.724345e-01,2.973368e-02
/out0 (OFF=0.1614094) Y,7.503444e-02,5.867755e-14,-6.989075e-05,1.724523e-01,2.973980e-02
/out0 (OFF=0.1642617) Y,7.503450e-02,6.886172e-14,-7.568271e-05,1.724715e-01,2.974643e-02
/out0 (OFF=0.1671141) Y,7.503458e-02,8.069391e-14,-8.281840e-05,1.724923e-01,2.975360e-02
/out0 (OFF=0.1699664) Y,7.503466e-02,9.457213e-14,-8.966383e-05,1.725148e-01,2.976137e-02
/out0 (OFF=0.1728188) Y,7.503475e-02,1.107623e-13,-9.704239e-05,1.725392e-01,2.976977e-02
/out0 (OFF=0.1756711) Y,7.503484e-02,1.296345e-13,-1.049812e-04,1.725655e-01,2.977886e-02
/out0 (OFF=0.1785235) Y,7.503494e-02,1.601561e-13,-9.941561e-05,1.725940e-01,2.978868e-02
/out0 (OFF=0.1813758) Y,7.503505e-02,1.771881e-13,-1.227656e-04,1.726247e-01,2.979930e-02
/out0 (OFF=0.1842282) Y,7.503517e-02,2.091481e-13,-1.258958e-04,1.726579e-01,2.981077e-02
/out0 (OFF=0.1870805) Y,7.503529e-02,2.623071e-13,-1.210291e-04,1.726938e-01,2.982316e-02
/out0 (OFF=0.1899329) Y,7.503543e-02,3.095659e-13,-1.288499e-04,1.727325e-01,2.983653e-02
/out0 (OFF=0.1927852) Y,7.503545e-02,3.351369e-12,1.112874e-04,1.727743e-01,2.985100e-02
/out0 (OFF=0.1956376) Y,7.503573e-02,4.506756e-13,-1.392454e-04,1.728192e-01,2.986652e-02
/out0 (OFF=0.1984899) Y,7.503593e-02,4.441142e-13,-1.944515e-04,1.728677e-01,2.988328e-02
/out0 (OFF=0.2013423) Y,7.503612e-02,5.161177e-13,-2.095597e-04,1.729200e-01,2.990136e-02
/out0 (OFF=0.2041946) Y,7.503632e-02,5.999427e-13,-2.228487e-04,1.729763e-01,2.992083e-02
