FeaturesParamTransientACNN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.474233e-01,2.422307e-09,-1.434460e-02,0,0
/out0 (OFF=0.1528523) Y,2.474373e-01,2.847420e-09,-1.555352e-02,0,0
/out0 (OFF=0.1557047) Y,2.474525e-01,3.345136e-09,-1.685918e-02,0,0
/out0 (OFF=0.158557) Y,2.474689e-01,3.927440e-09,-1.826888e-02,0,0
/out0 (OFF=0.1614094) Y,2.474867e-01,4.608160e-09,-1.979016e-02,0,0
/out0 (OFF=0.1642617) Y,2.475060e-01,5.403321e-09,-2.143114e-02,0,0
/out0 (OFF=0.1671141) Y,2.475269e-01,6.331436e-09,-2.320042e-02,0,0
/out0 (OFF=0.1699664) Y,2.475495e-01,7.413818e-09,-2.510709e-02,0,0
/out0 (OFF=0.1728188) Y,2.475739e-01,8.675024e-09,-2.716078e-02,0,0
/out0 (OFF=0.1756711) Y,2.476004e-01,1.014332e-08,-2.937169e-02,0,0
/out0 (OFF=0.1785235) Y,2.476289e-01,1.185122e-08,-3.175070e-02,0,0
/out0 (OFF=0.1813758) Y,2.476598e-01,1.383597e-08,-3.430915e-02,0,0
/out0 (OFF=0.1842282) Y,2.476931e-01,1.614029e-08,-3.705914e-02,0,0
/out0 (OFF=0.1870805) Y,2.477291e-01,1.881311e-08,-4.001333e-02,0,0
/out0 (OFF=0.1899329) Y,2.477679e-01,2.191069e-08,-4.316605e-02,0,0
/out0 (OFF=0.1927852) Y,2.478098e-01,2.549596e-08,-4.657348e-02,0,0
/out0 (OFF=0.1956376) Y,2.478550e-01,2.964187e-08,-5.023833e-02,0,0
/out0 (OFF=0.1984899) Y,2.479037e-01,3.443176e-08,-5.415006e-02,0,0
/out0 (OFF=0.2013423) Y,2.479562e-01,3.995946e-08,-5.834006e-02,0,0
/out0 (OFF=0.2041946) Y,2.480127e-01,4.633175e-08,-6.282517e-02,0,0
/out0 (OFF=0.207047) Y,2.480735e-01,5.366973e-08,-6.762355e-02,0,0
/out0 (OFF=0.2098993) Y,2.481389e-01,6.211049e-08,-7.275354e-02,0,0
/out0 (OFF=0.2127517) Y,2.482092e-01,7.180893e-08,-7.823482e-02,0,0
/out0 (OFF=0.215604) Y,2.482848e-01,8.293998e-08,-8.408759e-02,0,0
/out0 (OFF=0.2184564) Y,2.483661e-01,9.570091e-08,-9.033318e-02,0,0
/out0 (OFF=0.2213087) Y,2.484534e-01,1.103056e-07,-9.721361e-02,0,0
/out0 (OFF=0.2241611) Y,2.485468e-01,1.270314e-07,-1.040085e-01,0,0
/out0 (OFF=0.2270134) Y,2.486471e-01,1.461328e-07,-1.114738e-01,0,0
/out0 (OFF=0.2298658) Y,2.487548e-01,1.679154e-07,-1.196715e-01,0,0
/out0 (OFF=0.2327181) Y,2.488702e-01,1.927526e-07,-1.282586e-01,0,0
/out0 (OFF=0.2355705) Y,2.489936e-01,2.210327e-07,-1.373580e-01,0,0
/out0 (OFF=0.2384228) Y,2.491258e-01,2.531940e-07,-1.470250e-01,0,0
/out0 (OFF=0.2412752) Y,2.492672e-01,2.897280e-07,-1.572889e-01,0,0
/out0 (OFF=0.2441275) Y,2.494185e-01,3.311819e-07,-1.681799e-01,0,0
/out0 (OFF=0.2469799) Y,2.495801e-01,3.781664e-07,-1.797297e-01,0,0
/out0 (OFF=0.2498322) Y,2.497527e-01,4.313604e-07,-1.919709e-01,0,0
/out0 (OFF=0.2526846) Y,2.499370e-01,4.915198e-07,-2.049365e-01,0,0
