FeaturesParamTransientDCNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.472636e-01,6.103311e-17,1.254793e-06
/out0 (Vin=0.01073826) Y,2.472642e-01,0,-1.143989e-14
/out0 (Vin=0.02147651) Y,2.472651e-01,2.649007e-20,2.614151e-08
/out0 (Vin=0.03221477) Y,2.472664e-01,7.755078e-34,-7.215256e-15
/out0 (Vin=0.04295302) Y,2.472681e-01,3.102031e-33,-2.184039e-14
/out0 (Vin=0.05369128) Y,2.472705e-01,3.102031e-33,-2.552821e-14
/out0 (Vin=0.06442953) Y,2.472738e-01,1.240812e-32,-7.406851e-15
/out0 (Vin=0.07516779) Y,2.472783e-01,3.102031e-33,-5.483371e-15
/out0 (Vin=0.08590604) Y,2.472846e-01,1.240812e-32,-1.124610e-14
/out0 (Vin=0.0966443) Y,2.472933e-01,2.791828e-32,-2.887744e-14
/out0 (Vin=0.1073826) Y,2.473054e-01,1.240812e-32,-1.402419e-14
/out0 (Vin=0.1181208) Y,2.473219e-01,3.799988e-32,-4.853465e-15
/out0 (Vin=0.1288591) Y,2.473445e-01,1.938769e-32,-1.095196e-14
/out0 (Vin=0.1395973) Y,2.473754e-01,6.979570e-33,-2.221347e-14
/out0 (Vin=0.1503356) Y,2.474176e-01,3.102031e-33,-2.692206e-14
/out0 (Vin=0.1610738) Y,2.474748e-01,6.281613e-32,-2.391241e-14
/out0 (Vin=0.1718121) Y,2.475521e-01,6.979570e-33,-4.137046e-17
/out0 (Vin=0.1825503) Y,2.476561e-01,3.102031e-33,-1.636858e-14
/out0 (Vin=0.1932886) Y,2.477952e-01,7.755078e-34,-1.729572e-14
/out0 (Vin=0.2040268) Y,2.479802e-01,1.331038e-12,1.853426e-04
/out0 (Vin=0.2147651) Y,2.482248e-01,2.649007e-20,2.614150e-08
/out0 (Vin=0.2255034) Y,2.485457e-01,0,-2.531230e-14
/out0 (Vin=0.2362416) Y,2.489639e-01,1.059603e-19,5.228303e-08
/out0 (Vin=0.2469799) Y,2.495048e-01,1.938769e-32,-1.190381e-14
/out0 (Vin=0.2577181) Y,2.501992e-01,0,-1.174847e-14
/out0 (Vin=0.2684564) Y,2.510838e-01,0,3.443768e-15
/out0 (Vin=0.2791946) Y,2.522028e-01,1.240812e-32,-1.552122e-14
/out0 (Vin=0.2899329) Y,2.536087e-01,0,-1.548774e-14
/out0 (Vin=0.3006711) Y,2.553647e-01,0,-1.048674e-14
/out0 (Vin=0.3114094) Y,2.575468e-01,3.102031e-33,-2.537332e-14
/out0 (Vin=0.3221477) Y,2.602481e-01,0,-1.875775e-14
/out0 (Vin=0.3328859) Y,2.635844e-01,3.102031e-33,-1.790545e-14
/out0 (Vin=0.3436242) Y,2.677026e-01,6.487241e-18,4.055420e-07
