Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.25) Y,2.506193e-01,6.637342e-06,-7.193609e-01,0,0
/out0 (OFF=0.2533557) Y,2.508982e-01,7.693668e-06,-7.751366e-01,0,0
/out0 (OFF=0.2567114) Y,2.511979e-01,8.907875e-06,-8.340922e-01,0,0
/out0 (OFF=0.2600671) Y,2.515205e-01,1.029988e-05,-8.982884e-01,0,0
/out0 (OFF=0.2634228) Y,2.518666e-01,1.189718e-05,-9.656311e-01,0,0
/out0 (OFF=0.2667785) Y,2.522388e-01,1.372544e-05,-1.038488e+00,0,0
/out0 (OFF=0.2701342) Y,2.526380e-01,1.581853e-05,-1.115634e+00,0,0
/out0 (OFF=0.2734899) Y,2.530659e-01,1.821374e-05,-1.196822e+00,0,0
/out0 (OFF=0.2768456) Y,2.535258e-01,2.094768e-05,-1.285462e+00,0,0
/out0 (OFF=0.2802013) Y,2.540185e-01,2.407208e-05,-1.378769e+00,0,0
/out0 (OFF=0.283557) Y,2.545466e-01,2.763887e-05,-1.478180e+00,0,0
/out0 (OFF=0.2869128) Y,2.551126e-01,3.170931e-05,-1.584004e+00,0,0
/out0 (OFF=0.2902685) Y,2.557191e-01,3.635285e-05,-1.696873e+00,0,0
/out0 (OFF=0.2936242) Y,2.563689e-01,4.164965e-05,-1.817162e+00,0,0
/out0 (OFF=0.2969799) Y,2.570649e-01,4.769244e-05,-1.944985e+00,0,0
/out0 (OFF=0.3003356) Y,2.578105e-01,5.458576e-05,-2.081440e+00,0,0
/out0 (OFF=0.3036913) Y,2.586092e-01,6.245219e-05,-2.226879e+00,0,0
/out0 (OFF=0.307047) Y,2.594647e-01,7.143386e-05,-2.381670e+00,0,0
/out0 (OFF=0.3104027) Y,2.603817e-01,8.169198e-05,-2.547577e+00,0,0
/out0 (OFF=0.3137584) Y,2.613642e-01,9.342079e-05,-2.724345e+00,0,0
/out0 (OFF=0.3171141) Y,2.624174e-01,1.068444e-04,-2.912866e+00,0,0
/out0 (OFF=0.3204698) Y,2.635475e-01,1.222206e-04,-3.115627e+00,0,0
/out0 (OFF=0.3238255) Y,2.647598e-01,1.398651e-04,-3.332224e+00,0,0
/out0 (OFF=0.3271812) Y,2.660614e-01,1.601441e-04,-3.564400e+00,0,0
/out0 (OFF=0.3305369) Y,2.674601e-01,1.834954e-04,-3.813789e+00,0,0
/out0 (OFF=0.3338926) Y,2.689641e-01,2.104450e-04,-4.081830e+00,0,0
