FeaturesParamTransientACAPA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,1.844359e-01,2.469855e-15,-1.458901e-05,6.688776e-02,4.473972e-03
/out0 (OFF=0.1528523) Y,1.844359e-01,3.252706e-14,1.180053e-05,6.690191e-02,4.475866e-03
/out0 (OFF=0.1557047) Y,1.844361e-01,3.412217e-15,-1.716004e-05,6.691723e-02,4.477915e-03
/out0 (OFF=0.158557) Y,1.844362e-01,4.006984e-15,-1.859571e-05,6.693385e-02,4.480140e-03
/out0 (OFF=0.1614094) Y,1.844363e-01,4.702366e-15,-2.014466e-05,6.695185e-02,4.482551e-03
/out0 (OFF=0.1642617) Y,1.844365e-01,5.514731e-15,-2.181540e-05,6.697136e-02,4.485164e-03
/out0 (OFF=0.1671141) Y,1.844366e-01,6.462978e-15,-2.361674e-05,6.699249e-02,4.487994e-03
/out0 (OFF=0.1699664) Y,1.844368e-01,7.568883e-15,-2.555537e-05,6.701536e-02,4.491059e-03
/out0 (OFF=0.1728188) Y,1.844370e-01,8.859104e-15,-2.746608e-05,6.704012e-02,4.494377e-03
/out0 (OFF=0.1756711) Y,1.844372e-01,1.035765e-14,-2.989748e-05,6.706689e-02,4.497969e-03
/out0 (OFF=0.1785235) Y,1.844374e-01,1.210243e-14,-3.230853e-05,6.709585e-02,4.501854e-03
/out0 (OFF=0.1813758) Y,1.844376e-01,1.412992e-14,-3.487396e-05,6.712716e-02,4.506056e-03
/out0 (OFF=0.1842282) Y,1.844379e-01,1.648307e-14,-3.770681e-05,6.716099e-02,4.510599e-03
/out0 (OFF=0.1870805) Y,1.844381e-01,4.121612e-13,5.993518e-05,6.719758e-02,4.515516e-03
/out0 (OFF=0.1899329) Y,1.844384e-01,2.237303e-14,-4.394087e-05,6.723699e-02,4.520813e-03
/out0 (OFF=0.1927852) Y,1.844387e-01,2.603221e-14,-4.725049e-05,6.727958e-02,4.526542e-03
/out0 (OFF=0.1956376) Y,1.844391e-01,3.025903e-14,-5.109295e-05,6.732553e-02,4.532727e-03
/out0 (OFF=0.1984899) Y,1.844394e-01,3.514210e-14,-5.491459e-05,6.737507e-02,4.539401e-03
/out0 (OFF=0.2013423) Y,1.844398e-01,4.077059e-14,-5.927029e-05,6.742848e-02,4.546601e-03
/out0 (OFF=0.2041946) Y,1.844403e-01,4.725519e-14,-6.386077e-05,6.748602e-02,4.554364e-03
/out0 (OFF=0.207047) Y,1.844407e-01,5.471612e-14,-6.870826e-05,6.754799e-02,4.562733e-03
/out0 (OFF=0.2098993) Y,1.844412e-01,6.328937e-14,-7.390367e-05,6.761470e-02,4.571749e-03
/out0 (OFF=0.2127517) Y,1.844417e-01,7.312868e-14,-7.944238e-05,6.768647e-02,4.581460e-03
/out0 (OFF=0.215604) Y,1.844423e-01,8.440668e-14,-8.534013e-05,6.776365e-02,4.591914e-03
/out0 (OFF=0.2184564) Y,1.844429e-01,9.731692e-14,-9.163527e-05,6.784661e-02,4.603165e-03
/out0 (OFF=0.2213087) Y,1.844436e-01,1.120763e-13,-9.833981e-05,6.793572e-02,4.615264e-03
/out0 (OFF=0.2241611) Y,1.844443e-01,1.289274e-13,-1.054747e-04,6.803144e-02,4.628280e-03
/out0 (OFF=0.2270134) Y,1.844450e-01,1.481406e-13,-1.130618e-04,6.813416e-02,4.642266e-03
/out0 (OFF=0.2298658) Y,1.844458e-01,1.700170e-13,-1.211235e-04,6.824434e-02,4.657293e-03
/out0 (OFF=0.2327181) Y,1.844467e-01,1.948917e-13,-1.296825e-04,6.836247e-02,4.673431e-03
/out0 (OFF=0.2355705) Y,1.844476e-01,2.231361e-13,-1.387627e-04,6.848906e-02,4.690755e-03
/out0 (OFF=0.2384228) Y,1.844486e-01,2.551617e-13,-1.483877e-04,6.862463e-02,4.709345e-03
