FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.513236e-01,4.593399e-11,-1.990980e-03,2.480443e-10,1.001968e-19
/out0 (OFF=0.1528523) Y,2.513379e-01,5.402140e-11,-2.159175e-03,2.050232e-10,6.362673e-20
/out0 (OFF=0.1557047) Y,2.513533e-01,6.349575e-11,-2.340409e-03,6.312736e-10,2.116042e-17
/out0 (OFF=0.158557) Y,2.513700e-01,7.458658e-11,-2.537090e-03,2.593553e-10,8.479635e-20
/out0 (OFF=0.1614094) Y,2.513882e-01,8.756033e-11,-2.748903e-03,2.336935e-10,7.689792e-20
/out0 (OFF=0.1642617) Y,2.514078e-01,1.027249e-10,-2.977393e-03,2.228217e-10,7.065238e-20
/out0 (OFF=0.1671141) Y,2.514291e-01,1.204363e-10,-3.223927e-03,2.837493e-10,1.001950e-19
/out0 (OFF=0.1699664) Y,2.514522e-01,1.411055e-10,-3.489625e-03,2.338442e-10,7.213564e-20
/out0 (OFF=0.1728188) Y,2.514771e-01,1.652063e-10,-3.775784e-03,3.212447e-10,6.615751e-19
/out0 (OFF=0.1756711) Y,2.515041e-01,1.932844e-10,-4.084190e-03,2.233397e-10,6.594553e-20
/out0 (OFF=0.1785235) Y,2.515332e-01,2.259674e-10,-4.415938e-03,2.954287e-10,1.105857e-19
/out0 (OFF=0.1813758) Y,2.515648e-01,2.639764e-10,-4.772915e-03,2.346313e-10,7.420568e-20
/out0 (OFF=0.1842282) Y,2.515989e-01,3.081390e-10,-5.155846e-03,7.384655e-10,3.705405e-17
/out0 (OFF=0.1870805) Y,2.516357e-01,3.594019e-10,-5.569205e-03,2.868534e-10,3.718093e-19
/out0 (OFF=0.1899329) Y,2.516754e-01,4.188506e-10,-6.012202e-03,2.342588e-10,3.362205e-19
/out0 (OFF=0.1927852) Y,2.517183e-01,4.877239e-10,-6.487804e-03,2.563764e-10,9.396240e-20
/out0 (OFF=0.1956376) Y,2.517646e-01,5.674362e-10,-6.997933e-03,2.552423e-10,8.900214e-20
/out0 (OFF=0.1984899) Y,2.518145e-01,6.595989e-10,-7.544871e-03,2.592756e-10,8.627920e-20
/out0 (OFF=0.2013423) Y,2.518683e-01,7.660459e-10,-8.130923e-03,2.486139e-10,8.030354e-20
/out0 (OFF=0.2041946) Y,2.519263e-01,8.888614e-10,-8.758507e-03,2.424275e-10,8.012352e-20
/out0 (OFF=0.207047) Y,2.519887e-01,1.030410e-09,-9.430155e-03,2.151919e-10,6.280770e-20
/out0 (OFF=0.2098993) Y,2.520559e-01,1.193373e-09,-1.014851e-02,2.593769e-10,8.880558e-20
/out0 (OFF=0.2127517) Y,2.521282e-01,1.380783e-09,-1.091636e-02,2.236515e-10,1.876457e-19
/out0 (OFF=0.215604) Y,2.522060e-01,1.596068e-09,-1.173657e-02,2.234270e-10,7.340802e-20
/out0 (OFF=0.2184564) Y,2.522895e-01,1.843097e-09,-1.261219e-02,2.229078e-10,7.638542e-20
/out0 (OFF=0.2213087) Y,2.523793e-01,2.126335e-09,-1.350402e-02,2.318377e-10,7.013706e-20
/out0 (OFF=0.2241611) Y,2.524757e-01,2.450377e-09,-1.454222e-02,2.239793e-10,7.288502e-20
/out0 (OFF=0.2270134) Y,2.525792e-01,2.821053e-09,-1.560345e-02,2.942097e-10,5.551475e-19
/out0 (OFF=0.2298658) Y,2.526902e-01,3.244454e-09,-1.673349e-02,2.476945e-10,7.850395e-20
/out0 (OFF=0.2327181) Y,2.528091e-01,3.727527e-09,-1.793606e-02,2.221039e-10,7.002181e-20
/out0 (OFF=0.2355705) Y,2.529367e-01,4.278053e-09,-1.921500e-02,2.365760e-10,7.170528e-20
/out0 (OFF=0.2384228) Y,2.530732e-01,4.904738e-09,-2.057448e-02,2.363080e-10,7.564171e-20
/out0 (OFF=0.2412752) Y,2.532194e-01,5.617314e-09,-2.201841e-02,2.481922e-10,8.480417e-20
/out0 (OFF=0.2441275) Y,2.533758e-01,6.426647e-09,-2.355127e-02,2.413729e-10,7.761872e-20
/out0 (OFF=0.2469799) Y,2.535431e-01,7.344857e-09,-2.517761e-02,2.159754e-10,6.495379e-20
/out0 (OFF=0.2498322) Y,2.537218e-01,8.385456e-09,-2.690214e-02,2.486511e-10,8.331526e-20
/out0 (OFF=0.2526846) Y,2.539127e-01,9.563497e-09,-2.872966e-02,2.998862e-10,6.934706e-19
/out0 (OFF=0.2555369) Y,2.541166e-01,1.089573e-08,-3.066570e-02,2.715590e-10,9.218255e-20
/out0 (OFF=0.2583893) Y,2.543341e-01,1.240080e-08,-3.271523e-02,2.631838e-10,9.140533e-20
/out0 (OFF=0.2612416) Y,2.545662e-01,1.409942e-08,-3.488402e-02,2.525474e-10,8.055242e-20
/out0 (OFF=0.264094) Y,2.548135e-01,1.601465e-08,-3.717792e-02,2.733915e-10,9.286660e-20
/out0 (OFF=0.2669463) Y,2.550770e-01,1.817209e-08,-3.960311e-02,2.220155e-10,6.590412e-20
/out0 (OFF=0.2697987) Y,2.553577e-01,2.060019e-08,-4.216605e-02,2.657123e-10,9.378620e-20
/out0 (OFF=0.272651) Y,2.556564e-01,2.333058e-08,-4.487357e-02,2.603048e-10,8.862368e-20
/out0 (OFF=0.2755034) Y,2.559743e-01,2.639841e-08,-4.773283e-02,2.820128e-10,9.940075e-20
/out0 (OFF=0.2783557) Y,2.563123e-01,2.984274e-08,-5.075140e-02,2.402863e-10,7.548038e-20
/out0 (OFF=0.2812081) Y,2.566716e-01,3.370702e-08,-5.393731e-02,1.467015e-09,2.236132e-16
