FeaturesParamTransientACNPA.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.513236e-01,4.593398e-11,-1.991002e-03,2.346209e-10,8.193517e-20
/out0 (OFF=0.1528523) Y,2.513379e-01,5.402142e-11,-2.159059e-03,2.636616e-10,5.329095e-19
/out0 (OFF=0.1557047) Y,2.513533e-01,6.349567e-11,-2.340870e-03,3.956835e-10,3.043819e-18
/out0 (OFF=0.158557) Y,2.513700e-01,7.458658e-11,-2.537089e-03,2.563218e-10,8.461740e-20
/out0 (OFF=0.1614094) Y,2.513882e-01,8.756033e-11,-2.748903e-03,2.414532e-10,8.434488e-20
/out0 (OFF=0.1642617) Y,2.514078e-01,1.027249e-10,-2.977446e-03,2.490692e-10,1.676191e-19
/out0 (OFF=0.1671141) Y,2.514291e-01,1.204367e-10,-3.222498e-03,1.013143e-09,7.984057e-17
/out0 (OFF=0.1699664) Y,2.514522e-01,1.411054e-10,-3.490048e-03,4.452234e-10,6.994149e-18
/out0 (OFF=0.1728188) Y,2.514771e-01,1.652063e-10,-3.775899e-03,2.681688e-10,9.518246e-20
/out0 (OFF=0.1756711) Y,2.515041e-01,1.932844e-10,-4.084189e-03,2.263089e-10,6.911775e-20
/out0 (OFF=0.1785235) Y,2.515332e-01,2.259674e-10,-4.416018e-03,3.544393e-10,3.926131e-19
/out0 (OFF=0.1813758) Y,2.515648e-01,2.639765e-10,-4.772914e-03,2.524218e-10,9.009950e-20
/out0 (OFF=0.1842282) Y,2.515989e-01,3.081386e-10,-5.156821e-03,2.434937e-10,7.884748e-20
/out0 (OFF=0.1870805) Y,2.516357e-01,3.594019e-10,-5.569204e-03,3.089431e-10,3.931497e-19
/out0 (OFF=0.1899329) Y,2.516754e-01,4.188505e-10,-6.012285e-03,2.372805e-10,7.582768e-20
/out0 (OFF=0.1927852) Y,2.517183e-01,4.877239e-10,-6.487802e-03,2.621106e-10,1.026985e-19
/out0 (OFF=0.1956376) Y,2.517646e-01,5.674362e-10,-6.997931e-03,2.538149e-10,9.254025e-20
/out0 (OFF=0.1984899) Y,2.518145e-01,6.595996e-10,-7.543537e-03,9.449530e-10,6.863974e-17
/out0 (OFF=0.2013423) Y,2.518683e-01,7.660467e-10,-8.129584e-03,9.328887e-10,6.945840e-17
/out0 (OFF=0.2041946) Y,2.519263e-01,8.888614e-10,-8.758505e-03,2.894123e-10,1.267921e-19
/out0 (OFF=0.207047) Y,2.519888e-01,1.030787e-09,-9.536667e-03,5.418249e-08,4.399943e-13
/out0 (OFF=0.2098993) Y,2.520559e-01,1.193373e-09,-1.014851e-02,2.816167e-10,1.167894e-19
/out0 (OFF=0.2127517) Y,2.521282e-01,1.380783e-09,-1.091632e-02,3.106032e-10,1.577772e-19
/out0 (OFF=0.215604) Y,2.522060e-01,1.596068e-09,-1.173655e-02,2.934092e-10,1.326512e-19
/out0 (OFF=0.2184564) Y,2.522895e-01,1.843097e-09,-1.261208e-02,3.799140e-10,5.460062e-19
/out0 (OFF=0.2213087) Y,2.523793e-01,2.126331e-09,-1.350500e-02,8.405079e-10,3.852506e-17
/out0 (OFF=0.2241611) Y,2.524757e-01,2.450377e-09,-1.454221e-02,3.022547e-10,1.491883e-19
/out0 (OFF=0.2270134) Y,2.525792e-01,2.821053e-09,-1.560345e-02,4.081836e-10,6.585147e-19
/out0 (OFF=0.2298658) Y,2.526902e-01,3.244454e-09,-1.673349e-02,2.968392e-10,1.454612e-19
/out0 (OFF=0.2327181) Y,2.528091e-01,3.727527e-09,-1.793605e-02,3.704830e-10,2.050650e-19
/out0 (OFF=0.2355705) Y,2.529367e-01,4.278053e-09,-1.921499e-02,3.552196e-10,1.900335e-19
/out0 (OFF=0.2384228) Y,2.530732e-01,4.904738e-09,-2.057447e-02,4.309857e-10,2.802174e-19
