FeaturesParamTransientACNPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.513236e-01,4.593398e-11,-1.991002e-03,2.354663e-10,8.242351e-20
/out0 (OFF=0.1528523) Y,2.513379e-01,5.402140e-11,-2.159175e-03,2.105814e-10,6.688628e-20
/out0 (OFF=0.1557047) Y,2.513533e-01,6.349570e-11,-2.340710e-03,4.814981e-10,7.451583e-18
/out0 (OFF=0.158557) Y,2.513700e-01,7.458658e-11,-2.537089e-03,2.585066e-10,8.458022e-20
/out0 (OFF=0.1614094) Y,2.513882e-01,8.756033e-11,-2.748903e-03,2.411252e-10,8.397108e-20
/out0 (OFF=0.1642617) Y,2.514078e-01,1.027249e-10,-2.977446e-03,2.524009e-10,1.697595e-19
/out0 (OFF=0.1671141) Y,2.514291e-01,1.204363e-10,-3.223926e-03,2.946283e-10,1.111706e-19
/out0 (OFF=0.1699664) Y,2.514522e-01,1.411056e-10,-3.489121e-03,4.863450e-10,9.903297e-18
/out0 (OFF=0.1728188) Y,2.514771e-01,1.652317e-10,-3.753352e-03,1.169241e-08,1.971327e-14
/out0 (OFF=0.1756711) Y,2.515040e-01,1.933820e-10,-4.037399e-03,2.393171e-08,8.487280e-14
/out0 (OFF=0.1785235) Y,2.515332e-01,2.259674e-10,-4.415937e-03,3.139141e-10,1.324463e-19
/out0 (OFF=0.1813758) Y,2.515648e-01,2.639765e-10,-4.772914e-03,2.574185e-10,9.397659e-20
/out0 (OFF=0.1842282) Y,2.515989e-01,3.081386e-10,-5.156821e-03,2.456397e-10,7.994436e-20
/out0 (OFF=0.1870805) Y,2.516357e-01,3.594019e-10,-5.569204e-03,3.093418e-10,3.936617e-19
/out0 (OFF=0.1899329) Y,2.516754e-01,4.188505e-10,-6.012285e-03,2.374348e-10,7.570490e-20
/out0 (OFF=0.1927852) Y,2.517183e-01,4.877239e-10,-6.487802e-03,2.616942e-10,1.024765e-19
/out0 (OFF=0.1956376) Y,2.517646e-01,5.674362e-10,-6.997931e-03,2.536741e-10,9.220013e-20
/out0 (OFF=0.1984899) Y,2.518145e-01,6.595996e-10,-7.543525e-03,9.512364e-10,6.984347e-17
/out0 (OFF=0.2013423) Y,2.518683e-01,7.660467e-10,-8.129584e-03,9.323971e-10,6.945984e-17
/out0 (OFF=0.2041946) Y,2.519263e-01,8.888614e-10,-8.758505e-03,2.906156e-10,1.250012e-19
/out0 (OFF=0.207047) Y,2.519887e-01,1.030429e-09,-9.414607e-03,8.062418e-09,9.357126e-15
/out0 (OFF=0.2098993) Y,2.520559e-01,1.193373e-09,-1.014851e-02,2.812869e-10,1.167179e-19
/out0 (OFF=0.2127517) Y,2.521282e-01,1.380783e-09,-1.091632e-02,3.105514e-10,1.576762e-19
/out0 (OFF=0.215604) Y,2.522058e-01,1.599669e-09,-1.144092e-02,1.500692e-07,3.386597e-12
/out0 (OFF=0.2184564) Y,2.522895e-01,1.843097e-09,-1.261208e-02,3.806673e-10,5.469521e-19
/out0 (OFF=0.2213087) Y,2.523793e-01,2.126331e-09,-1.350500e-02,8.431425e-10,3.871459e-17
/out0 (OFF=0.2241611) Y,2.524757e-01,2.450377e-09,-1.454222e-02,3.060550e-10,1.500175e-19
/out0 (OFF=0.2270134) Y,2.525792e-01,2.821053e-09,-1.560345e-02,4.090833e-10,6.577794e-19
/out0 (OFF=0.2298658) Y,2.526902e-01,3.244454e-09,-1.673349e-02,2.956819e-10,1.454386e-19
/out0 (OFF=0.2327181) Y,2.528091e-01,3.727527e-09,-1.793605e-02,3.698196e-10,2.046151e-19
/out0 (OFF=0.2355705) Y,2.529367e-01,4.278053e-09,-1.921499e-02,3.567601e-10,1.907099e-19
/out0 (OFF=0.2384228) Y,2.530732e-01,4.904738e-09,-2.057447e-02,4.308482e-10,2.801331e-19
/out0 (OFF=0.2412752) Y,2.532194e-01,5.617531e-09,-2.195827e-02,3.090627e-08,1.401330e-13
/out0 (OFF=0.2441275) Y,2.533758e-01,6.426649e-09,-2.354980e-02,1.261501e-09,8.280698e-17
/out0 (OFF=0.2469799) Y,2.535431e-01,7.344877e-09,-2.516641e-02,6.238944e-09,4.849499e-15
/out0 (OFF=0.2498322) Y,2.537218e-01,8.385459e-09,-2.690067e-02,1.250010e-09,8.247244e-17
/out0 (OFF=0.2526846) Y,2.539127e-01,9.563497e-09,-2.872971e-02,6.395885e-10,6.347571e-19
/out0 (OFF=0.2555369) Y,2.541166e-01,1.089573e-08,-3.066569e-02,6.981249e-10,6.302119e-19
/out0 (OFF=0.2583893) Y,2.543341e-01,1.240080e-08,-3.271381e-02,1.397637e-09,7.869682e-17
/out0 (OFF=0.2612416) Y,2.545662e-01,1.409942e-08,-3.488379e-02,7.531607e-10,2.221016e-18
/out0 (OFF=0.264094) Y,2.548135e-01,1.601465e-08,-3.717701e-02,1.253954e-09,3.172139e-17
/out0 (OFF=0.2669463) Y,2.550770e-01,1.817209e-08,-3.960277e-02,9.995740e-10,4.751846e-18
/out0 (OFF=0.2697987) Y,2.553577e-01,2.060019e-08,-4.216604e-02,9.177807e-10,1.055121e-18
/out0 (OFF=0.272651) Y,2.556564e-01,2.333058e-08,-4.487355e-02,9.327003e-10,1.086929e-18
/out0 (OFF=0.2755034) Y,2.559743e-01,2.639841e-08,-4.773281e-02,1.090127e-09,1.473745e-18
/out0 (OFF=0.2783557) Y,2.563123e-01,2.984274e-08,-5.075139e-02,1.008698e-09,1.288337e-18
/out0 (OFF=0.2812081) Y,2.566716e-01,3.370702e-08,-5.393730e-02,2.254007e-09,2.248640e-16
/out0 (OFF=0.2840604) Y,2.570534e-01,3.803960e-08,-5.729904e-02,3.598090e-09,9.150013e-16
/out0 (OFF=0.2869128) Y,2.574589e-01,4.289430e-08,-6.084555e-02,1.297778e-09,2.320161e-18
/out0 (OFF=0.2897651) Y,2.578894e-01,4.833107e-08,-6.458600e-02,1.736529e-09,2.292508e-17
/out0 (OFF=0.2926174) Y,2.583463e-01,5.441678e-08,-6.853229e-02,1.590705e-09,4.972570e-18
/out0 (OFF=0.2954698) Y,2.588310e-01,6.122607e-08,-7.269388e-02,3.992146e-09,9.379480e-16
/out0 (OFF=0.2983221) Y,2.593451e-01,6.884232e-08,-7.708299e-02,1.607396e-09,3.243649e-18
/out0 (OFF=0.3011745) Y,2.598902e-01,7.735886e-08,-8.171203e-02,1.797037e-09,3.907010e-18
/out0 (OFF=0.3040268) Y,2.604678e-01,8.688024e-08,-8.659476e-02,1.825527e-09,4.300416e-18
/out0 (OFF=0.3068792) Y,2.610800e-01,9.752378e-08,-9.174587e-02,1.961855e-09,4.830492e-18
/out0 (OFF=0.3097315) Y,2.617284e-01,1.094214e-07,-9.718122e-02,2.087495e-09,5.445024e-18
/out0 (OFF=0.3125839) Y,2.624152e-01,1.227214e-07,-1.029181e-01,2.249135e-09,6.201582e-18
/out0 (OFF=0.3154362) Y,2.631425e-01,1.375916e-07,-1.089751e-01,2.403929e-09,7.100166e-18
/out0 (OFF=0.3182886) Y,2.639126e-01,1.542211e-07,-1.153727e-01,2.512072e-09,7.799031e-18
/out0 (OFF=0.3211409) Y,2.647278e-01,1.728246e-07,-1.221332e-01,2.680376e-09,9.035788e-18
/out0 (OFF=0.3239933) Y,2.655907e-01,1.936456e-07,-1.292810e-01,2.888218e-09,1.045871e-17
/out0 (OFF=0.3268456) Y,2.665041e-01,2.169617e-07,-1.368429e-01,3.085495e-09,1.186441e-17
/out0 (OFF=0.329698) Y,2.674710e-01,2.430893e-07,-1.448483e-01,3.329702e-09,1.375877e-17
/out0 (OFF=0.3325503) Y,2.684945e-01,2.723909e-07,-1.533296e-01,3.581891e-09,1.596890e-17
/out0 (OFF=0.3354027) Y,2.695779e-01,3.052826e-07,-1.623086e-01,1.111086e-08,8.285776e-15
/out0 (OFF=0.338255) Y,2.707250e-01,3.422431e-07,-1.718644e-01,6.242360e-09,7.181276e-16
/out0 (OFF=0.3411074) Y,2.719396e-01,3.838261e-07,-1.820103e-01,4.414925e-09,2.403566e-17
/out0 (OFF=0.3439597) Y,2.732261e-01,4.306730e-07,-1.927975e-01,4.813106e-09,2.942572e-17
/out0 (OFF=0.3468121) Y,2.745891e-01,4.835300e-07,-2.042855e-01,5.404924e-09,5.264844e-17
/out0 (OFF=0.3496644) Y,2.760335e-01,5.432687e-07,-2.165364e-01,6.006588e-09,9.580658e-17
/out0 (OFF=0.3525168) Y,2.775649e-01,6.109107e-07,-2.295916e-01,2.138440e-08,3.679419e-14
/out0 (OFF=0.3553691) Y,2.791893e-01,6.876575e-07,-2.436045e-01,1.354257e-08,7.857802e-15
/out0 (OFF=0.3582215) Y,2.809132e-01,7.749304e-07,-2.586157e-01,6.890660e-08,5.811739e-13
/out0 (OFF=0.3610738) Y,2.827439e-01,8.744166e-07,-2.747144e-01,7.565650e-09,7.138893e-17
/out0 (OFF=0.3639262) Y,2.846892e-01,9.881274e-07,-2.920297e-01,7.981777e-09,7.895202e-17
/out0 (OFF=0.3667785) Y,2.867581e-01,1.118473e-06,-3.106933e-01,8.734913e-09,9.474274e-17
/out0 (OFF=0.3696309) Y,2.889602e-01,1.268353e-06,-3.308451e-01,1.444721e-08,3.754136e-15
/out0 (OFF=0.3724832) Y,2.913063e-01,1.441285e-06,-3.524523e-01,1.290515e-07,2.128059e-12
/out0 (OFF=0.3753356) Y,2.938090e-01,1.641514e-06,-3.763365e-01,3.733569e-08,1.016602e-13
/out0 (OFF=0.3781879) Y,2.964816e-01,1.874268e-06,-4.021859e-01,1.253441e-08,1.963042e-16
/out0 (OFF=0.3810403) Y,2.993393e-01,2.145939e-06,-4.303452e-01,1.382943e-08,2.366366e-16
/out0 (OFF=0.3838926) Y,3.023995e-01,2.464412e-06,-4.611317e-01,3.518225e-08,6.008252e-14
/out0 (OFF=0.386745) Y,3.056818e-01,2.839447e-06,-4.950160e-01,1.701603e-08,3.592279e-16
/out0 (OFF=0.3895973) Y,3.092080e-01,3.283191e-06,-5.320075e-01,1.604983e-07,3.028657e-12
/out0 (OFF=0.3924497) Y,3.130039e-01,3.810715e-06,-5.734539e-01,1.123419e-07,1.247066e-12
/out0 (OFF=0.395302) Y,3.170974e-01,4.440878e-06,-6.190497e-01,2.423193e-08,7.279274e-16
/out0 (OFF=0.3981544) Y,3.215214e-01,5.197066e-06,-6.696784e-01,2.761525e-08,9.520689e-16
/out0 (OFF=0.4010067) Y,3.263126e-01,6.108158e-06,-7.260045e-01,3.072048e-08,1.172421e-15
/out0 (OFF=0.4038591) Y,3.315126e-01,7.209274e-06,-7.887269e-01,3.504837e-08,1.523513e-15
/out0 (OFF=0.4067114) Y,3.371677e-01,8.541961e-06,-8.585337e-01,4.019342e-08,2.003120e-15
/out0 (OFF=0.4095638) Y,3.433286e-01,1.015292e-05,-9.359940e-01,4.659583e-08,2.673385e-15
/out0 (OFF=0.4124161) Y,3.500487e-01,1.208980e-05,-1.021178e+00,1.574825e-07,1.654061e-12
/out0 (OFF=0.4152685) Y,3.573818e-01,1.439189e-05,-1.114400e+00,6.637629e-08,8.260757e-15
/out0 (OFF=0.4181208) Y,3.653761e-01,1.707441e-05,-1.213860e+00,7.194307e-08,6.405371e-15
/out0 (OFF=0.4209732) Y,3.740675e-01,2.010788e-05,-1.317329e+00,8.130546e-08,8.165724e-15
/out0 (OFF=0.4238255) Y,3.834712e-01,2.340292e-05,-1.421226e+00,9.182478e-08,1.043402e-14
