FeaturesParamTransientACNPP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,2.513236e-01,4.593398e-11,-1.991002e-03,2.381156e-10,8.330493e-20
/out0 (OFF=0.1528523) Y,2.513379e-01,5.402142e-11,-2.159059e-03,2.696224e-10,5.361168e-19
/out0 (OFF=0.1557047) Y,2.513533e-01,6.349557e-11,-2.341605e-03,4.885199e-10,8.265016e-18
/out0 (OFF=0.158557) Y,2.513700e-01,7.458658e-11,-2.537089e-03,2.570292e-10,8.438761e-20
/out0 (OFF=0.1614094) Y,2.513882e-01,8.756033e-11,-2.748903e-03,2.419338e-10,8.444229e-20
/out0 (OFF=0.1642617) Y,2.514078e-01,1.027249e-10,-2.977446e-03,2.499057e-10,1.681413e-19
/out0 (OFF=0.1671141) Y,2.514291e-01,1.204363e-10,-3.223926e-03,2.934142e-10,1.102459e-19
/out0 (OFF=0.1699664) Y,2.514522e-01,1.411055e-10,-3.489625e-03,2.320290e-10,7.199214e-20
/out0 (OFF=0.1728188) Y,2.514771e-01,1.652072e-10,-3.773177e-03,1.646785e-09,2.882594e-16
/out0 (OFF=0.1756711) Y,2.515040e-01,1.933603e-10,-4.043308e-03,2.093753e-08,6.479318e-14
/out0 (OFF=0.1785235) Y,2.515332e-01,2.259674e-10,-4.415937e-03,3.134005e-10,1.323479e-19
/out0 (OFF=0.1813758) Y,2.515648e-01,2.639764e-10,-4.772913e-03,2.521678e-10,8.975595e-20
/out0 (OFF=0.1842282) Y,2.515989e-01,3.081386e-10,-5.156821e-03,2.431024e-10,7.855793e-20
/out0 (OFF=0.1870805) Y,2.516357e-01,3.594019e-10,-5.569203e-03,3.066653e-10,3.920691e-19
/out0 (OFF=0.1899329) Y,2.516754e-01,4.188505e-10,-6.012285e-03,2.374790e-10,7.587723e-20
/out0 (OFF=0.1927852) Y,2.517183e-01,4.877239e-10,-6.487802e-03,2.607741e-10,1.006325e-19
/out0 (OFF=0.1956376) Y,2.517646e-01,5.674362e-10,-6.997931e-03,2.538819e-10,9.238917e-20
