FeaturesParamTransientACPPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out0 (OFF=0.15) Y,7.683973e-02,5.960654e-16,-7.169564e-06,1.744839e-01,3.044463e-02
/out0 (OFF=0.1528523) Y,7.683978e-02,7.024169e-16,-7.629572e-06,1.744981e-01,3.044958e-02
/out0 (OFF=0.1557047) Y,7.683983e-02,8.250363e-16,-8.422924e-06,1.745135e-01,3.045495e-02
/out0 (OFF=0.158557) Y,7.683989e-02,4.247500e-15,4.006248e-08,1.745301e-01,3.046077e-02
/out0 (OFF=0.1614094) Y,7.683996e-02,1.206269e-15,-8.610001e-06,1.745482e-01,3.046708e-02
/out0 (OFF=0.1642617) Y,7.683976e-02,1.065148e-11,5.138160e-04,1.745681e-01,3.047401e-02
/out0 (OFF=0.1671141) Y,7.684011e-02,1.591838e-15,-1.088879e-05,1.745890e-01,3.048132e-02
/out0 (OFF=0.1699664) Y,7.684019e-02,1.876966e-15,-1.164127e-05,1.746120e-01,3.048934e-02
/out0 (OFF=0.1728188) Y,7.684028e-02,2.177376e-15,-1.292004e-05,1.746368e-01,3.049802e-02
/out0 (OFF=0.1756711) Y,7.684036e-02,4.442297e-14,1.810515e-05,1.746637e-01,3.050741e-02
/out0 (OFF=0.1785235) Y,7.684046e-02,6.045397e-14,2.253615e-05,1.746928e-01,3.051757e-02
/out0 (OFF=0.1813758) Y,7.684060e-02,3.537401e-15,-1.582828e-05,1.747242e-01,3.052854e-02
/out0 (OFF=0.1842282) Y,7.684072e-02,4.112109e-15,-1.729444e-05,1.747581e-01,3.054041e-02
/out0 (OFF=0.1870805) Y,7.684085e-02,4.756740e-15,-1.913719e-05,1.747948e-01,3.055323e-02
/out0 (OFF=0.1899329) Y,7.684083e-02,4.290101e-12,3.108322e-04,1.748346e-01,3.056713e-02
/out0 (OFF=0.1927852) Y,7.684115e-02,7.638893e-15,-1.791374e-05,1.748772e-01,3.058203e-02
/out0 (OFF=0.1956376) Y,7.684093e-02,2.336811e-11,7.517646e-04,1.749237e-01,3.059829e-02
/out0 (OFF=0.1984899) Y,7.684149e-02,3.691223e-14,-4.243597e-07,1.749730e-01,3.061556e-02
/out0 (OFF=0.2013423) Y,7.684170e-02,1.010594e-14,-2.953247e-05,1.750266e-01,3.063432e-02
/out0 (OFF=0.2041946) Y,7.684191e-02,1.182479e-14,-3.038910e-05,1.750844e-01,3.065454e-02
/out0 (OFF=0.207047) Y,7.684213e-02,1.371267e-14,-3.285263e-05,1.751466e-01,3.067632e-02
/out0 (OFF=0.2098993) Y,7.684238e-02,1.588973e-14,-3.549004e-05,1.752135e-01,3.069978e-02
/out0 (OFF=0.2127517) Y,7.684264e-02,1.839761e-14,-3.831198e-05,1.752856e-01,3.072503e-02
/out0 (OFF=0.215604) Y,7.684293e-02,2.128346e-14,-4.132948e-05,1.753630e-01,3.075219e-02
/out0 (OFF=0.2184564) Y,7.684323e-02,2.460063e-14,-4.455411e-05,1.754463e-01,3.078140e-02
/out0 (OFF=0.2213087) Y,7.684356e-02,2.840939e-14,-4.799795e-05,1.755357e-01,3.081279e-02
/out0 (OFF=0.2241611) Y,7.684391e-02,3.277771e-14,-5.167355e-05,1.756318e-01,3.084653e-02
/out0 (OFF=0.2270134) Y,7.684429e-02,3.778219e-14,-5.559410e-05,1.757349e-01,3.088275e-02
/out0 (OFF=0.2298658) Y,7.684469e-02,4.350898e-14,-5.977323e-05,1.758455e-01,3.092163e-02
/out0 (OFF=0.2327181) Y,7.684513e-02,5.005487e-14,-6.422519e-05,1.759640e-01,3.096334e-02
/out0 (OFF=0.2355705) Y,7.684560e-02,5.752847e-14,-6.896479e-05,1.760911e-01,3.100806e-02
/out0 (OFF=0.2384228) Y,7.684610e-02,6.605146e-14,-7.400742e-05,1.762271e-01,3.105600e-02
/out0 (OFF=0.2412752) Y,7.684663e-02,7.576003e-14,-7.936908e-05,1.763728e-01,3.110736e-02
/out0 (OFF=0.2441275) Y,7.684721e-02,8.680638e-14,-8.506635e-05,1.765286e-01,3.116235e-02
/out0 (OFF=0.2469799) Y,7.684782e-02,9.936042e-14,-9.111650e-05,1.766952e-01,3.122121e-02
/out0 (OFF=0.2498322) Y,7.684848e-02,1.136116e-13,-9.753741e-05,1.768733e-01,3.128418e-02
/out0 (OFF=0.2526846) Y,7.684918e-02,1.297709e-13,-1.043476e-04,1.770635e-01,3.135151e-02
/out0 (OFF=0.2555369) Y,7.684993e-02,1.480730e-13,-1.115664e-04,1.772666e-01,3.142347e-02
/out0 (OFF=0.2583893) Y,7.685074e-02,1.687789e-13,-1.192136e-04,1.774834e-01,3.150036e-02
/out0 (OFF=0.2612416) Y,7.685159e-02,1.921781e-13,-1.273102e-04,1.777145e-01,3.158247e-02
/out0 (OFF=0.264094) Y,7.685250e-02,2.185917e-13,-1.358774e-04,1.779610e-01,3.167012e-02
/out0 (OFF=0.2669463) Y,7.685348e-02,2.483757e-13,-1.449375e-04,1.782235e-01,3.176363e-02
/out0 (OFF=0.2697987) Y,7.685452e-02,2.819242e-13,-1.545138e-04,1.785031e-01,3.186338e-02
/out0 (OFF=0.272651) Y,7.685562e-02,3.196731e-13,-1.646302e-04,1.788007e-01,3.196973e-02
