FeaturesParamTransientDCAAP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,1.844347e-01,1.380617e-23,3.853022e-11
/out0 (Vin=0.01073826) Y,1.844347e-01,2.791671e-23,-8.140433e-11
/out0 (Vin=0.02147651) Y,1.844347e-01,2.012003e-22,-1.582790e-10
/out0 (Vin=0.03221477) Y,1.844347e-01,1.007847e-23,-1.278650e-10
/out0 (Vin=0.04295302) Y,1.844347e-01,2.118100e-23,-7.725364e-12
/out0 (Vin=0.05369128) Y,1.844347e-01,1.955900e-23,1.228813e-10
/out0 (Vin=0.06442953) Y,1.844347e-01,4.270232e-23,-1.333133e-11
/out0 (Vin=0.07516779) Y,1.844348e-01,4.349655e-23,9.519075e-12
/out0 (Vin=0.08590604) Y,1.844348e-01,7.847365e-23,6.821027e-11
/out0 (Vin=0.0966443) Y,1.844349e-01,3.170595e-23,-4.126757e-11
/out0 (Vin=0.1073826) Y,1.844350e-01,1.413163e-23,-2.968356e-11
/out0 (Vin=0.1181208) Y,1.844351e-01,1.056736e-15,-5.225484e-06
/out0 (Vin=0.1288591) Y,1.844353e-01,3.510711e-23,-2.516200e-12
/out0 (Vin=0.1395973) Y,1.844355e-01,1.065882e-22,-5.238169e-11
/out0 (Vin=0.1503356) Y,1.844359e-01,2.884354e-23,1.257510e-11
/out0 (Vin=0.1610738) Y,1.844363e-01,3.426283e-23,5.916696e-11
/out0 (Vin=0.1718121) Y,1.844369e-01,2.793003e-23,-3.549941e-11
/out0 (Vin=0.1825503) Y,1.844377e-01,2.628244e-22,-5.614997e-11
/out0 (Vin=0.1932886) Y,1.844388e-01,7.127331e-23,3.605725e-11
/out0 (Vin=0.2040268) Y,1.844402e-01,3.856373e-23,-1.273926e-11
/out0 (Vin=0.2147651) Y,1.844421e-01,1.012886e-22,2.249086e-11
/out0 (Vin=0.2255034) Y,1.844446e-01,8.147966e-23,-1.561310e-10
/out0 (Vin=0.2362416) Y,1.844478e-01,8.980831e-24,-2.211493e-11
/out0 (Vin=0.2469799) Y,1.844519e-01,5.016499e-23,1.578142e-11
/out0 (Vin=0.2577181) Y,1.844572e-01,4.623309e-23,5.256495e-11
/out0 (Vin=0.2684564) Y,1.844639e-01,6.008531e-24,4.079001e-11
/out0 (Vin=0.2791946) Y,1.844723e-01,4.122531e-24,1.536374e-11
/out0 (Vin=0.2899329) Y,1.844827e-01,3.493462e-24,3.907566e-11
/out0 (Vin=0.3006711) Y,1.844955e-01,1.082582e-23,4.025998e-11
/out0 (Vin=0.3114094) Y,1.845111e-01,2.437025e-22,6.566336e-11
/out0 (Vin=0.3221477) Y,1.845300e-01,1.052866e-22,9.987790e-11
/out0 (Vin=0.3328859) Y,1.845527e-01,2.548681e-23,6.255518e-11
/out0 (Vin=0.3436242) Y,1.845797e-01,1.000016e-23,1.372312e-11
/out0 (Vin=0.3543624) Y,1.846117e-01,4.654997e-16,3.465598e-06
/out0 (Vin=0.3651007) Y,1.846494e-01,9.588998e-16,-4.977888e-06
/out0 (Vin=0.3758389) Y,1.846935e-01,5.203737e-23,-2.161126e-11
/out0 (Vin=0.3865772) Y,1.847449e-01,1.175340e-22,1.565055e-10
/out0 (Vin=0.3973154) Y,1.848046e-01,1.442606e-22,-1.524038e-10
/out0 (Vin=0.4080537) Y,1.848738e-01,2.328499e-23,5.463319e-11
/out0 (Vin=0.4187919) Y,1.849542e-01,3.110810e-23,-3.148433e-11
/out0 (Vin=0.4295302) Y,1.850477e-01,4.399822e-23,1.332863e-10
/out0 (Vin=0.4402685) Y,1.851572e-01,1.365332e-23,3.524317e-11
/out0 (Vin=0.4510067) Y,1.852871e-01,5.315049e-23,-1.120703e-10
/out0 (Vin=0.461745) Y,1.854441e-01,1.032113e-23,5.061478e-11
