FeaturesParamTransientDCANN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,1.844347e-01,7.345605e-23,-2.516052e-11
/out0 (Vin=0.01073826) Y,1.844347e-01,1.173485e-23,-1.471153e-11
/out0 (Vin=0.02147651) Y,1.844347e-01,1.457524e-22,1.642712e-11
/out0 (Vin=0.03221477) Y,1.844347e-01,8.481682e-16,-4.681694e-06
/out0 (Vin=0.04295302) Y,1.844347e-01,7.385968e-24,2.841048e-11
/out0 (Vin=0.05369128) Y,1.844347e-01,2.264213e-23,-1.617723e-11
/out0 (Vin=0.06442953) Y,1.844347e-01,2.173389e-23,1.049244e-11
/out0 (Vin=0.07516779) Y,1.844348e-01,2.961912e-23,1.869805e-11
/out0 (Vin=0.08590604) Y,1.844348e-01,5.033103e-23,1.043211e-11
/out0 (Vin=0.0966443) Y,1.844349e-01,3.436467e-24,-8.425001e-11
/out0 (Vin=0.1073826) Y,1.844350e-01,7.301120e-23,-8.519720e-11
/out0 (Vin=0.1181208) Y,1.844351e-01,4.352736e-23,-8.497001e-11
/out0 (Vin=0.1288591) Y,1.844353e-01,3.182041e-23,7.445174e-11
/out0 (Vin=0.1395973) Y,1.844355e-01,6.581271e-20,4.116558e-08
/out0 (Vin=0.1503356) Y,1.844359e-01,4.110844e-21,1.032155e-08
/out0 (Vin=0.1610738) Y,1.844363e-01,3.609004e-22,-1.416582e-10
/out0 (Vin=0.1718121) Y,1.844369e-01,3.029986e-22,1.590953e-10
/out0 (Vin=0.1825503) Y,1.844377e-01,3.228825e-22,2.217099e-10
/out0 (Vin=0.1932886) Y,1.844388e-01,1.681353e-22,1.589118e-10
/out0 (Vin=0.2040268) Y,1.844402e-01,4.159699e-23,3.676981e-11
/out0 (Vin=0.2147651) Y,1.844421e-01,1.031392e-22,-1.154673e-10
/out0 (Vin=0.2255034) Y,1.844446e-01,1.495735e-23,-4.470349e-11
/out0 (Vin=0.2362416) Y,1.844478e-01,2.111907e-23,3.898267e-11
/out0 (Vin=0.2469799) Y,1.844519e-01,4.167394e-23,-1.143978e-10
/out0 (Vin=0.2577181) Y,1.844572e-01,1.431625e-23,1.733138e-11
/out0 (Vin=0.2684564) Y,1.844639e-01,9.479825e-23,1.193564e-10
/out0 (Vin=0.2791946) Y,1.844723e-01,4.391404e-23,7.955997e-11
/out0 (Vin=0.2899329) Y,1.844827e-01,5.874418e-23,1.494794e-10
/out0 (Vin=0.3006711) Y,1.844955e-01,2.020829e-23,6.749405e-11
/out0 (Vin=0.3114094) Y,1.845111e-01,4.330075e-23,-1.046244e-10
/out0 (Vin=0.3221477) Y,1.845300e-01,5.358832e-23,-5.573374e-11
/out0 (Vin=0.3328859) Y,1.845527e-01,8.886478e-24,-5.466783e-12
/out0 (Vin=0.3436242) Y,1.845797e-01,7.710531e-23,4.538410e-11
/out0 (Vin=0.3543624) Y,1.846117e-01,3.132803e-23,4.882350e-12
/out0 (Vin=0.3651007) Y,1.846494e-01,3.788194e-16,-3.128740e-06
/out0 (Vin=0.3758389) Y,1.846935e-01,1.820705e-23,-6.685417e-11
/out0 (Vin=0.3865772) Y,1.847449e-01,5.053076e-23,-1.614679e-11
