FeaturesParamTransientDCAPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,1.844347e-01,1.815271e-23,-1.365304e-10
/out0 (Vin=0.01073826) Y,1.844347e-01,7.892916e-23,7.544645e-11
/out0 (Vin=0.02147651) Y,1.844347e-01,1.902193e-16,2.214515e-06
/out0 (Vin=0.03221477) Y,1.844347e-01,2.960826e-23,-5.298755e-11
/out0 (Vin=0.04295302) Y,1.844347e-01,2.940204e-22,2.282094e-10
/out0 (Vin=0.05369128) Y,1.844347e-01,3.764173e-23,5.765279e-11
/out0 (Vin=0.06442953) Y,1.844347e-01,5.431709e-23,3.332760e-11
/out0 (Vin=0.07516779) Y,1.844348e-01,5.599932e-23,1.181078e-10
/out0 (Vin=0.08590604) Y,1.844348e-01,4.330525e-22,-2.202266e-10
/out0 (Vin=0.0966443) Y,1.844349e-01,1.653448e-23,4.539197e-11
/out0 (Vin=0.1073826) Y,1.844350e-01,1.131492e-22,-1.069313e-11
/out0 (Vin=0.1181208) Y,1.844351e-01,3.761795e-23,3.222658e-11
/out0 (Vin=0.1288591) Y,1.844353e-01,1.364678e-23,-3.396040e-12
/out0 (Vin=0.1395973) Y,1.844355e-01,3.191738e-23,-7.400242e-11
/out0 (Vin=0.1503356) Y,1.844359e-01,1.709240e-18,2.101410e-07
/out0 (Vin=0.1610738) Y,1.844363e-01,1.643618e-22,-1.689681e-11
/out0 (Vin=0.1718121) Y,1.844369e-01,4.201384e-22,2.971073e-09
/out0 (Vin=0.1825503) Y,1.844377e-01,3.291548e-21,9.083100e-09
/out0 (Vin=0.1932886) Y,1.844388e-01,8.966043e-19,1.520257e-07
/out0 (Vin=0.2040268) Y,1.844402e-01,2.953426e-20,2.759792e-08
/out0 (Vin=0.2147651) Y,1.844421e-01,3.493125e-21,9.419447e-09
/out0 (Vin=0.2255034) Y,1.844446e-01,3.526666e-21,9.559350e-09
/out0 (Vin=0.2362416) Y,1.844478e-01,3.593446e-21,9.620188e-09
/out0 (Vin=0.2469799) Y,1.844519e-01,3.758234e-21,9.722312e-09
/out0 (Vin=0.2577181) Y,1.844572e-01,7.138472e-23,-1.195289e-10
/out0 (Vin=0.2684564) Y,1.844639e-01,4.388245e-18,3.365470e-07
/out0 (Vin=0.2791946) Y,1.844723e-01,3.155740e-22,-1.256568e-10
/out0 (Vin=0.2899329) Y,1.844827e-01,5.402406e-23,8.515518e-11
/out0 (Vin=0.3006711) Y,1.844955e-01,1.403403e-22,-2.086424e-10
/out0 (Vin=0.3114094) Y,1.845111e-01,1.995719e-21,7.189568e-09
/out0 (Vin=0.3221477) Y,1.845300e-01,1.624593e-23,-4.695551e-11
/out0 (Vin=0.3328859) Y,1.845527e-01,6.358124e-23,-6.871295e-11
/out0 (Vin=0.3436242) Y,1.845797e-01,1.604257e-22,-1.179957e-10
/out0 (Vin=0.3543624) Y,1.846117e-01,1.200718e-18,1.760532e-07
/out0 (Vin=0.3651007) Y,1.846494e-01,7.495793e-24,1.430579e-11
/out0 (Vin=0.3758389) Y,1.846935e-01,1.626800e-22,6.782635e-11
/out0 (Vin=0.3865772) Y,1.847449e-01,1.573274e-23,5.489689e-11
/out0 (Vin=0.3973154) Y,1.848046e-01,2.438578e-22,-7.716436e-11
/out0 (Vin=0.4080537) Y,1.848738e-01,9.314566e-24,-5.293608e-11
/out0 (Vin=0.4187919) Y,1.849542e-01,8.539944e-24,-7.775728e-11
/out0 (Vin=0.4295302) Y,1.850477e-01,2.924758e-23,-8.266355e-11
/out0 (Vin=0.4402685) Y,1.851572e-01,1.964322e-23,1.654508e-12
/out0 (Vin=0.4510067) Y,1.852871e-01,1.447823e-23,-5.333481e-11
/out0 (Vin=0.461745) Y,1.854441e-01,1.567799e-23,1.699583e-11
/out0 (Vin=0.4724832) Y,1.856404e-01,9.393965e-23,6.013070e-11
/out0 (Vin=0.4832215) Y,1.859001e-01,5.395478e-23,5.824684e-11
/out0 (Vin=0.4939597) Y,1.862813e-01,8.719732e-23,9.991181e-11
/out0 (Vin=0.504698) Y,1.869621e-01,2.522043e-22,-1.322397e-10
/out0 (Vin=0.5154362) Y,1.884637e-01,2.108614e-23,-1.342222e-10
/out0 (Vin=0.5261745) Y,1.911490e-01,9.107889e-23,-4.474567e-11
/out0 (Vin=0.5369128) Y,1.948143e-01,6.410600e-23,1.391029e-10
/out0 (Vin=0.547651) Y,1.993577e-01,2.192015e-23,1.289885e-11
/out0 (Vin=0.5583893) Y,2.049901e-01,1.192610e-22,1.749787e-10
