FeaturesParamTransientDCAPN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,1.844347e-01,1.864808e-23,3.701912e-11
/out0 (Vin=0.01073826) Y,1.844347e-01,1.101990e-23,4.921773e-11
/out0 (Vin=0.02147651) Y,1.844347e-01,1.902338e-16,2.214556e-06
/out0 (Vin=0.03221477) Y,1.844347e-01,8.904384e-24,-6.680313e-12
/out0 (Vin=0.04295302) Y,1.844347e-01,7.573337e-23,5.119656e-11
/out0 (Vin=0.05369128) Y,1.844347e-01,1.423400e-22,1.335477e-10
/out0 (Vin=0.06442953) Y,1.844347e-01,4.548280e-24,8.587631e-12
/out0 (Vin=0.07516779) Y,1.844348e-01,4.920922e-23,1.252178e-10
/out0 (Vin=0.08590604) Y,1.844348e-01,1.547620e-22,1.672744e-10
/out0 (Vin=0.0966443) Y,1.844349e-01,1.973777e-22,-9.464765e-11
/out0 (Vin=0.1073826) Y,1.844350e-01,5.493059e-23,-2.885316e-11
/out0 (Vin=0.1181208) Y,1.844351e-01,1.676945e-22,1.154951e-10
/out0 (Vin=0.1288591) Y,1.844353e-01,1.760029e-22,-2.134158e-10
/out0 (Vin=0.1395973) Y,1.844355e-01,5.563928e-18,3.788041e-07
/out0 (Vin=0.1503356) Y,1.844359e-01,1.709454e-18,2.101813e-07
/out0 (Vin=0.1610738) Y,1.844363e-01,1.053577e-22,1.256616e-10
/out0 (Vin=0.1718121) Y,1.844369e-01,3.512936e-22,2.906633e-09
/out0 (Vin=0.1825503) Y,1.844377e-01,3.289339e-21,9.104725e-09
/out0 (Vin=0.1932886) Y,1.844388e-01,8.966047e-19,1.519801e-07
/out0 (Vin=0.2040268) Y,1.844402e-01,3.552407e-20,3.020066e-08
/out0 (Vin=0.2147651) Y,1.844421e-01,3.612027e-21,9.178197e-09
/out0 (Vin=0.2255034) Y,1.844446e-01,3.496541e-21,9.475384e-09
/out0 (Vin=0.2362416) Y,1.844478e-01,3.625750e-21,9.698120e-09
/out0 (Vin=0.2469799) Y,1.844519e-01,3.754767e-21,9.717616e-09
/out0 (Vin=0.2577181) Y,1.844572e-01,1.223432e-23,-1.892229e-11
/out0 (Vin=0.2684564) Y,1.844639e-01,4.388190e-18,3.364586e-07
/out0 (Vin=0.2791946) Y,1.844723e-01,2.509569e-23,4.307901e-11
/out0 (Vin=0.2899329) Y,1.844827e-01,5.287016e-23,2.332467e-10
/out0 (Vin=0.3006711) Y,1.844955e-01,4.098087e-21,1.022345e-08
/out0 (Vin=0.3114094) Y,1.845111e-01,3.384701e-21,9.340892e-09
/out0 (Vin=0.3221477) Y,1.845300e-01,2.903592e-23,1.311459e-11
/out0 (Vin=0.3328859) Y,1.845527e-01,3.036896e-23,3.413902e-11
/out0 (Vin=0.3436242) Y,1.845797e-01,4.163262e-24,9.744858e-12
/out0 (Vin=0.3543624) Y,1.846117e-01,2.262119e-18,2.415666e-07
/out0 (Vin=0.3651007) Y,1.846494e-01,2.851364e-23,-8.256905e-11
/out0 (Vin=0.3758389) Y,1.846935e-01,1.223250e-22,-1.208848e-10
/out0 (Vin=0.3865772) Y,1.847449e-01,2.020892e-22,-1.519524e-10
/out0 (Vin=0.3973154) Y,1.848046e-01,2.340947e-23,-8.097264e-11
/out0 (Vin=0.4080537) Y,1.848738e-01,6.856980e-23,-1.533068e-11
/out0 (Vin=0.4187919) Y,1.849542e-01,5.245171e-23,-9.503640e-11
/out0 (Vin=0.4295302) Y,1.850477e-01,2.951945e-23,-2.474646e-11
/out0 (Vin=0.4402685) Y,1.851572e-01,1.356000e-22,-3.861383e-11
/out0 (Vin=0.4510067) Y,1.852871e-01,2.128516e-23,6.445111e-12
/out0 (Vin=0.461745) Y,1.854441e-01,2.145859e-22,-1.422845e-10
/out0 (Vin=0.4724832) Y,1.856404e-01,8.974115e-23,-5.842681e-11
/out0 (Vin=0.4832215) Y,1.859001e-01,8.919690e-24,-7.821999e-11
/out0 (Vin=0.4939597) Y,1.862813e-01,4.602487e-23,-1.145297e-10
/out0 (Vin=0.504698) Y,1.869621e-01,1.765674e-22,-2.617809e-12
/out0 (Vin=0.5154362) Y,1.884637e-01,3.103620e-23,-1.464756e-10
/out0 (Vin=0.5261745) Y,1.911490e-01,2.718318e-23,-3.447684e-11
/out0 (Vin=0.5369128) Y,1.948143e-01,3.886235e-23,-1.302982e-11
/out0 (Vin=0.547651) Y,1.993577e-01,7.325932e-23,-3.736754e-11
/out0 (Vin=0.5583893) Y,2.049901e-01,1.173581e-23,2.270991e-11
/out0 (Vin=0.5691275) Y,2.121031e-01,1.383017e-23,-1.326775e-10
/out0 (Vin=0.5798658) Y,2.214469e-01,2.181346e-22,-6.890437e-11
/out0 (Vin=0.590604) Y,2.354568e-01,3.772967e-22,-2.768293e-10
/out0 (Vin=0.6013423) Y,2.639883e-01,4.302790e-22,4.788695e-10
/out0 (Vin=0.6120805) Y,4.431949e-01,6.377306e-17,1.279067e-06
/out0 (Vin=0.6228188) Y,1.290478e+00,1.857995e-17,-6.883350e-07
/out0 (Vin=0.633557) Y,1.433726e+00,1.199446e-22,1.415723e-10
/out0 (Vin=0.6442953) Y,1.434578e+00,1.240650e-20,8.573150e-08
/out0 (Vin=0.6550336) Y,1.434633e+00,2.615375e-22,4.452117e-09
/out0 (Vin=0.6657718) Y,1.434649e+00,9.979108e-23,3.183267e-09
/out0 (Vin=0.6765101) Y,1.434658e+00,1.270821e-22,2.839816e-09
/out0 (Vin=0.6872483) Y,1.434665e+00,2.815991e-23,3.641327e-10
/out0 (Vin=0.6979866) Y,1.434670e+00,1.999801e-23,1.005034e-09
/out0 (Vin=0.7087248) Y,1.434674e+00,2.828742e-22,9.560599e-09
/out0 (Vin=0.7194631) Y,1.434677e+00,1.152332e-22,1.766772e-10
/out0 (Vin=0.7302013) Y,1.434680e+00,4.275238e-22,1.951022e-08
/out0 (Vin=0.7409396) Y,1.434682e+00,1.188746e-22,2.137524e-09
/out0 (Vin=0.7516779) Y,1.434684e+00,1.720914e-21,3.845132e-08
/out0 (Vin=0.7624161) Y,1.434686e+00,9.160722e-23,7.252698e-10
/out0 (Vin=0.7731544) Y,1.434687e+00,1.145183e-23,7.936805e-10
/out0 (Vin=0.7838926) Y,1.434689e+00,1.728747e-22,7.016498e-11
/out0 (Vin=0.7946309) Y,1.434690e+00,1.726925e-22,7.725807e-09
/out0 (Vin=0.8053691) Y,1.434691e+00,4.487834e-22,1.604837e-08
/out0 (Vin=0.8161074) Y,1.434692e+00,8.143582e-21,5.804225e-08
/out0 (Vin=0.8268456) Y,1.434692e+00,8.711913e-24,2.314723e-10
/out0 (Vin=0.8375839) Y,1.434693e+00,1.247032e-22,1.213966e-09
/out0 (Vin=0.8483221) Y,1.434694e+00,1.248609e-21,2.889315e-08
/out0 (Vin=0.8590604) Y,1.434694e+00,6.157380e-23,2.903974e-09
/out0 (Vin=0.8697987) Y,1.434695e+00,3.657870e-22,3.543499e-09
/out0 (Vin=0.8805369) Y,1.434695e+00,2.285194e-22,3.532026e-09
/out0 (Vin=0.8912752) Y,1.434696e+00,1.914468e-22,3.070170e-09
/out0 (Vin=0.9020134) Y,1.434696e+00,3.678891e-23,1.654842e-10
/out0 (Vin=0.9127517) Y,1.434697e+00,3.330850e-22,1.008021e-08
/out0 (Vin=0.9234899) Y,1.434697e+00,1.418334e-23,4.933525e-10
/out0 (Vin=0.9342282) Y,1.434697e+00,5.095686e-23,3.915946e-10
/out0 (Vin=0.9449664) Y,1.434698e+00,5.155363e-23,3.171519e-10
/out0 (Vin=0.9557047) Y,1.434698e+00,1.737114e-23,3.042253e-10
/out0 (Vin=0.966443) Y,1.434698e+00,1.489150e-22,2.744607e-10
/out0 (Vin=0.9771812) Y,1.434699e+00,8.392058e-23,2.103222e-10
/out0 (Vin=0.9879195) Y,1.434699e+00,2.485021e-23,1.937863e-10
/out0 (Vin=0.9986577) Y,1.434699e+00,1.573326e-22,2.224179e-10
/out0 (Vin=1.009396) Y,1.434699e+00,5.790185e-21,7.255244e-08
/out0 (Vin=1.020134) Y,1.434699e+00,1.590396e-22,4.996978e-10
/out0 (Vin=1.030872) Y,1.434700e+00,2.152105e-23,2.885185e-10
/out0 (Vin=1.041611) Y,1.434700e+00,8.228990e-21,5.814248e-08
/out0 (Vin=1.052349) Y,1.434700e+00,6.226945e-22,5.395529e-10
/out0 (Vin=1.063087) Y,1.434700e+00,1.537936e-22,1.113738e-10
/out0 (Vin=1.073826) Y,1.434700e+00,8.230757e-23,-2.511109e-11
/out0 (Vin=1.084564) Y,1.434700e+00,2.140762e-23,2.674667e-10
/out0 (Vin=1.095302) Y,1.434701e+00,2.984178e-22,1.479309e-08
/out0 (Vin=1.10604) Y,1.434701e+00,9.017851e-23,1.940671e-10
/out0 (Vin=1.116779) Y,1.434701e+00,4.603583e-23,1.144174e-09
/out0 (Vin=1.127517) Y,1.434701e+00,1.875376e-22,1.022276e-10
/out0 (Vin=1.138255) Y,1.434701e+00,4.348072e-23,5.219035e-10
/out0 (Vin=1.148993) Y,1.434701e+00,2.253225e-23,-7.218435e-12
/out0 (Vin=1.159732) Y,1.434701e+00,3.477531e-22,1.123457e-10
/out0 (Vin=1.17047) Y,1.434701e+00,4.904090e-23,-2.109050e-11
/out0 (Vin=1.181208) Y,1.434701e+00,9.939400e-24,5.794714e-11
/out0 (Vin=1.191946) Y,1.434702e+00,1.013558e-22,3.332837e-10
/out0 (Vin=1.202685) Y,1.434702e+00,5.806042e-23,3.131054e-10
/out0 (Vin=1.213423) Y,1.434702e+00,1.214486e-22,3.494880e-10
/out0 (Vin=1.224161) Y,1.434702e+00,3.061125e-21,3.497562e-08
/out0 (Vin=1.234899) Y,1.434702e+00,1.411763e-22,6.903091e-09
/out0 (Vin=1.245638) Y,1.434702e+00,2.951287e-23,2.305723e-10
/out0 (Vin=1.256376) Y,1.434702e+00,4.866506e-23,2.441976e-10
/out0 (Vin=1.267114) Y,1.434702e+00,2.590770e-23,2.472803e-10
/out0 (Vin=1.277852) Y,1.434702e+00,3.613086e-23,-5.850827e-11
/out0 (Vin=1.288591) Y,1.434702e+00,1.798872e-23,3.154617e-11
/out0 (Vin=1.299329) Y,1.434702e+00,1.114461e-22,2.673473e-09
/out0 (Vin=1.310067) Y,1.434702e+00,8.749114e-14,-4.749747e-05
/out0 (Vin=1.320805) Y,1.434702e+00,3.886107e-22,1.781773e-09
/out0 (Vin=1.331544) Y,1.434702e+00,1.588017e-20,8.109103e-08
/out0 (Vin=1.342282) Y,1.434703e+00,2.898862e-21,5.016715e-08
/out0 (Vin=1.35302) Y,1.434703e+00,7.110916e-23,-7.704720e-13
/out0 (Vin=1.363758) Y,1.434703e+00,2.509607e-23,2.219471e-10
/out0 (Vin=1.374497) Y,1.434703e+00,7.541680e-24,1.966519e-10
/out0 (Vin=1.385235) Y,1.434703e+00,4.798597e-23,-5.901798e-11
/out0 (Vin=1.395973) Y,1.434703e+00,1.351944e-22,2.542060e-09
/out0 (Vin=1.406711) Y,1.434703e+00,1.655762e-22,6.964440e-09
/out0 (Vin=1.41745) Y,1.434703e+00,6.075881e-23,3.654118e-09
/out0 (Vin=1.428188) Y,1.434703e+00,5.481803e-22,2.636332e-10
/out0 (Vin=1.438926) Y,1.434703e+00,1.840778e-22,-1.295493e-10
/out0 (Vin=1.449664) Y,1.434703e+00,1.733709e-20,8.473870e-08
/out0 (Vin=1.460403) Y,1.434703e+00,3.038554e-20,1.119922e-07
/out0 (Vin=1.471141) Y,1.434703e+00,1.241868e-22,1.263731e-09
/out0 (Vin=1.481879) Y,1.434703e+00,5.247525e-23,1.890211e-09
/out0 (Vin=1.492617) Y,1.434703e+00,3.595940e-23,-1.067322e-10
/out0 (Vin=1.503356) Y,1.434703e+00,3.290898e-22,7.751260e-09
/out0 (Vin=1.514094) Y,1.434703e+00,7.420502e-22,1.726150e-08
/out0 (Vin=1.524832) Y,1.434703e+00,2.718634e-22,6.853691e-09
/out0 (Vin=1.53557) Y,1.434703e+00,5.045896e-22,1.348994e-08
/out0 (Vin=1.546309) Y,1.434703e+00,2.351138e-22,8.508395e-09
/out0 (Vin=1.557047) Y,1.434703e+00,8.769301e-22,1.699026e-08
/out0 (Vin=1.567785) Y,1.434703e+00,1.269801e-21,-5.760408e-09
/out0 (Vin=1.578523) Y,1.434703e+00,5.430925e-21,4.604131e-08
/out0 (Vin=1.589262) Y,1.434704e+00,5.143190e-22,1.286171e-08
/out0 (Vin=1.6) Y,1.434704e+00,5.536849e-23,1.383525e-09
Stage 2 Output
/out1 (Vin=0) Y,7.503512e-02,6.934205e-26,1.382209e-12
/out1 (Vin=0.01073826) Y,7.503512e-02,1.012910e-24,1.073778e-11
/out1 (Vin=0.02147651) Y,7.503512e-02,4.382524e-23,1.052171e-09
/out1 (Vin=0.03221477) Y,7.503512e-02,3.098868e-17,8.942396e-07
/out1 (Vin=0.04295302) Y,7.503512e-02,3.099287e-17,8.943004e-07
/out1 (Vin=0.05369128) Y,7.503512e-02,3.093673e-17,8.934915e-07
/out1 (Vin=0.06442953) Y,7.503512e-02,3.139024e-17,9.000198e-07
/out1 (Vin=0.07516779) Y,7.503512e-02,2.985717e-17,8.777683e-07
/out1 (Vin=0.08590604) Y,7.503512e-02,6.083146e-18,3.962023e-07
/out1 (Vin=0.0966443) Y,7.503512e-02,3.093388e-17,8.934695e-07
/out1 (Vin=0.1073826) Y,7.503512e-02,2.030963e-25,-2.473237e-12
/out1 (Vin=0.1181208) Y,7.503512e-02,3.158514e-17,9.028195e-07
/out1 (Vin=0.1288591) Y,7.503512e-02,3.450664e-25,-8.128181e-12
/out1 (Vin=0.1395973) Y,7.503512e-02,7.623928e-25,1.381961e-10
/out1 (Vin=0.1503356) Y,7.503512e-02,4.259885e-22,3.321404e-09
/out1 (Vin=0.1610738) Y,7.503512e-02,2.287778e-17,7.683212e-07
/out1 (Vin=0.1718121) Y,7.503512e-02,5.674187e-25,1.205482e-10
/out1 (Vin=0.1825503) Y,7.503512e-02,3.449580e-26,2.764929e-12
/out1 (Vin=0.1932886) Y,7.503512e-02,1.545839e-25,5.765719e-11
/out1 (Vin=0.2040268) Y,7.503512e-02,1.091564e-25,7.793443e-12
/out1 (Vin=0.2147651) Y,7.503512e-02,1.070436e-25,-9.858418e-12
/out1 (Vin=0.2255034) Y,7.503512e-02,7.513794e-25,1.283185e-12
/out1 (Vin=0.2362416) Y,7.503512e-02,1.439488e-25,-4.561540e-12
/out1 (Vin=0.2469799) Y,7.503512e-02,4.243594e-26,6.100398e-12
/out1 (Vin=0.2577181) Y,7.503516e-02,2.146054e-13,-7.440946e-05
/out1 (Vin=0.2684564) Y,7.503512e-02,1.344300e-24,1.287070e-10
/out1 (Vin=0.2791946) Y,7.503512e-02,1.320778e-20,1.845451e-08
/out1 (Vin=0.2899329) Y,7.503512e-02,1.220731e-25,-4.978846e-12
/out1 (Vin=0.3006711) Y,7.503512e-02,1.002313e-25,6.192652e-12
/out1 (Vin=0.3114094) Y,7.503512e-02,1.362460e-25,2.479587e-12
/out1 (Vin=0.3221477) Y,7.503512e-02,4.667068e-17,1.097445e-06
/out1 (Vin=0.3328859) Y,7.503512e-02,1.058452e-24,-7.676153e-12
/out1 (Vin=0.3436242) Y,7.503512e-02,1.743696e-25,1.734429e-12
/out1 (Vin=0.3543624) Y,7.503513e-02,4.222033e-25,8.336265e-11
/out1 (Vin=0.3651007) Y,7.503513e-02,2.652347e-25,-1.097921e-11
/out1 (Vin=0.3758389) Y,7.503513e-02,2.585323e-25,-5.882167e-12
/out1 (Vin=0.3865772) Y,7.503513e-02,3.552398e-25,-3.206880e-12
/out1 (Vin=0.3973154) Y,7.503513e-02,3.120176e-26,7.290330e-14
/out1 (Vin=0.4080537) Y,7.503514e-02,2.051363e-25,-1.035804e-12
/out1 (Vin=0.4187919) Y,7.503514e-02,1.927983e-25,5.043351e-13
/out1 (Vin=0.4295302) Y,7.503514e-02,7.379671e-25,1.032850e-11
/out1 (Vin=0.4402685) Y,7.503515e-02,4.561061e-26,-2.493705e-12
/out1 (Vin=0.4510067) Y,7.503515e-02,3.056092e-17,8.880463e-07
/out1 (Vin=0.461745) Y,7.503516e-02,3.093967e-17,8.935356e-07
/out1 (Vin=0.4724832) Y,7.503517e-02,2.040787e-17,7.256970e-07
/out1 (Vin=0.4832215) Y,7.503518e-02,1.792004e-17,6.800258e-07
/out1 (Vin=0.4939597) Y,7.503520e-02,9.915528e-26,2.010485e-12
/out1 (Vin=0.504698) Y,7.503524e-02,4.166120e-14,-3.278474e-05
/out1 (Vin=0.5154362) Y,7.503530e-02,3.094064e-17,8.935550e-07
/out1 (Vin=0.5261745) Y,7.503543e-02,1.401672e-17,6.014221e-07
/out1 (Vin=0.5369128) Y,7.503562e-02,3.094751e-17,8.936589e-07
/out1 (Vin=0.547651) Y,7.503589e-02,3.095908e-17,8.938101e-07
/out1 (Vin=0.5583893) Y,7.503627e-02,3.096021e-17,8.938398e-07
/out1 (Vin=0.5691275) Y,7.503684e-02,3.097751e-17,8.940763e-07
/out1 (Vin=0.5798658) Y,7.503777e-02,3.099552e-17,8.943461e-07
/out1 (Vin=0.590604) Y,7.503963e-02,3.103365e-17,8.948907e-07
/out1 (Vin=0.6013423) Y,7.504605e-02,4.897896e-26,6.982115e-13
/out1 (Vin=0.6120805) Y,7.550127e-02,8.472682e-20,4.675417e-08
/out1 (Vin=0.6228188) Y,9.601535e-02,2.257743e-22,-2.404093e-09
/out1 (Vin=0.633557) Y,9.642662e-02,5.254282e-25,1.135892e-11
/out1 (Vin=0.6442953) Y,9.642872e-02,3.092978e-25,2.164076e-10
/out1 (Vin=0.6550336) Y,9.642886e-02,3.070245e-25,1.727158e-11
/out1 (Vin=0.6657718) Y,9.642890e-02,3.012469e-25,1.132980e-11
/out1 (Vin=0.6765101) Y,9.642892e-02,1.245645e-24,-8.719017e-12
/out1 (Vin=0.6872483) Y,9.642894e-02,6.913144e-25,-8.524002e-12
/out1 (Vin=0.6979866) Y,9.642895e-02,8.443384e-26,-3.362955e-12
/out1 (Vin=0.7087248) Y,9.642896e-02,8.934563e-25,1.471010e-11
/out1 (Vin=0.7194631) Y,9.642897e-02,1.305494e-24,1.875390e-11
/out1 (Vin=0.7302013) Y,9.642898e-02,4.574709e-25,3.664526e-11
/out1 (Vin=0.7409396) Y,9.642898e-02,2.257172e-25,8.661946e-14
/out1 (Vin=0.7516779) Y,9.642899e-02,1.540185e-24,9.487521e-11
/out1 (Vin=0.7624161) Y,9.642899e-02,2.080984e-24,2.370145e-11
