FeaturesParamTransientDCNNN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.511617e-01,1.059603e-19,5.228302e-08
/out0 (Vin=0.01073826) Y,2.511624e-01,2.791828e-32,-1.413510e-14
/out0 (Vin=0.02147651) Y,2.511634e-01,7.655629e-18,4.444057e-07
/out0 (Vin=0.03221477) Y,2.511647e-01,3.102031e-33,7.591120e-18
/out0 (Vin=0.04295302) Y,2.511665e-01,1.240812e-32,-2.067646e-14
/out0 (Vin=0.05369128) Y,2.511690e-01,0,-6.508122e-15
/out0 (Vin=0.06442953) Y,2.511725e-01,3.102031e-33,-5.771581e-15
/out0 (Vin=0.07516779) Y,2.511774e-01,7.755078e-32,-1.905286e-14
/out0 (Vin=0.08590604) Y,2.511841e-01,4.963250e-32,-1.744222e-14
/out0 (Vin=0.0966443) Y,2.511933e-01,1.240812e-32,-1.971237e-14
/out0 (Vin=0.1073826) Y,2.512060e-01,1.240812e-32,-1.222921e-14
/out0 (Vin=0.1181208) Y,2.512235e-01,7.755078e-32,-2.475055e-14
/out0 (Vin=0.1288591) Y,2.512476e-01,3.102031e-33,-2.180337e-14
/out0 (Vin=0.1395973) Y,2.512804e-01,3.102031e-33,-2.370394e-14
/out0 (Vin=0.1503356) Y,2.513251e-01,1.240812e-32,-9.177296e-15
/out0 (Vin=0.1610738) Y,2.513858e-01,2.791828e-32,-6.267076e-15
/out0 (Vin=0.1718121) Y,2.514678e-01,0,-1.544242e-14
/out0 (Vin=0.1825503) Y,2.515782e-01,5.258278e-19,1.077030e-07
/out0 (Vin=0.1932886) Y,2.517258e-01,0,-8.550305e-15
/out0 (Vin=0.2040268) Y,2.519222e-01,3.102031e-33,-1.489127e-14
/out0 (Vin=0.2147651) Y,2.521818e-01,7.755078e-32,-2.182244e-14
/out0 (Vin=0.2255034) Y,2.525226e-01,5.364238e-19,1.176368e-07
/out0 (Vin=0.2362416) Y,2.529668e-01,6.622517e-19,1.307075e-07
/out0 (Vin=0.2469799) Y,2.535416e-01,1.240812e-32,-2.028382e-14
/out0 (Vin=0.2577181) Y,2.542799e-01,3.102031e-33,-9.554860e-15
/out0 (Vin=0.2684564) Y,2.552212e-01,0,-1.561455e-14
/out0 (Vin=0.2791946) Y,2.564130e-01,1.240812e-32,-2.194393e-14
/out0 (Vin=0.2899329) Y,2.579122e-01,3.102031e-33,-3.551674e-14
/out0 (Vin=0.3006711) Y,2.597876e-01,0,-1.170388e-14
/out0 (Vin=0.3114094) Y,2.621226e-01,7.755078e-32,-1.788524e-14
/out0 (Vin=0.3221477) Y,2.650205e-01,3.102031e-33,1.287285e-15
/out0 (Vin=0.3328859) Y,2.686109e-01,0,-2.873572e-14
/out0 (Vin=0.3436242) Y,2.730609e-01,0,-1.842770e-14
/out0 (Vin=0.3543624) Y,2.785920e-01,4.963250e-32,-1.415391e-14
/out0 (Vin=0.3651007) Y,2.855081e-01,2.196047e-12,2.380699e-04
/out0 (Vin=0.3758389) Y,2.942441e-01,3.102031e-33,-7.816531e-15
/out0 (Vin=0.3865772) Y,3.054480e-01,4.963250e-32,-1.344132e-14
/out0 (Vin=0.3973154) Y,3.201328e-01,2.791828e-32,-2.185112e-14
/out0 (Vin=0.4080537) Y,3.399225e-01,0,-3.917051e-14
/out0 (Vin=0.4187919) Y,3.672472e-01,7.755078e-32,-2.444212e-14
/out0 (Vin=0.4295302) Y,4.042316e-01,1.116731e-31,-1.608667e-14
/out0 (Vin=0.4402685) Y,4.496731e-01,3.102031e-33,-3.102695e-14
/out0 (Vin=0.4510067) Y,5.007082e-01,4.963250e-32,-4.833580e-14
/out0 (Vin=0.461745) Y,5.557894e-01,1.116731e-31,-2.769401e-14
/out0 (Vin=0.4724832) Y,6.141327e-01,1.985300e-31,6.739631e-15
/out0 (Vin=0.4832215) Y,6.751199e-01,1.205298e-19,7.110484e-08
/out0 (Vin=0.4939597) Y,7.381236e-01,4.466925e-31,-7.837849e-14
/out0 (Vin=0.504698) Y,8.024580e-01,1.240812e-32,-9.955264e-14
/out0 (Vin=0.5154362) Y,8.673701e-01,1.240812e-32,3.619109e-17
/out0 (Vin=0.5261745) Y,9.320605e-01,4.963250e-32,-3.688836e-14
/out0 (Vin=0.5369128) Y,9.957286e-01,2.158057e-19,-2.364935e-07
/out0 (Vin=0.547651) Y,1.057612e+00,0,-3.566468e-14
/out0 (Vin=0.5583893) Y,1.116904e+00,4.466925e-31,-6.413736e-14
/out0 (Vin=0.5691275) Y,1.172212e+00,1.985300e-31,-4.057548e-14
/out0 (Vin=0.5798658) Y,1.220612e+00,1.985300e-31,-8.520289e-14
/out0 (Vin=0.590604) Y,1.259930e+00,0,-7.680742e-14
/out0 (Vin=0.6013423) Y,1.291176e+00,4.963250e-32,-1.013219e-13
/out0 (Vin=0.6120805) Y,1.316470e+00,0,-6.901020e-14
