FeaturesParamTransientDCNNP.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.511617e-01,1.149073e-19,5.458371e-08
/out0 (Vin=0.01073826) Y,2.511624e-01,2.293850e-23,1.177774e-10
/out0 (Vin=0.02147651) Y,2.511634e-01,7.751659e-18,4.469770e-07
/out0 (Vin=0.03221477) Y,2.511647e-01,1.113666e-22,6.816764e-11
/out0 (Vin=0.04295302) Y,2.511665e-01,8.061801e-23,-4.094656e-11
/out0 (Vin=0.05369128) Y,2.511690e-01,3.970443e-23,4.537134e-11
/out0 (Vin=0.06442953) Y,2.511725e-01,2.681157e-23,4.757939e-11
/out0 (Vin=0.07516779) Y,2.511774e-01,3.150588e-22,2.088400e-10
/out0 (Vin=0.08590604) Y,2.511841e-01,2.555743e-22,2.079956e-10
/out0 (Vin=0.0966443) Y,2.511933e-01,1.277749e-22,4.742867e-11
/out0 (Vin=0.1073826) Y,2.512060e-01,2.388474e-22,-1.541353e-10
/out0 (Vin=0.1181208) Y,2.512235e-01,2.582295e-22,-1.498044e-10
/out0 (Vin=0.1288591) Y,2.512476e-01,2.122339e-23,-1.000127e-10
/out0 (Vin=0.1395973) Y,2.512804e-01,3.634010e-23,-2.294526e-10
/out0 (Vin=0.1503356) Y,2.513251e-01,2.337329e-22,7.835260e-11
/out0 (Vin=0.1610738) Y,2.513858e-01,4.515997e-23,-2.501998e-11
/out0 (Vin=0.1718121) Y,2.514678e-01,1.199322e-22,9.433774e-11
/out0 (Vin=0.1825503) Y,2.515782e-01,2.643682e-19,8.276546e-08
/out0 (Vin=0.1932886) Y,2.517258e-01,1.341168e-22,8.380549e-11
/out0 (Vin=0.2040268) Y,2.519222e-01,8.139149e-23,-4.723931e-11
/out0 (Vin=0.2147651) Y,2.521818e-01,3.934672e-15,1.007583e-05
/out0 (Vin=0.2255034) Y,2.525226e-01,4.933293e-19,1.128681e-07
/out0 (Vin=0.2362416) Y,2.529668e-01,6.640686e-19,1.307303e-07
/out0 (Vin=0.2469799) Y,2.535416e-01,4.777902e-23,-7.280327e-11
/out0 (Vin=0.2577181) Y,2.542799e-01,5.882824e-15,1.232021e-05
/out0 (Vin=0.2684564) Y,2.552212e-01,1.900200e-22,1.702775e-10
/out0 (Vin=0.2791946) Y,2.564130e-01,3.193019e-23,1.601375e-10
/out0 (Vin=0.2899329) Y,2.579122e-01,1.189457e-22,1.248852e-10
/out0 (Vin=0.3006711) Y,2.597876e-01,1.273538e-22,1.292986e-10
/out0 (Vin=0.3114094) Y,2.621226e-01,3.337096e-23,1.750377e-10
/out0 (Vin=0.3221477) Y,2.650205e-01,6.259282e-23,1.254784e-11
/out0 (Vin=0.3328859) Y,2.686109e-01,3.803834e-23,-1.520114e-10
/out0 (Vin=0.3436242) Y,2.730609e-01,8.521566e-23,2.235605e-11
/out0 (Vin=0.3543624) Y,2.785920e-01,8.013761e-22,2.600905e-10
/out0 (Vin=0.3651007) Y,2.855081e-01,2.229485e-12,2.398839e-04
/out0 (Vin=0.3758389) Y,2.942441e-01,2.165440e-22,1.735675e-10
/out0 (Vin=0.3865772) Y,3.054480e-01,7.698731e-22,-1.705289e-10
/out0 (Vin=0.3973154) Y,3.201328e-01,1.380630e-22,1.902618e-11
/out0 (Vin=0.4080537) Y,3.399225e-01,2.355223e-22,5.850396e-10
/out0 (Vin=0.4187919) Y,3.672472e-01,4.427933e-22,-2.185519e-10
/out0 (Vin=0.4295302) Y,4.042316e-01,1.298866e-21,-9.080887e-10
/out0 (Vin=0.4402685) Y,4.496731e-01,9.732262e-22,-1.508568e-10
/out0 (Vin=0.4510067) Y,5.007082e-01,1.426215e-20,-1.765494e-09
/out0 (Vin=0.461745) Y,5.557894e-01,7.001689e-21,4.152299e-10
/out0 (Vin=0.4724832) Y,6.141327e-01,2.376599e-21,-8.339180e-10
/out0 (Vin=0.4832215) Y,6.751199e-01,3.651737e-21,-1.015320e-09
/out0 (Vin=0.4939597) Y,7.381236e-01,1.806361e-21,3.824257e-10
/out0 (Vin=0.504698) Y,8.024580e-01,7.853331e-21,3.768672e-09
/out0 (Vin=0.5154362) Y,8.673701e-01,1.494557e-21,8.000169e-10
/out0 (Vin=0.5261745) Y,9.320605e-01,1.400833e-21,4.746211e-10
/out0 (Vin=0.5369128) Y,9.957286e-01,1.189774e-21,-3.881807e-10
/out0 (Vin=0.547651) Y,1.057612e+00,4.645246e-22,-4.590253e-10
/out0 (Vin=0.5583893) Y,1.116904e+00,1.046834e-21,8.706898e-10
/out0 (Vin=0.5691275) Y,1.172212e+00,5.917901e-22,-3.765608e-11
/out0 (Vin=0.5798658) Y,1.220612e+00,6.632641e-22,4.168237e-10
/out0 (Vin=0.590604) Y,1.259930e+00,1.277510e-22,-1.936985e-11
/out0 (Vin=0.6013423) Y,1.291176e+00,6.838755e-22,2.695713e-10
/out0 (Vin=0.6120805) Y,1.316470e+00,4.709281e-23,6.127532e-11
/out0 (Vin=0.6228188) Y,1.337423e+00,8.166008e-22,4.338139e-09
/out0 (Vin=0.633557) Y,1.355140e+00,1.797553e-22,2.054936e-10
/out0 (Vin=0.6442953) Y,1.370372e+00,3.347125e-23,4.413324e-12
/out0 (Vin=0.6550336) Y,1.383639e+00,3.612170e-22,-7.674361e-11
/out0 (Vin=0.6657718) Y,1.395311e+00,2.037010e-22,-2.843920e-10
/out0 (Vin=0.6765101) Y,1.405653e+00,3.056283e-23,1.133812e-10
/out0 (Vin=0.6872483) Y,1.414864e+00,6.198677e-24,4.125196e-11
/out0 (Vin=0.6979866) Y,1.423096e+00,1.939246e-23,5.982378e-11
/out0 (Vin=0.7087248) Y,1.430466e+00,1.553542e-23,4.616249e-11
/out0 (Vin=0.7194631) Y,1.437070e+00,4.326257e-23,-1.332581e-10
/out0 (Vin=0.7302013) Y,1.442984e+00,8.576370e-23,-3.275201e-11
/out0 (Vin=0.7409396) Y,1.448274e+00,1.251348e-23,5.322970e-11
/out0 (Vin=0.7516779) Y,1.452994e+00,6.110918e-23,9.297777e-11
/out0 (Vin=0.7624161) Y,1.457193e+00,1.696900e-23,-2.801671e-11
