FeaturesParamTransientDCNPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,2.511617e-01,3.754851e-23,-7.968387e-11
/out0 (Vin=0.01073826) Y,2.511624e-01,2.593361e-23,-2.026976e-11
/out0 (Vin=0.02147651) Y,2.511634e-01,3.996845e-23,1.541908e-10
/out0 (Vin=0.03221477) Y,2.511647e-01,8.727904e-23,-1.725164e-10
/out0 (Vin=0.04295302) Y,2.511665e-01,4.744727e-22,1.989167e-10
/out0 (Vin=0.05369128) Y,2.511690e-01,2.525980e-23,8.916149e-11
/out0 (Vin=0.06442953) Y,2.511725e-01,1.309299e-22,1.228056e-12
/out0 (Vin=0.07516779) Y,2.511774e-01,9.424799e-23,6.876967e-11
/out0 (Vin=0.08590604) Y,2.511841e-01,7.934025e-22,2.417453e-10
/out0 (Vin=0.0966443) Y,2.511933e-01,4.375535e-21,1.026616e-08
/out0 (Vin=0.1073826) Y,2.512060e-01,5.225688e-23,7.646412e-12
/out0 (Vin=0.1181208) Y,2.512235e-01,1.819788e-23,1.599341e-10
/out0 (Vin=0.1288591) Y,2.512476e-01,1.352291e-22,-2.009712e-10
/out0 (Vin=0.1395973) Y,2.512804e-01,1.650349e-23,-5.171192e-11
/out0 (Vin=0.1503356) Y,2.513251e-01,4.251217e-16,-3.312053e-06
/out0 (Vin=0.1610738) Y,2.513858e-01,3.263853e-23,-1.935856e-10
/out0 (Vin=0.1718121) Y,2.514678e-01,2.465073e-19,7.964981e-08
/out0 (Vin=0.1825503) Y,2.515782e-01,6.623943e-23,2.404759e-10
/out0 (Vin=0.1932886) Y,2.517258e-01,1.521325e-17,6.264288e-07
/out0 (Vin=0.2040268) Y,2.519222e-01,2.974954e-22,-2.095759e-10
/out0 (Vin=0.2147651) Y,2.521818e-01,1.560230e-18,2.006860e-07
/out0 (Vin=0.2255034) Y,2.525226e-01,4.933579e-19,1.127156e-07
/out0 (Vin=0.2362416) Y,2.529668e-01,6.639638e-19,1.308188e-07
/out0 (Vin=0.2469799) Y,2.535416e-01,8.166951e-16,4.590151e-06
/out0 (Vin=0.2577181) Y,2.542798e-01,6.777341e-13,1.322400e-04
/out0 (Vin=0.2684564) Y,2.552212e-01,2.012848e-22,2.270230e-10
/out0 (Vin=0.2791946) Y,2.564130e-01,9.660262e-23,2.040935e-10
/out0 (Vin=0.2899329) Y,2.579122e-01,7.082106e-23,-1.014187e-10
/out0 (Vin=0.3006711) Y,2.597876e-01,3.939456e-22,2.372899e-10
/out0 (Vin=0.3114094) Y,2.621226e-01,1.137244e-22,-2.147982e-10
/out0 (Vin=0.3221477) Y,2.650205e-01,2.899631e-23,-8.941336e-11
/out0 (Vin=0.3328859) Y,2.686109e-01,1.582307e-22,-2.522804e-10
/out0 (Vin=0.3436242) Y,2.730608e-01,2.448778e-13,7.948752e-05
/out0 (Vin=0.3543624) Y,2.785920e-01,6.694474e-22,3.104885e-09
/out0 (Vin=0.3651007) Y,2.855082e-01,1.421702e-13,6.056581e-05
/out0 (Vin=0.3758389) Y,2.942440e-01,1.530728e-13,6.284575e-05
/out0 (Vin=0.3865772) Y,3.054480e-01,9.390857e-22,-2.540796e-10
/out0 (Vin=0.3973154) Y,3.201328e-01,2.993174e-22,2.735295e-11
/out0 (Vin=0.4080537) Y,3.399225e-01,1.982654e-21,4.519812e-10
/out0 (Vin=0.4187919) Y,3.672472e-01,2.005730e-17,7.193049e-07
/out0 (Vin=0.4295302) Y,4.042316e-01,4.281587e-15,1.051115e-05
/out0 (Vin=0.4402685) Y,4.496731e-01,3.434163e-21,-6.654466e-11
/out0 (Vin=0.4510067) Y,5.007081e-01,1.653363e-12,2.065686e-04
/out0 (Vin=0.461745) Y,5.557894e-01,2.323036e-21,-6.972762e-11
/out0 (Vin=0.4724832) Y,6.141327e-01,1.056461e-20,9.590396e-10
/out0 (Vin=0.4832215) Y,6.751199e-01,6.110950e-22,7.391384e-10
/out0 (Vin=0.4939597) Y,7.381236e-01,9.137784e-22,3.964427e-10
/out0 (Vin=0.504698) Y,8.024580e-01,1.616939e-21,6.640791e-10
/out0 (Vin=0.5154362) Y,8.673701e-01,1.676135e-21,2.664511e-10
/out0 (Vin=0.5261745) Y,9.320605e-01,1.684100e-21,2.884562e-10
/out0 (Vin=0.5369128) Y,9.957286e-01,6.515075e-22,2.369172e-10
/out0 (Vin=0.547651) Y,1.057612e+00,4.613108e-22,-1.380100e-10
