FeaturesParamTransientDCPAN.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,7.683914e-02,8.212131e-25,8.313589e-13
/out0 (Vin=0.01073826) Y,7.683915e-02,2.587886e-25,8.123036e-12
/out0 (Vin=0.02147651) Y,7.683915e-02,1.086278e-25,-3.280316e-12
/out0 (Vin=0.03221477) Y,7.683916e-02,8.904574e-25,1.029462e-11
/out0 (Vin=0.04295302) Y,7.683916e-02,3.659797e-25,-3.798576e-12
/out0 (Vin=0.05369128) Y,7.683917e-02,7.484851e-25,-1.173450e-11
/out0 (Vin=0.06442953) Y,7.683918e-02,1.651175e-24,-1.158365e-11
/out0 (Vin=0.07516779) Y,7.683920e-02,4.512597e-26,-2.369625e-12
/out0 (Vin=0.08590604) Y,7.683922e-02,2.915963e-25,7.625156e-12
/out0 (Vin=0.0966443) Y,7.683926e-02,1.707661e-25,1.475422e-12
/out0 (Vin=0.1073826) Y,7.683930e-02,5.927427e-25,-1.324548e-12
/out0 (Vin=0.1181208) Y,7.683936e-02,4.953848e-15,1.130671e-05
/out0 (Vin=0.1288591) Y,7.683945e-02,1.918232e-25,5.388380e-12
/out0 (Vin=0.1395973) Y,7.683957e-02,1.631653e-25,-7.170645e-12
/out0 (Vin=0.1503356) Y,7.683973e-02,1.675426e-25,2.867549e-13
/out0 (Vin=0.1610738) Y,7.683995e-02,3.442040e-25,-1.665546e-12
/out0 (Vin=0.1718121) Y,7.684025e-02,3.158590e-17,9.028342e-07
/out0 (Vin=0.1825503) Y,7.684065e-02,7.995416e-26,5.592275e-13
/out0 (Vin=0.1932886) Y,7.684118e-02,1.217998e-25,1.599238e-12
/out0 (Vin=0.2040268) Y,7.684189e-02,3.423356e-25,-1.018328e-11
/out0 (Vin=0.2147651) Y,7.684284e-02,8.076515e-17,1.443686e-06
/out0 (Vin=0.2255034) Y,7.684408e-02,3.014646e-25,-2.352882e-13
/out0 (Vin=0.2362416) Y,7.684571e-02,8.091662e-17,1.445034e-06
/out0 (Vin=0.2469799) Y,7.684782e-02,8.102820e-17,1.446033e-06
/out0 (Vin=0.2577181) Y,7.685054e-02,8.117215e-17,1.447320e-06
/out0 (Vin=0.2684564) Y,7.685401e-02,8.135656e-17,1.448962e-06
/out0 (Vin=0.2791946) Y,7.685842e-02,8.159117e-17,1.451041e-06
/out0 (Vin=0.2899329) Y,7.686398e-02,8.188769e-17,1.453678e-06
/out0 (Vin=0.3006711) Y,7.687094e-02,3.625740e-25,-2.732413e-12
/out0 (Vin=0.3114094) Y,7.687959e-02,1.274148e-25,2.293660e-12
/out0 (Vin=0.3221477) Y,7.689027e-02,8.330346e-17,1.466187e-06
/out0 (Vin=0.3328859) Y,7.690340e-02,9.234192e-26,6.166789e-14
/out0 (Vin=0.3436242) Y,7.691945e-02,4.356513e-26,-7.517810e-13
/out0 (Vin=0.3543624) Y,7.693897e-02,8.598639e-17,1.489620e-06
/out0 (Vin=0.3651007) Y,7.696261e-02,5.281370e-25,-6.685186e-12
/out0 (Vin=0.3758389) Y,7.699112e-02,1.315958e-24,-3.655997e-12
/out0 (Vin=0.3865772) Y,7.702533e-02,8.972952e-17,1.521700e-06
/out0 (Vin=0.3973154) Y,7.706618e-02,1.294996e-24,1.568875e-11
/out0 (Vin=0.4080537) Y,7.711473e-02,9.530651e-17,1.568279e-06
/out0 (Vin=0.4187919) Y,7.717207e-02,9.890690e-17,1.597613e-06
/out0 (Vin=0.4295302) Y,7.723938e-02,3.020364e-26,-1.956691e-12
/out0 (Vin=0.4402685) Y,7.731784e-02,1.086361e-16,1.674365e-06
/out0 (Vin=0.4510067) Y,7.740862e-02,1.151355e-16,1.723717e-06
/out0 (Vin=0.461745) Y,7.751282e-02,1.230394e-16,1.781912e-06
/out0 (Vin=0.4724832) Y,7.763144e-02,1.326482e-16,1.850172e-06
/out0 (Vin=0.4832215) Y,7.776536e-02,1.443289e-16,1.929921e-06
/out0 (Vin=0.4939597) Y,7.791529e-02,1.585315e-16,2.022639e-06
/out0 (Vin=0.504698) Y,7.808176e-02,1.714744e-16,2.103585e-06
/out0 (Vin=0.5154362) Y,7.826515e-02,6.300774e-17,1.275140e-06
/out0 (Vin=0.5261745) Y,7.846565e-02,2.224991e-16,2.396222e-06
/out0 (Vin=0.5369128) Y,7.868333e-02,3.611736e-25,-8.853580e-12
/out0 (Vin=0.547651) Y,7.891807e-02,2.921101e-16,2.745600e-06
/out0 (Vin=0.5583893) Y,7.916971e-02,5.087533e-26,-9.226316e-12
/out0 (Vin=0.5691275) Y,7.943794e-02,3.965963e-16,3.199180e-06
/out0 (Vin=0.5798658) Y,7.972241e-02,4.673780e-16,3.472953e-06
/out0 (Vin=0.590604) Y,8.002271e-02,3.031458e-25,2.870757e-12
/out0 (Vin=0.6013423) Y,8.033837e-02,6.620569e-16,4.133477e-06
/out0 (Vin=0.6120805) Y,8.066894e-02,7.948377e-16,4.529044e-06
/out0 (Vin=0.6228188) Y,8.101389e-02,3.579784e-25,-3.026067e-12
/out0 (Vin=0.633557) Y,8.137272e-02,1.596707e-24,1.230722e-11
/out0 (Vin=0.6442953) Y,8.174490e-02,1.413616e-15,6.039992e-06
/out0 (Vin=0.6550336) Y,8.212991e-02,2.349689e-19,7.786731e-08
/out0 (Vin=0.6657718) Y,8.252718e-02,9.433395e-26,4.767234e-12
/out0 (Vin=0.6765101) Y,8.293618e-02,1.934506e-25,-7.042353e-13
/out0 (Vin=0.6872483) Y,8.335633e-02,4.356960e-25,-1.203575e-11
/out0 (Vin=0.6979866) Y,8.378708e-02,1.129302e-25,-2.008123e-12
/out0 (Vin=0.7087248) Y,8.422782e-02,5.961116e-25,1.369918e-11
/out0 (Vin=0.7194631) Y,8.467796e-02,1.409502e-24,8.354905e-12
/out0 (Vin=0.7302013) Y,8.513685e-02,1.053035e-25,-4.239924e-12
/out0 (Vin=0.7409396) Y,8.560384e-02,6.912015e-25,7.382632e-13
/out0 (Vin=0.7516779) Y,8.607823e-02,1.090638e-14,1.677742e-05
/out0 (Vin=0.7624161) Y,8.655932e-02,1.334149e-14,1.855622e-05
/out0 (Vin=0.7731544) Y,8.704633e-02,2.794693e-24,2.665429e-11
/out0 (Vin=0.7838926) Y,8.753845e-02,1.192231e-24,1.211713e-11
/out0 (Vin=0.7946309) Y,8.803482e-02,5.792532e-25,7.992082e-12
/out0 (Vin=0.8053691) Y,8.853456e-02,7.445177e-26,-2.748457e-12
/out0 (Vin=0.8161074) Y,8.903789e-02,1.425274e-25,7.646464e-12
/out0 (Vin=0.8268456) Y,8.954324e-02,7.330093e-25,8.527835e-12
/out0 (Vin=0.8375839) Y,9.004903e-02,7.591256e-25,1.156783e-11
/out0 (Vin=0.8483221) Y,9.055397e-02,1.053708e-24,-1.717147e-11
/out0 (Vin=0.8590604) Y,9.105677e-02,7.043031e-14,4.263727e-05
/out0 (Vin=0.8697987) Y,9.155616e-02,1.762832e-24,-1.399680e-11
/out0 (Vin=0.8805369) Y,9.205069e-02,7.269792e-26,2.615587e-12
/out0 (Vin=0.8912752) Y,9.253894e-02,1.192972e-25,-6.618321e-12
/out0 (Vin=0.9020134) Y,9.301934e-02,1.391861e-13,5.994050e-05
/out0 (Vin=0.9127517) Y,9.349042e-02,2.197294e-24,-1.552015e-11
/out0 (Vin=0.9234899) Y,9.395040e-02,1.691410e-13,6.607720e-05
/out0 (Vin=0.9342282) Y,9.439774e-02,2.299571e-24,1.011041e-11
/out0 (Vin=0.9449664) Y,9.483060e-02,2.384469e-13,7.845683e-05
/out0 (Vin=0.9557047) Y,9.524741e-02,3.523329e-25,-8.163901e-12
/out0 (Vin=0.966443) Y,9.564636e-02,3.574441e-25,-8.649752e-12
/out0 (Vin=0.9771812) Y,9.602587e-02,2.119989e-25,2.169759e-12
/out0 (Vin=0.9879195) Y,9.638430e-02,1.947674e-12,2.242729e-04
/out0 (Vin=0.9986577) Y,9.672066e-02,1.751743e-24,-2.343573e-11
/out0 (Vin=1.009396) Y,9.703352e-02,1.584157e-25,1.653353e-12
/out0 (Vin=1.020134) Y,9.732222e-02,6.730287e-19,-1.318078e-07
/out0 (Vin=1.030872) Y,9.758643e-02,1.737750e-25,-9.022605e-12
/out0 (Vin=1.041611) Y,9.782626e-02,2.930794e-25,-5.772883e-12
/out0 (Vin=1.052349) Y,9.804229e-02,1.109389e-12,1.692488e-04
/out0 (Vin=1.063087) Y,9.823594e-02,2.562384e-25,1.978401e-12
/out0 (Vin=1.073826) Y,9.840854e-02,3.541223e-19,-9.561799e-08
/out0 (Vin=1.084564) Y,9.856215e-02,3.061975e-25,-1.327547e-11
/out0 (Vin=1.095302) Y,9.869888e-02,6.068120e-19,-1.251542e-07
