FeaturesParamTransientDCPPA.csv
Stage 1 Output
Signal, Mean, Variance, Slope
/out0 (Vin=0) Y,7.683914e-02,1.869576e-25,3.378427e-12
/out0 (Vin=0.01073826) Y,7.683915e-02,4.592395e-25,-1.070929e-11
/out0 (Vin=0.02147651) Y,7.683915e-02,3.431790e-25,2.864774e-12
/out0 (Vin=0.03221477) Y,7.683916e-02,1.800019e-25,5.551474e-12
/out0 (Vin=0.04295302) Y,7.683916e-02,5.734376e-26,3.487086e-12
/out0 (Vin=0.05369128) Y,7.683917e-02,1.560618e-25,-7.827593e-12
/out0 (Vin=0.06442953) Y,7.683918e-02,8.057349e-17,1.441846e-06
/out0 (Vin=0.07516779) Y,7.683920e-02,4.129365e-25,-1.025023e-11
/out0 (Vin=0.08590604) Y,7.683922e-02,5.419335e-26,5.610098e-12
/out0 (Vin=0.0966443) Y,7.683926e-02,8.940086e-26,4.213727e-12
/out0 (Vin=0.1073826) Y,7.683930e-02,2.182555e-25,-9.944187e-13
/out0 (Vin=0.1181208) Y,7.683936e-02,4.953771e-15,1.130574e-05
/out0 (Vin=0.1288591) Y,7.683945e-02,2.886701e-15,8.630375e-06
/out0 (Vin=0.1395973) Y,7.683957e-02,4.514624e-26,-3.972353e-12
/out0 (Vin=0.1503356) Y,7.683973e-02,2.934017e-25,-8.353454e-12
/out0 (Vin=0.1610738) Y,7.683995e-02,6.305907e-17,1.275551e-06
/out0 (Vin=0.1718121) Y,7.684025e-02,3.014646e-17,8.819437e-07
/out0 (Vin=0.1825503) Y,7.684065e-02,4.488190e-25,-6.901395e-12
/out0 (Vin=0.1932886) Y,7.684105e-02,2.477669e-12,2.529250e-04
/out0 (Vin=0.2040268) Y,7.684189e-02,8.065118e-17,1.442537e-06
/out0 (Vin=0.2147651) Y,7.684284e-02,8.076524e-17,1.443567e-06
/out0 (Vin=0.2255034) Y,7.684408e-02,8.083086e-17,1.444158e-06
/out0 (Vin=0.2362416) Y,7.684571e-02,8.091672e-17,1.444923e-06
/out0 (Vin=0.2469799) Y,7.684782e-02,8.102828e-17,1.445918e-06
/out0 (Vin=0.2577181) Y,7.685054e-02,8.117224e-17,1.447203e-06
/out0 (Vin=0.2684564) Y,7.685401e-02,8.135664e-17,1.448848e-06
/out0 (Vin=0.2791946) Y,7.685842e-02,8.159126e-17,1.450930e-06
/out0 (Vin=0.2899329) Y,7.686398e-02,8.188777e-17,1.453567e-06
/out0 (Vin=0.3006711) Y,7.687086e-02,9.259830e-13,1.546022e-04
/out0 (Vin=0.3114094) Y,7.687959e-02,8.272540e-17,1.460981e-06
/out0 (Vin=0.3221477) Y,7.689027e-02,8.330355e-17,1.466076e-06
/out0 (Vin=0.3328859) Y,7.690340e-02,8.394696e-17,1.471728e-06
/out0 (Vin=0.3436242) Y,7.691945e-02,8.441260e-17,1.475793e-06
/out0 (Vin=0.3543624) Y,7.693897e-02,8.598649e-17,1.489506e-06
/out0 (Vin=0.3651007) Y,7.696261e-02,1.162884e-25,-5.357501e-13
/out0 (Vin=0.3758389) Y,7.699106e-02,4.147993e-13,1.034706e-04
/out0 (Vin=0.3865772) Y,7.702533e-02,1.778395e-25,8.402449e-12
/out0 (Vin=0.3973154) Y,7.706618e-02,1.559727e-16,2.006085e-06
/out0 (Vin=0.4080537) Y,7.711473e-02,9.530662e-17,1.568153e-06
/out0 (Vin=0.4187919) Y,7.717207e-02,9.890699e-17,1.597484e-06
